# Matter power spectrum P(k) at redshift z=0
# for k=9.78413e-06 to 1.55236 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.784132296806e-06       4.678716429736e+10 
       1.231749278081e-05       5.890145494681e+10 
       1.550680467135e-05       7.415235050730e+10 
       1.952191045649e-05       9.335187475550e+10 
       2.457662916044e-05       1.175222626483e+11 
       3.094014298632e-05       1.479501893442e+11 
       3.895133225003e-05       1.862551162185e+11 
       4.903682199280e-05       2.344750471664e+11 
       6.173370132036e-05       2.951741384391e+11 
       7.771812535631e-05       3.715773950324e+11 
       9.784132296806e-05       4.677387913365e+11 
       1.231749278081e-04       5.887499282766e+11 
       1.550680467135e-04       7.409970439870e+11 
       1.952191045649e-04       9.324735725261e+11 
       2.457662916044e-04       1.173153022265e+12 
       3.094014298632e-04       1.475420978880e+12 
       3.895133225003e-04       1.854554475057e+12 
       4.903682199280e-04       2.329222039697e+12 
       6.173370132036e-04       2.921960791314e+12 
       7.771812535631e-04       3.659560154526e+12 
       9.784132296806e-04       4.573196194652e+12 
       1.231749278081e-03       5.697868326198e+12 
       1.550680467135e-03       7.070934989612e+12 
       1.952191045649e-03       8.729169265404e+12 
       2.457662916044e-03       1.070319589157e+13 
       3.094014298632e-03       1.300955796852e+13 
       3.895133225003e-03       1.563942870476e+13 
       4.903682199280e-03       1.854268950280e+13 
       6.173370132036e-03       2.160880500636e+13 
       7.771812535631e-03       2.464999429893e+13 
       9.784132296806e-03       2.736582519977e+13 
       1.231749278081e-02       2.934198623059e+13 
       1.550680467133e-02       3.005711926281e+13 
       1.952191034269e-02       2.899534756604e+13 
       2.457653534275e-02       2.591346195666e+13 
       3.092628608900e-02       2.129365316648e+13 
       3.846257674363e-02       1.675287936362e+13 
       4.493079298253e-02       1.424192056212e+13 
       4.960269652881e-02       1.311079653678e+13 
       5.343690702916e-02       1.246824638221e+13 
       5.685163960272e-02       1.201776111645e+13 
       6.003177749141e-02       1.163752493617e+13 
       6.307453139232e-02       1.126343516886e+13 
       6.603791437141e-02       1.086316799211e+13 
       6.895989787083e-02       1.041787691862e+13 
       7.186716758697e-02       9.922308322296e+12 
       7.477958683344e-02       9.382115993921e+12 
       7.771266873002e-02       8.807736243042e+12 
       8.067903733003e-02       8.217799290141e+12 
       8.368933721562e-02       7.631699853988e+12 
       8.675282420801e-02       7.070332727971e+12 
       8.987776258200e-02       6.552797722376e+12 
       9.307169996966e-02       6.094325536108e+12 
       9.634166217699e-02       5.705010310732e+12 
       9.969429392107e-02       5.389010548703e+12 
       1.031359620441e-01       5.143698747264e+12 
       1.066728320614e-01       4.960167871356e+12 
       1.103109253644e-01       4.823836262785e+12 
       1.140561621486e-01       4.715048270310e+12 
       1.179143936804e-01       4.611192845789e+12 
       1.218914265569e-01       4.489433241928e+12 
       1.259930409755e-01       4.331238635205e+12 
       1.302250046071e-01       4.127537114974e+12 
       1.345930833853e-01       3.879458151970e+12 
       1.391030503354e-01       3.600535659496e+12 
       1.437606934516e-01       3.312952671219e+12 
       1.485718235482e-01       3.041638728228e+12 
       1.535422829677e-01       2.808190706449e+12 
       1.586779559944e-01       2.625621429401e+12 
       1.639847818065e-01       2.495352573885e+12 
       1.694687707851e-01       2.406777387522e+12 
       1.751360249892e-01       2.341514819430e+12 
       1.809927636056e-01       2.272902718192e+12 
       1.870453541794e-01       2.179650911239e+12 
       1.933003504473e-01       2.053141881658e+12 
       1.997645376244e-01       1.901742391185e+12 
       2.064449860478e-01       1.744810934434e+12 
       2.133491141724e-01       1.603771355161e+12 
       2.204847620508e-01       1.494076806661e+12 
       2.278602766303e-01       1.417525281432e+12 
       2.354846104870e-01       1.361950230451e+12 
       2.433674360030e-01       1.308244439117e+12 
       2.515192775263e-01       1.240506369197e+12 
       2.599516647487e-01       1.155207444616e+12 
       2.686773114735e-01       1.063786541253e+12 
       2.777103251712e-01       9.826494004430e+11 
       2.870664543538e-01       9.203884345362e+11 
       2.967633829648e-01       8.735453628556e+11 
       3.068210838987e-01       8.295731494353e+11 
       3.172622477055e-01       7.785294978775e+11 
       3.281128079530e-01       7.211988606650e+11 
       3.394025922404e-01       6.667092266803e+11 
       3.511661384633e-01       6.222248384880e+11 
       3.634437311207e-01       5.851619047679e+11 
       3.762827345839e-01       5.481538950295e+11 
       3.897393330850e-01       5.081374007160e+11 
       4.038808369049e-01       4.692834209237e+11 
       4.187887911971e-01       4.357035789950e+11 
       4.345632459371e-01       4.053092122694e+11 
       4.513287443468e-01       3.741782570064e+11 
       4.692429210256e-01       3.435360655577e+11 
       4.885091808739e-01       3.159577235303e+11 
       5.093959759510e-01       2.893498985214e+11 
       5.322671676640e-01       2.629142642004e+11 
       5.576318591048e-01       2.380255601441e+11 
       5.862302335521e-01       2.135291164719e+11 
       6.191900875184e-01       1.895049986770e+11 
       6.583320443177e-01       1.656291767264e+11 
       7.068119631805e-01       1.415572171346e+11 
       7.705827296347e-01       1.167464966803e+11 
       8.618517397803e-01       9.071842740275e+10 
       1.005671123723e+00       6.379818535621e+10 
       1.235462694306e+00       3.959821149200e+10 
       1.552359359027e+00       2.311815507004e+10 
