# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020963747215e+01 
       1.131335172503e-05       5.407049592718e+01 
       1.221587619537e-05       5.822820856910e+01 
       1.319039970183e-05       6.270560711747e+01 
       1.424266597921e-05       6.752732269473e+01 
       1.537887696968e-05       7.271977824284e+01 
       1.660572937635e-05       7.831145805969e+01 
       1.793045413292e-05       8.433312633902e+01 
       1.936085902198e-05       9.081779560925e+01 
       2.090537469327e-05       9.780106050165e+01 
       2.257310435294e-05       1.053212867107e+02 
       2.437387741694e-05       1.134197339202e+02 
       2.631830744443e-05       1.221408397239e+02 
       2.841785469300e-05       1.315324808471e+02 
       3.068489366414e-05       1.416461926951e+02 
       3.313278603720e-05       1.525374534989e+02 
       3.577595942169e-05       1.642660591534e+02 
       3.862999239199e-05       1.768963734736e+02 
       4.171170630578e-05       1.904976184891e+02 
       4.503926444729e-05       2.051444476926e+02 
       4.863227907969e-05       2.209171694554e+02 
       5.251192703764e-05       2.379022719281e+02 
       5.670107454120e-05       2.561928289405e+02 
       6.122441196689e-05       2.758891059540e+02 
       6.610859936996e-05       2.970989934495e+02 
       7.138242361596e-05       3.199386468390e+02 
       7.707696804727e-05       3.445330857617e+02 
       8.322579568497e-05       3.710168731286e+02 
       8.986514704559e-05       3.995348214891e+02 
       9.703415373875e-05       4.302427602358e+02 
       1.047750691046e-04       4.633083549545e+02 
       1.131335172503e-04       4.989119778408e+02 
       1.221587619537e-04       5.372476327017e+02 
       1.319039970183e-04       5.785239627922e+02 
       1.424266597921e-04       6.229652867070e+02 
       1.537887696968e-04       6.708127168616e+02 
       1.660572937635e-04       7.223253569296e+02 
       1.793045413292e-04       7.777815260575e+02 
       1.936085902198e-04       8.374800806512e+02 
       2.090537469327e-04       9.017417858650e+02 
       2.257310435294e-04       9.709107371794e+02 
       2.437387741694e-04       1.045355852601e+03 
       2.631830744443e-04       1.125472394309e+03 
       2.841785469300e-04       1.211683544371e+03 
       3.068489366414e-04       1.304441981841e+03 
       3.313278603720e-04       1.404231507736e+03 
       3.577595942169e-04       1.511568633758e+03 
       3.862999239199e-04       1.627004164893e+03 
       4.171170630578e-04       1.751124758820e+03 
       4.503926444729e-04       1.884554385439e+03 
       4.863227907969e-04       2.027955747499e+03 
       5.251192703764e-04       2.182031546507e+03 
       5.670107454121e-04       2.347525649682e+03 
       6.122441196689e-04       2.525224025092e+03 
       6.610859936996e-04       2.715955445912e+03 
       7.138242361596e-04       2.920591854192e+03 
       7.707696804727e-04       3.140048216424e+03 
       8.322579568497e-04       3.375281743160e+03 
       8.986514704559e-04       3.627290229606e+03 
       9.703415373875e-04       3.897109208200e+03 
       1.047750691046e-03       4.185807807829e+03 
       1.131335172503e-03       4.494483105278e+03 
       1.221587619537e-03       4.824252931323e+03 
       1.319039970183e-03       5.176247168004e+03 
       1.424266597921e-03       5.551560841587e+03 
       1.537887696968e-03       5.951329904221e+03 
       1.660572937635e-03       6.376663101230e+03 
       1.793045413292e-03       6.828610746116e+03 
       1.936085902198e-03       7.308157444296e+03 
       2.090537469327e-03       7.816197793054e+03 
       2.257310435294e-03       8.353508921411e+03 
       2.437387741694e-03       8.920721083521e+03 
       2.631830744443e-03       9.518283694871e+03 
       2.841785469300e-03       1.014642762526e+04 
       3.068489366414e-03       1.080512408147e+04 
       3.313278603720e-03       1.149404180035e+04 
       3.577595942169e-03       1.221249092714e+04 
       3.862999239199e-03       1.295936589601e+04 
       4.171170630578e-03       1.373308824963e+04 
       4.503926444729e-03       1.453153200206e+04 
       4.863227907969e-03       1.535193581053e+04 
       5.251192703764e-03       1.619095585169e+04 
       5.670107454120e-03       1.704463803308e+04 
       6.122441196689e-03       1.790703098920e+04 
       6.610859936996e-03       1.877378607738e+04 
       7.138242361596e-03       1.963820596660e+04 
       7.707696804727e-03       2.049180895168e+04 
       8.322579568496e-03       2.132639563689e+04 
       8.986514704559e-03       2.213082585338e+04 
       9.703415373875e-03       2.289470013455e+04 
       1.047750691046e-02       2.360567426668e+04 
       1.131335172503e-02       2.425035975989e+04 
       1.221587619537e-02       2.481333628329e+04 
       1.319039970183e-02       2.528237515079e+04 
       1.424266597920e-02       2.563825528969e+04 
       1.537887696964e-02       2.586552671335e+04 
       1.660572937560e-02       2.595052008573e+04 
       1.793045412207e-02       2.587557862923e+04 
       1.936085889642e-02       2.563228575851e+04 
       2.090537351881e-02       2.520874068337e+04 
       2.257309534705e-02       2.460412967965e+04 
       2.437382002240e-02       2.382047916967e+04 
       2.631799943729e-02       2.287008642828e+04 
       2.841644544598e-02       2.177443334785e+04 
       3.067933354524e-02       2.056532010378e+04 
       3.311368469821e-02       1.928712263612e+04 
       3.571840442514e-02       1.799406646115e+04 
       3.847720347390e-02       1.674673196260e+04 
       4.135335537314e-02       1.560446996959e+04 
       4.429361666563e-02       1.461012013978e+04 
       4.724366437916e-02       1.378004260351e+04 
       5.016480834039e-02       1.310477895222e+04 
       5.303989618930e-02       1.255712476359e+04 
       5.586870668205e-02       1.210418591738e+04 
       5.866042679206e-02       1.171464631078e+04 
       6.142798931504e-02       1.136035842818e+04 
       6.418496438662e-02       1.101860149537e+04 
       6.694418832236e-02       1.067063945189e+04 
       6.971731104453e-02       1.030332787501e+04 
       7.251476154108e-02       9.909078892814e+03 
       7.534587669814e-02       9.483342836834e+03 
       7.821907664495e-02       9.029177047115e+03 
       8.114203771084e-02       8.552380413011e+03 
       8.412184533139e-02       8.061714280278e+03 
       8.716512277352e-02       7.570639723702e+03 
       9.027813693913e-02       7.092353541096e+03 
       9.346688429613e-02       6.640444785560e+03 
       9.673716026122e-02       6.226679220901e+03 
       1.000946150608e-01       5.859870795367e+03 
       1.035447986307e-01       5.545186274274e+03 
       1.070931966524e-01       5.283128675777e+03 
       1.107452594180e-01       5.069327652633e+03 
       1.145064248899e-01       4.895189909858e+03 
       1.183821370656e-01       4.747743075063e+03 
       1.223778605591e-01       4.611668336606e+03 
       1.264990921707e-01       4.470471769702e+03 
       1.307513701078e-01       4.310089697690e+03 
       1.351402814485e-01       4.121245793209e+03 
       1.396714683894e-01       3.901959051774e+03 
       1.443506337875e-01       3.658597921944e+03 
       1.491835464900e-01       3.404398420889e+03 
       1.541760469368e-01       3.156603859057e+03 
       1.593340535209e-01       2.931909713653e+03 
       1.646635701934e-01       2.742325874554e+03 
       1.701706958081e-01       2.592223891103e+03 
       1.758616357070e-01       2.477184426433e+03 
       1.817427160581e-01       2.385113293189e+03 
       1.878204014651e-01       2.300292112425e+03 
       1.941013163855e-01       2.205780702765e+03 
       2.005922709060e-01       2.090841538237e+03 
       2.073002914514e-01       1.956444914614e+03 
       2.142326570343e-01       1.814141749225e+03 
       2.213969417044e-01       1.679240636185e+03 
       2.288010639201e-01       1.563834592197e+03 
       2.364533436625e-01       1.472651028779e+03 
       2.443625682390e-01       1.401480930836e+03 
       2.525380678946e-01       1.338425316082e+03 
       2.609898025770e-01       1.270881111625e+03 
       2.697284614969e-01       1.193345893413e+03 
       2.787655775073e-01       1.109327781480e+03 
       2.881136588192e-01       1.028751666498e+03 
       2.977863412019e-01       9.604678279558e+02 
       3.077985646248e-01       9.049985620075e+02 
       3.181667793367e-01       8.561181176272e+02 
       3.289091877084e-01       8.061799367192e+02 
       3.400460298905e-01       7.523678202198e+02 
       3.515999235695e-01       6.989016608354e+02 
       3.635962710278e-01       6.510411338673e+02 
       3.760637505499e-01       6.101051439666e+02 
       3.890349143014e-01       5.721298630693e+02 
       4.025469215929e-01       5.337655495612e+02 
       4.166424455447e-01       4.956152836243e+02 
       4.313708034899e-01       4.604665079920e+02 
       4.467893781976e-01       4.287630732018e+02 
       4.629654198623e-01       3.987604107320e+02 
       4.799783500912e-01       3.692309225492e+02 
       4.979227318246e-01       3.412379110424e+02 
       5.169121269689e-01       3.154730751805e+02 
       5.370841403262e-01       2.908254614072e+02 
       5.586070463286e-01       2.670976542638e+02 
       5.816885093582e-01       2.448014131095e+02 
       6.065870143577e-01       2.235611497590e+02 
       6.336266466978e-01       2.032070289884e+02 
       6.632156057925e-01       1.838733997565e+02 
       6.958678637575e-01       1.653521248292e+02 
       7.322247983784e-01       1.476937104707e+02 
       7.730680193171e-01       1.308340471272e+02 
       8.193049551574e-01       1.148314049874e+02 
       8.718988013754e-01       9.976277527758e+01 
       9.317218028590e-01       8.577699502976e+01 
       9.993660906273e-01       7.305395757142e+01 
       1.075037109879e+00       6.173582144174e+01 
       1.158653485387e+00       5.187876567728e+01 
       1.250099156961e+00       4.344013255842e+01 
       1.349432400897e+00       3.628826148809e+01 
       1.456947456991e+00       3.026767055279e+01 
       1.573135110893e+00       2.521419942168e+01 
       1.698621895119e+00       2.098149414318e+01 
       1.834127512423e+00       1.744185830470e+01 
       1.980444933977e+00       1.448509220816e+01 
       2.138435191130e+00       1.201853912175e+01 
       2.309029198543e+00       9.963131218902e+00 
       2.493232376993e+00       8.251720476077e+00 
       2.692130394536e+00       6.828333968346e+00 
       2.906895533764e+00       5.646042308791e+00 
       3.138793596840e+00       4.664728176961e+00 
       3.389191365541e+00       3.850984528776e+00 
       3.659564656886e+00       3.176765591348e+00 
       3.951507021438e+00       2.618758200628e+00 
       4.266739135513e+00       2.157252797643e+00 
       4.607118942658e+00       1.775894284240e+00 
       4.974652604172e+00       1.460912742983e+00 
       5.371506323193e+00       1.201092486519e+00 
       5.800019112071e+00       9.868906111076e-01 
       6.262716578240e+00       8.103514470909e-01 
       6.762325809881e+00       6.650134658130e-01 
       7.301791449077e+00       5.454202160796e-01 
       7.884293047211e+00       4.470949053460e-01 
       8.513263804891e+00       3.662915903957e-01 
       9.192410806865e+00       2.999371733183e-01 
       9.925736871166e+00       2.454790247402e-01 
       1.071756414128e+01       2.008102177071e-01 
       1.157255956041e+01       1.641866108189e-01 
       1.249576237789e+01       1.341776316592e-01 
