# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.047750691046e-05      -1.585042200820e-05      -1.188786610651e-05      -1.188786651741e-05      -1.585041425881e-05      -1.200118372906e-05       6.122075869599e-01       5.968372822554e-01 
       1.319039970183e-05      -2.512115999721e-05      -1.884099458824e-05      -1.884099562038e-05      -2.512114053163e-05      -1.902058935817e-05       6.122073851647e-01       5.968371428679e-01 
       1.660572937635e-05      -3.981419303435e-05      -2.986095773203e-05      -2.986096032460e-05      -3.981414413942e-05      -3.014559236803e-05       6.122071036567e-01       5.968369645864e-01 
       2.090537469327e-05      -6.310083173014e-05      -4.732640990607e-05      -4.732641641820e-05      -6.310070891259e-05      -4.777751559924e-05       6.122066442188e-01       5.968366667378e-01 
       2.631830744443e-05      -1.000070381394e-04      -7.500725320852e-05      -7.500726956668e-05      -1.000067296374e-04      -7.572218288128e-05       6.122058769102e-01       5.968361561770e-01 
       3.313278603720e-05      -1.584978627197e-04      -1.188783569835e-04      -1.188783980733e-04      -1.584970878123e-04      -1.200113822056e-04       6.122046717553e-01       5.968353542674e-01 
       4.171170630578e-05      -2.511956166665e-04      -1.884091711684e-04      -1.884092743806e-04      -2.511936702446e-04      -1.902047394659e-04       6.122027445387e-01       5.968340634067e-01 
       5.251192703764e-05      -3.981017278960e-04      -2.986075900933e-04      -2.986078493483e-04      -3.980968389297e-04      -3.014529830697e-04       6.121996885460e-01       5.968320170171e-01 
       6.610859936996e-05      -6.309072944722e-04      -4.732590759251e-04      -4.732597271423e-04      -6.308950148670e-04      -4.777677378640e-04       6.121948557055e-01       5.968287822845e-01 
       8.322579568497e-05      -9.998166542583e-04      -7.500599282584e-04      -7.500615640601e-04      -9.997858127752e-04      -7.572032095752e-04       6.121872081885e-01       5.968236710002e-01 
       1.047750691046e-04      -1.584341335183e-03      -1.188751905278e-03      -1.188756014109e-03      -1.584263879486e-03      -1.200067048885e-03       6.121750884633e-01       5.968155640427e-01 
       1.319039970183e-04      -2.510355615702e-03      -1.884012217657e-03      -1.884022538505e-03      -2.510161112466e-03      -1.901929956142e-03       6.121558725501e-01       5.968027126926e-01 
       1.660572937635e-04      -3.976997745780e-03      -2.985876287931e-03      -2.985902212717e-03      -3.976509401011e-03      -3.014234931023e-03       6.121254267226e-01       5.967823494580e-01 
