# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760258e-10       7.309265059079e-15       4.815171148059e-13       2.388861367681e-19       8.628903609643e-09       4.854772125140e-10      -2.515854151613e-12 
    3       1.409375667404e-10       1.238839452131e-14       6.068719461071e-13       4.780044790845e-19       5.411291720452e-09       3.469573585510e-10      -2.211507031147e-12 
    4       1.324638933495e-10       1.446592354285e-14       6.277975858839e-13       7.971819672609e-19       3.776588552315e-09       2.639785050794e-10      -1.764116067080e-12 
    5       1.257528917306e-10       1.337973190997e-14       5.879550144260e-13       1.196705766344e-18       2.821984229951e-09       2.093815839154e-10      -1.309529286441e-12 
    6       1.208087576670e-10       1.032478441012e-14       5.173987897673e-13       1.676916266017e-18       2.205212282891e-09       1.709429029072e-10      -8.948468925469e-13 
    7       1.173342233291e-10       6.843838595473e-15       4.365330660531e-13       2.238195798022e-18       1.778233642564e-09       1.425663900771e-10      -5.443860557757e-13 
    8       1.150094176208e-10       4.045255171768e-15       3.576614997228e-13       2.880956133999e-18       1.468351550585e-09       1.208855287012e-10      -2.689334595798e-13 
    9       1.135899950163e-10       2.339962952386e-15       2.880577371252e-13       3.605625258051e-18       1.235838580427e-09       1.038809735192e-10      -7.009986710226e-14 
   10       1.128613018423e-10       1.576066392462e-15       2.317780349505e-13       4.412633935583e-18       1.056623420517e-09       9.029297738551e-11       5.745597591388e-14 
   11       1.126830764597e-10       1.351208675906e-15       1.905546770861e-13       5.302402605914e-18       8.886898863528e-10       7.950622621211e-11       1.233291888069e-13 
   12       1.129466835376e-10       1.294588313344e-15       1.640599038146e-13       6.275329110756e-18       7.765278491872e-10       7.028426672607e-11       1.421600854640e-13 
   13       1.135320831168e-10       1.208007401034e-15       1.505250308455e-13       7.331777734399e-18       6.844563324612e-10       6.274647521655e-11       1.277329345192e-13 
   14       1.143407942290e-10       1.063264028788e-15       1.473981485512e-13       8.472069975868e-18       6.078507020062e-10       5.620932691925e-11       9.279532800022e-14 
   15       1.153792178051e-10       9.202377752366e-16       1.516646923286e-13       9.696477400701e-18       5.433693948278e-10       5.074770630809e-11       4.959311353094e-14 
   16       1.166084638704e-10       8.404031750391e-16       1.602810277060e-13       1.100521683323e-17       4.885455303763e-10       4.611880685714e-11       7.232456987260e-15 
   17       1.179455003063e-10       8.411741252119e-16       1.707678006143e-13       1.239844805297e-17       4.415155572830e-10       4.212235068328e-11      -2.792920702233e-14 
   18       1.193943887575e-10       8.950457248402e-16       1.812583733889e-13       1.387627282882e-17       4.006946005672e-10       3.857273461232e-11      -5.233421671131e-14 
   19       1.209630582318e-10       9.693348483603e-16       1.907730514223e-13       1.543874382657e-17       3.654375301920e-10       3.544037678075e-11      -6.510245763471e-14 
   20       1.225956288910e-10       1.030562382014e-15       1.985685571361e-13       1.708585635406e-17       3.343837601790e-10       3.267209105896e-11      -6.706958873342e-14 
   21       1.243040211478e-10       1.081655448464e-15       2.047244300617e-13       1.881757357612e-17       3.070458375795e-10       3.022365555311e-11      -6.038518073843e-14 
