# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.047750691046e-05      -1.317520122913e-03      -9.886554313139e-04      -9.886554590315e-04      -1.317501598387e-03      -9.887522347161e-04       4.726066065084e-01       4.724606659662e-01 
       1.319039970183e-05      -2.087490465366e-03      -1.566912141167e-03      -1.566912210785e-03      -2.087443946554e-03      -1.567065396332e-03       4.726061392676e-01       4.724602634876e-01 
       1.660572937635e-05      -3.306846092061e-03      -2.483384956451e-03      -2.483385131313e-03      -3.306729286136e-03      -2.483627427915e-03       4.726052821641e-01       4.724595090981e-01 
       2.090537469327e-05      -5.236973919928e-03      -3.935892156645e-03      -3.935892595818e-03      -5.236680699904e-03      -3.936275389740e-03       4.726040270882e-01       4.724584166341e-01 
       2.631830744443e-05      -8.289944719247e-03      -6.237948348860e-03      -6.237949451784e-03      -8.289208906888e-03      -6.238553076682e-03       4.726019734525e-01       4.724566204734e-01 
       3.313278603720e-05      -1.311334528800e-02      -9.886431296728e-03      -9.886434066267e-03      -1.311149986947e-02      -9.887383065534e-03       4.725987438747e-01       4.724537982729e-01 
       4.171170630578e-05      -2.071976695630e-02      -1.566881046937e-02      -1.566881742254e-02      -2.071514292389e-02      -1.567030223345e-02       4.725936235788e-01       4.724493218581e-01 
       5.251192703764e-05      -3.267973014392e-02      -2.483307153384e-02      -2.483308898535e-02      -3.266816037312e-02      -2.483539406927e-02       4.725855146309e-01       4.724422290404e-01 
       6.610859936996e-05      -5.139706950439e-02      -3.935696341466e-02      -3.935700719467e-02      -5.136818716687e-02      -3.936054017047e-02       4.725726792576e-01       4.724309931873e-01 
       8.322579568497e-05      -8.047119777045e-02      -6.237456967745e-02      -6.237467942540e-02      -8.039935837668e-02      -6.237997928772e-02       4.725523961246e-01       4.724132178651e-01 
       1.047750691046e-04      -1.250931136857e-01      -9.885198301548e-02      -9.885225780620e-02      -1.249154561252e-01      -9.885991595193e-02       4.725204031435e-01       4.723851317985e-01 
       1.319039970183e-04      -1.922573518586e-01      -1.566571951888e-01      -1.566578819292e-01      -1.918220316066e-01      -1.566681988460e-01       4.724700752802e-01       4.723408290214e-01 
       1.660572937635e-04      -2.901742913979e-01      -2.482533302795e-01      -2.482550414888e-01      -2.891231468669e-01      -2.482669840348e-01       4.723912419536e-01       4.722711375270e-01 
       2.090537469327e-04      -4.254621246004e-01      -3.933762767731e-01      -3.933805209612e-01      -4.229829689004e-01      -3.933890006177e-01       4.722685671352e-01       4.721619749511e-01 
       2.631830744443e-04      -5.955341370965e-01      -6.232640092832e-01      -6.232744594570e-01      -5.899046197903e-01      -6.232639848935e-01       4.720795614176e-01       4.719921072213e-01 
       3.313278603720e-04      -7.735612395422e-01      -9.873253227844e-01      -9.873507626981e-01      -7.615458334898e-01      -9.872824239748e-01       4.717925983549e-01       4.717303981527e-01 
       4.171170630578e-04      -8.906514657678e-01      -1.563629935882e+00      -1.563690790443e+00      -8.675215823814e-01      -1.563480425352e+00       4.713657470778e-01       4.713330569364e-01 
       5.251192703764e-04      -8.471876387098e-01      -2.475358583237e+00      -2.475500324517e+00      -8.099630049172e-01      -2.474994491328e+00       4.707471213617e-01       4.707419761129e-01 
