# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.047750691046e-05      -1.317519978217e-03      -9.886553223848e-04      -9.886553508271e-04      -1.317501454151e-03      -9.887521263877e-04       4.726065547571e-01       4.724606141993e-01 
       1.131335172503e-05      -1.535981791346e-03      -1.152686844283e-03      -1.152686882945e-03      -1.535956612171e-03      -1.152799674504e-03       4.726062583182e-01       4.724603362063e-01 
       1.221587619537e-05      -1.790642510735e-03      -1.343934068869e-03      -1.343934121424e-03      -1.790608286205e-03      -1.344065571805e-03       4.726061723655e-01       4.724602716562e-01 
       1.319039970183e-05      -2.087489957459e-03      -1.566911757512e-03      -1.566911828951e-03      -2.087443438198e-03      -1.567065014175e-03       4.726060238461e-01       4.724601481224e-01 
       1.424266597921e-05      -2.433500591209e-03      -1.826884734126e-03      -1.826884831236e-03      -2.433437362688e-03      -1.827063330626e-03       4.726059015770e-01       4.724600549353e-01 
       1.537887696968e-05      -2.836798543548e-03      -2.129990233499e-03      -2.129990365503e-03      -2.836712603786e-03      -2.130198342535e-03       4.726056149468e-01       4.724598022825e-01 
       1.660572937635e-05      -3.306846413133e-03      -2.483385195233e-03      -2.483385374665e-03      -3.306729609169e-03      -2.483627670576e-03       4.726053283813e-01       4.724595552832e-01 
       1.793045413292e-05      -3.854659882725e-03      -2.895412899870e-03      -2.895413143776e-03      -3.854501131903e-03      -2.895695385210e-03       4.726049651401e-01       4.724592381905e-01 
       1.936085902198e-05      -4.493061832446e-03      -3.375801291631e-03      -3.375801623170e-03      -4.492846077749e-03      -3.376130346150e-03       4.726045353655e-01       4.724588622061e-01 
       2.090537469327e-05      -5.236973736914e-03      -3.935892010036e-03      -3.935892460697e-03      -5.236680517856e-03      -3.936275252809e-03       4.726040106451e-01       4.724584001957e-01 
