# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.047750691046e-05      -1.585042200802e-05      -1.188786610639e-05      -1.188786651734e-05      -1.585041425869e-05      -1.200118372898e-05       6.122075869500e-01       5.968372822433e-01 
       1.131335172503e-05      -1.848022118734e-05      -1.386023331505e-05      -1.386023387368e-05      -1.848021065323e-05      -1.399235163549e-05       6.122075012738e-01       5.968372178641e-01 
       1.221587619537e-05      -2.154633918177e-05      -1.615984604028e-05      -1.615984679965e-05      -2.154632486214e-05      -1.631388426394e-05       6.122074847349e-01       5.968372231315e-01 
       1.319039970183e-05      -2.512115999597e-05      -1.884099458735e-05      -1.884099561962e-05      -2.512114053058e-05      -1.902058935738e-05       6.122073851367e-01       5.968371428370e-01 
       1.424266597921e-05      -2.928909075459e-05      -2.196698742852e-05      -2.196698883171e-05      -2.928906429414e-05      -2.217637876246e-05       6.122073398056e-01       5.968371354301e-01 
       1.537887696968e-05      -3.414852432395e-05      -2.561162346691e-05      -2.561162537437e-05      -3.414848835488e-05      -2.585575471809e-05       6.122072122617e-01       5.968370391376e-01 
       1.660572937635e-05      -3.981419154964e-05      -2.986095661835e-05      -2.986095921126e-05      -3.981414265487e-05      -3.014559124404e-05       6.122070739879e-01       5.968369409475e-01 
       1.793045413292e-05      -4.641985625708e-05      -3.481531761140e-05      -3.481532113607e-05      -4.641978979179e-05      -3.514717519541e-05       6.122069827061e-01       5.968368960628e-01 
       1.936085902198e-05      -5.412146196438e-05      -4.059167476857e-05      -4.059167955982e-05      -5.412137161501e-05      -4.097858952296e-05       6.122068351415e-01       5.968367973448e-01 
       2.090537469327e-05      -6.310083172956e-05      -4.732640990591e-05      -4.732641641888e-05      -6.310070891320e-05      -4.777751559976e-05       6.122066442183e-01       5.968366667352e-01 
       2.257310435294e-05      -7.356994476947e-05      -5.517852717690e-05      -5.517853603043e-05      -7.356977781806e-05      -5.570447260726e-05       6.122063695497e-01       5.968364652490e-01 
       2.437387741694e-05      -8.577596493085e-05      -6.433342630431e-05      -6.433343833950e-05      -8.577573798601e-05      -6.494662667227e-05       6.122061348049e-01       5.968363117097e-01 
       2.631830744443e-05      -1.000070385242e-04      -7.500725349778e-05      -7.500726985805e-05      -1.000067300251e-04      -7.572218317503e-05       6.122058794158e-01       5.968361586514e-01 
       2.841785469300e-05      -1.165991002896e-04      -8.745200940281e-05      -8.745203164217e-05      -1.165986809314e-04      -8.828554327330e-05       6.122055289122e-01       5.968359235215e-01 
       3.068489366414e-05      -1.359438282997e-04      -1.019615199836e-04      -1.019615502144e-04      -1.359432582495e-04      -1.029333315458e-04       6.122051302361e-01       5.968356538984e-01 
       3.313278603720e-05      -1.584978627146e-04      -1.188783569813e-04      -1.188783980764e-04      -1.584970878146e-04      -1.200113822077e-04       6.122046717579e-01       5.968353542688e-01 
       3.577595942169e-05      -1.847935616112e-04      -1.386019135217e-04      -1.386019693835e-04      -1.847925082561e-04      -1.399228914041e-04       6.122040958720e-01       5.968349561364e-01 
       3.862999239199e-05      -2.154516218232e-04      -1.615978815333e-04      -1.615979574706e-04      -2.154501899472e-04      -1.631379845866e-04       6.122034854507e-01       5.968345591154e-01 
       4.171170630578e-05      -2.511956166575e-04      -1.884091711658e-04      -1.884092743913e-04      -2.511936702543e-04      -1.902047394742e-04       6.122027445531e-01       5.968340634240e-01 
       4.503926444729e-05      -2.928691409244e-04      -2.196687913882e-04      -2.196689317082e-04      -2.928664951154e-04      -2.217621887188e-04       6.122018744289e-01       5.968334752493e-01 
       4.863227907969e-05      -3.414556737399e-04      -2.561147767925e-04      -2.561149675378e-04      -3.414520771799e-04      -2.585553880059e-04       6.122008647208e-01       5.968328033795e-01 
       5.251192703764e-05      -3.981017278276e-04      -2.986075900526e-04      -2.986078493410e-04      -3.980968389084e-04      -3.014529830561e-04       6.121996885097e-01       5.968320169801e-01 
       5.670107454120e-05      -4.641438932942e-04      -3.481504595994e-04      -3.481508120542e-04      -4.641372476918e-04      -3.514677393461e-04       6.121983199660e-01       5.968310982606e-01 
       6.122441196689e-05      -5.411403009497e-04      -4.059130516398e-04      -4.059135307589e-04      -5.411312674127e-04      -4.097804373302e-04       6.121967253726e-01       5.968300324239e-01 
       6.610859936996e-05      -6.309072943493e-04      -4.732590758597e-04      -4.732597271606e-04      -6.308950148625e-04      -4.777677378669e-04       6.121948556987e-01       5.968287822773e-01 
       7.138242361596e-05      -7.355621991515e-04      -5.517785002747e-04      -5.517793856335e-04      -7.355455075318e-04      -5.570346996217e-04       6.121926949417e-01       5.968273390640e-01 
       7.707696804727e-05      -8.575730508641e-04      -6.433250343298e-04      -6.433262378349e-04      -8.575503618230e-04      -6.494526132209e-04       6.121901623418e-01       5.968256459885e-01 
       8.322579568497e-05      -9.998166539679e-04      -7.500599281081e-04      -7.500615641199e-04      -9.997858127823e-04      -7.572032095965e-04       6.121872081970e-01       5.968236710059e-01 
       8.986514704559e-05      -1.165646113046e-03      -8.745029672615e-04      -8.745051911508e-04      -1.165604191131e-03      -8.828301293625e-04       6.121837713651e-01       5.968213723501e-01 
       9.703415373875e-05      -1.358969464305e-03      -1.019591916695e-03      -1.019594939737e-03      -1.358912481062e-03      -1.029298917752e-03       6.121797584575e-01       5.968186865739e-01 
       1.047750691046e-04      -1.584341334395e-03      -1.188751904856e-03      -1.188756014214e-03      -1.584263879445e-03      -1.200067048894e-03       6.121750884526e-01       5.968155640342e-01 
       1.131335172503e-04      -1.847069444883e-03      -1.385976171200e-03      -1.385981757355e-03      -1.846964164808e-03      -1.399165414356e-03       6.121696415447e-01       5.968119222481e-01 
       1.221587619537e-04      -2.153338717750e-03      -1.615920327441e-03      -1.615927920891e-03      -2.153195618194e-03      -1.631293443283e-03       6.121632821233e-01       5.968076682736e-01 
       1.319039970183e-04      -2.510355613609e-03      -1.884012216509e-03      -1.884022538683e-03      -2.510161112247e-03      -1.901929956076e-03       6.121558725139e-01       5.968027126658e-01 
       1.424266597921e-04      -2.926515843547e-03      -2.196579878159e-03      -2.196593909958e-03      -2.926251480683e-03      -2.217462277040e-03       6.121472328937e-01       5.967969336827e-01 
       1.537887696968e-04      -3.411599574018e-03      -2.561000921572e-03      -2.561019995398e-03      -3.411240265791e-03      -2.585336931526e-03       6.121371655066e-01       5.967902026595e-01 
       1.660572937635e-04      -3.976997740824e-03      -2.985876285276e-03      -2.985902213392e-03      -3.976509400763e-03      -3.014234931087e-03       6.121254267061e-01       5.967823494509e-01 
       1.793045413292e-04      -4.635975470584e-03      -3.481233280819e-03      -3.481268526370e-03      -4.635311779794e-03      -3.514276568720e-03       6.121117424195e-01       5.967731972604e-01 
       1.936085902198e-04      -5.403976999217e-03      -4.058761723177e-03      -4.058809633917e-03      -5.403075024615e-03      -4.097259554252e-03       6.120957891455e-01       5.967625265844e-01 
       2.090537469327e-04      -6.298979618789e-03      -4.732089492033e-03      -4.732154619798e-03      -6.297753859492e-03      -4.776936868990e-03       6.120771893375e-01       5.967500846386e-01 
       2.257310435294e-04      -7.341903410647e-03      -5.517103564931e-03      -5.517192095855e-03      -7.340237714326e-03      -5.569340401139e-03       6.120555083568e-01       5.967355798960e-01 
       2.437387741694e-04      -8.557085135482e-03      -6.432324074685e-03      -6.432444418365e-03      -8.554821728443e-03      -6.493157954434e-03       6.120302335417e-01       5.967186699453e-01 
       2.631830744443e-04      -9.972825710342e-03      -7.499340245748e-03      -7.499503833525e-03      -9.969750313934e-03      -7.570172499582e-03       6.120007738910e-01       5.966989573859e-01 
       2.841785469300e-04      -1.162202157850e-02      -8.743318275559e-03      -8.743540649741e-03      -1.161784318556e-02      -8.825773762640e-03       6.119664317795e-01       5.966759768366e-01 
       3.068489366414e-04      -1.354289127083e-02      -1.019359301641e-02      -1.019389529124e-02      -1.353721481472e-02      -1.028955398507e-02       6.119264066323e-01       5.966491868102e-01 
       3.313278603720e-04      -1.577981003656e-02      -1.188435714664e-02      -1.188476803895e-02      -1.577209917943e-02      -1.199600160533e-02       6.118797538930e-01       5.966179581597e-01 
       3.577595942169e-04      -1.838426536201e-02      -1.385546390603e-02      -1.385602244627e-02      -1.837379220588e-02      -1.398530876712e-02       6.118253807218e-01       5.965815550387e-01 
       3.862999239199e-04      -2.141594771111e-02      -1.615336175846e-02      -1.615412098619e-02      -2.140172469386e-02      -1.630431104270e-02       6.117620177887e-01       5.965391225543e-01 
       4.171170630578e-04      -2.494399073228e-02      -1.883218245095e-02      -1.883321450768e-02      -2.492467824929e-02      -1.900758070252e-02       6.116881809385e-01       5.964896640686e-01 
       4.503926444729e-04      -2.904837376286e-02      -2.195500768122e-02      -2.195641054395e-02      -2.902215562554e-02      -2.215869823361e-02       6.116021455752e-01       5.964320172959e-01 
       4.863227907969e-04      -3.382149994701e-02      -2.559534249568e-02      -2.559724941232e-02      -3.378591461946e-02      -2.583173042635e-02       6.115019079781e-01       5.963648313511e-01 
       5.251192703764e-04      -3.936995731354e-02      -2.983882963184e-02      -2.984142171298e-02      -3.932167031567e-02      -3.011294794812e-02       6.113851366322e-01       5.962865326004e-01 
       5.670107454121e-04      -4.581646658238e-02      -3.478524252789e-02      -3.478876589244e-02      -4.575096370143e-02      -3.510281986083e-02       6.112491245010e-01       5.961952886098e-01 
       6.122441196689e-04      -5.330201078716e-02      -4.055080167994e-02      -4.055559088409e-02      -5.321318483391e-02      -4.091832853540e-02       6.110907266773e-01       5.960889694323e-01 
       6.610859936996e-04      -6.198812664523e-02      -4.727086511487e-02      -4.727737488246e-02      -6.186772168869e-02      -4.769565383858e-02       6.109062929316e-01       5.959650954104e-01 
       7.138242361596e-04      -7.205932018856e-02      -5.510305198158e-02      -5.511190035819e-02      -7.189618657972e-02      -5.559328361559e-02       6.106915903894e-01       5.958207848636e-01 
       7.707696804727e-04      -8.372554091812e-02      -6.423086616697e-02      -6.424289284484e-02      -8.350463720167e-02      -6.479561389134e-02       6.104417164020e-01       5.956526883992e-01 
       8.322579568497e-04      -9.722461010340e-02      -7.486789405338e-02      -7.488424115488e-02      -9.692566937151e-02      -7.551711048655e-02       6.101509957011e-01       5.954569167617e-01 
       8.986514704559e-04      -1.128244368398e-01      -8.726267039512e-02      -8.728488877419e-02      -1.124201967295e-01      -8.800711489929e-02       6.098128676144e-01       5.952289534860e-01 
