# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.262144267653e-03 
       1.319039970183e-05       9.069528550552e-03 
       1.660572937635e-05       1.132672901023e-02 
       2.090537469327e-05       1.414569218019e-02 
       2.631830744443e-05       1.766622026884e-02 
       3.313278603720e-05       2.206291107133e-02 
       4.171170630578e-05       2.755379855497e-02 
       5.251192703764e-05       3.441116069341e-02 
       6.610859936996e-05       4.297500318328e-02 
       8.322579568497e-05       5.366986860955e-02 
       1.047750691046e-04       6.702579415498e-02 
       1.319039970183e-04       8.370442166809e-02 
       1.660572937635e-04       1.045314318482e-01 
       2.090537469327e-04       1.305367639603e-01 
       2.631830744443e-04       1.630042243500e-01 
       3.313278603720e-04       2.035322963037e-01 
       4.171170630578e-04       2.541077024658e-01 
       5.251192703764e-04       3.171927134770e-01 
       6.610859936996e-04       3.958251334543e-01 
       8.322579568497e-04       4.937255261650e-01 
       1.047750691046e-03       6.153968895969e-01 
       1.319039970183e-03       7.661835102456e-01 
       1.660572937635e-03       9.522636230197e-01 
       2.090537469327e-03       1.180296813722e+00 
       2.631830744443e-03       1.456732679164e+00 
       3.313278603720e-03       1.786302090789e+00 
       4.171170630578e-03       2.169373661907e+00 
       5.251192703764e-03       2.598122709581e+00 
       6.610859936996e-03       3.052437548365e+00 
       8.322579568497e-03       3.497858074940e+00 
       1.047750691046e-02       3.886792195986e+00 
       1.319039970183e-02       4.157972094441e+00 
       1.660572937633e-02       4.230427042057e+00 
       2.090537453514e-02       4.011976801638e+00 
       2.631818545635e-02       3.437204591696e+00 
       3.311571692125e-02       2.538195088621e+00 
       4.113809243311e-02       1.563903673972e+00 
       4.792590854610e-02       9.490119440736e-01 
       5.284436902701e-02       6.301063040436e-01 
       5.689644391095e-02       4.353248998514e-01 
       6.051252627066e-02       3.037267461849e-01 
       6.388413457411e-02       2.100330111949e-01 
       6.711249296401e-02       1.415725431875e-01 
       7.025823437965e-02       9.119101729401e-02 
       7.336115587705e-02       5.452285762849e-02 
       7.644928796912e-02       2.875315462315e-02 
       7.954353299775e-02       1.196861539248e-02 
       8.266024078725e-02       2.767555950469e-03 
       8.581273398637e-02       8.039585887384e-07 
       8.901225918437e-02       2.592117381190e-03 
       9.226860540985e-02       9.411863592770e-03 
       9.559052048996e-02       1.920395563777e-02 
       9.898599946599e-02       3.057203795118e-02 
       1.024624891378e-01       4.203064131751e-02 
       1.060270359164e-01       5.211614912140e-02 
       1.096863943056e-01       5.954385002164e-02 
       1.134471073830e-01       6.338299584785e-02 
       1.173155669539e-01       6.319474906121e-02 
       1.212980586983e-01       5.911935972962e-02 
       1.254007961065e-01       5.185126731652e-02 
       1.296299459934e-01       4.249953786146e-02 
       1.339916477160e-01       3.236410003880e-02 
       1.384920277736e-01       2.267582047049e-02 
       1.431372111762e-01       1.437558332110e-02 
       1.479333307714e-01       7.992713368533e-03 
       1.528865355934e-01       3.643982968073e-03 
       1.580029992204e-01       1.132556959936e-03 
       1.632889290723e-01       9.396960304659e-05 
       1.687505775527e-01       1.312429692298e-04 
       1.743942559171e-01       8.965291612136e-04 
       1.802263517371e-01       2.106398266576e-03 
       1.862533508214e-01       3.509679668107e-03 
       1.924818644494e-01       4.847239336829e-03 
       1.989186627765e-01       5.812498171273e-03 
       2.055707152847e-01       6.122158522984e-03 
       2.124452391818e-01       5.649877122749e-03 
       2.195497567139e-01       4.502127924509e-03 
       2.268921624510e-01       2.998928720987e-03 
       2.344808017550e-01       1.569237501612e-03 
       2.423245618548e-01       5.557352362406e-04 
       2.504329772620e-01       7.073957571645e-05 
       2.588163516754e-01       2.099739084992e-05 
       2.674858990930e-01       2.153197485480e-04 
       2.764539076010e-01       4.755739855561e-04 
       2.857339303080e-01       6.868503229777e-04 
       2.953410092148e-01       7.782305342344e-04 
       3.052919395542e-01       7.196150042168e-04 
       3.156055844677e-01       5.286011295466e-04 
       3.263032530092e-01       2.816558230949e-04 
       3.374091587054e-01       8.591632240607e-05 
       3.489509817175e-01       3.145553438436e-06 
       3.609605657343e-01       1.948932000230e-05 
       3.734747921333e-01       7.411876742350e-05 
       3.865366902904e-01       1.127873453171e-04 
       4.001968667448e-01       1.117305785078e-04 
       4.145153713076e-01       7.482126317730e-05 
       4.295641718077e-01       2.860721862092e-05 
       4.454304922144e-01       2.193949402086e-06 
       4.622214006969e-01       3.569290126377e-06 
       4.800702491654e-01       1.550860528132e-05 
       4.991459272112e-01       1.901763175290e-05 
       5.196665217302e-01       1.088291851418e-05 
       5.419201087032e-01       1.658416691998e-06 
       5.662975451962e-01       5.001477522245e-07 
       5.933463737275e-01       2.950165821312e-06 
       6.238638458458e-01       1.845258850443e-06 
       6.590669257916e-01       1.480308738599e-08 
       7.009246080454e-01       5.257162714686e-07 
       7.528593308799e-01       9.082261205473e-08 
       8.213469537518e-01       8.459652122559e-08 
       9.196980813302e-01       1.411563405034e-08 
       1.075112183810e+00       1.343500185242e-09 
       1.322697471132e+00       1.249599045947e-11 
       1.662328205042e+00       4.999888800933e-13 
       2.092692408506e+00       5.028137236564e-13 
       2.634543445090e+00       1.006986832679e-13 
       3.316693691389e+00       1.440607743316e-14 
       4.175469971226e+00       6.119883678394e-15 
       5.256605252960e+00       1.252391994947e-15 
       6.617673932723e+00       1.172873473301e-16 
       8.331157880872e+00       1.416859440305e-17 
       1.048830636590e+01       8.067266475933e-20 
       1.320399541071e+01       4.061451216389e-21 
       1.662284535976e+01       5.371187576634e-21 
       2.092692243973e+01       9.848030377867e-23 
       2.634543445002e+01       1.477151930111e-22 
       3.316693691389e+01       2.444610266240e-23 
       4.175469971226e+01       1.307588718630e-23 
       5.256605252960e+01       4.445871252501e-24 
       6.617673932723e+01       6.442464165541e-26 
