# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020964811308e+01 
       1.131335172503e-05       5.407050701927e+01 
       1.221587619537e-05       5.822819069625e+01 
       1.319039970183e-05       6.270562594780e+01 
       1.424266597921e-05       6.752732240880e+01 
       1.537887696968e-05       7.271977206173e+01 
       1.660572937635e-05       7.831147247912e+01 
       1.793045413292e-05       8.433311821988e+01 
       1.936085902198e-05       9.081778249834e+01 
       2.090537469327e-05       9.780108069298e+01 
       2.257310435294e-05       1.053213197893e+02 
       2.437387741694e-05       1.134197377890e+02 
       2.631830744443e-05       1.221408203810e+02 
       2.841785469300e-05       1.315324642541e+02 
       3.068489366414e-05       1.416462094880e+02 
       3.313278603720e-05       1.525374501932e+02 
       3.577595942169e-05       1.642660688414e+02 
       3.862999239199e-05       1.768963506307e+02 
       4.171170630578e-05       1.904975994010e+02 
       4.503926444729e-05       2.051444491973e+02 
       4.863227907969e-05       2.209171465548e+02 
       5.251192703764e-05       2.379022224244e+02 
       5.670107454120e-05       2.561927927686e+02 
       6.122441196689e-05       2.758890444038e+02 
       6.610859936996e-05       2.970989227883e+02 
       7.138242361596e-05       3.199385560800e+02 
       7.707696804727e-05       3.445329783672e+02 
       8.322579568497e-05       3.710167318943e+02 
       8.986514704559e-05       3.995346444199e+02 
       9.703415373875e-05       4.302425407376e+02 
       1.047750691046e-04       4.633080766735e+02 
       1.131335172503e-04       4.989116271557e+02 
       1.221587619537e-04       5.372471950920e+02 
       1.319039970183e-04       5.785234129322e+02 
       1.424266597921e-04       6.229645936030e+02 
       1.537887696968e-04       6.708118490385e+02 
       1.660572937635e-04       7.223242666067e+02 
       1.793045413292e-04       7.777801552239e+02 
       1.936085902198e-04       8.374783614100e+02 
       2.090537469327e-04       9.017396271774e+02 
       2.257310435294e-04       9.709080267978e+02 
       2.437387741694e-04       1.045352449485e+03 
       2.631830744443e-04       1.125468123739e+03 
       2.841785469300e-04       1.211678180482e+03 
       3.068489366414e-04       1.304435250134e+03 
       3.313278603720e-04       1.404223053661e+03 
       3.577595942169e-04       1.511558014591e+03 
       3.862999239199e-04       1.626990837687e+03 
       4.171170630578e-04       1.751108028751e+03 
       4.503926444729e-04       1.884533382822e+03 
       4.863227907969e-04       2.027929378051e+03 
       5.251192703764e-04       2.181998448055e+03 
       5.670107454121e-04       2.347484102657e+03 
       6.122441196689e-04       2.525171871244e+03 
       6.610859936996e-04       2.715889983439e+03 
       7.138242361596e-04       2.920509688188e+03 
       7.707696804727e-04       3.139945100036e+03 
       8.322579568497e-04       3.375152337280e+03 
       8.986514704559e-04       3.627127830758e+03 
       9.703415373875e-04       3.896905452654e+03 
       1.047750691046e-03       4.185552173673e+03 
       1.131335172503e-03       4.494162429615e+03 
       1.221587619537e-03       4.823850705540e+03 
       1.319039970183e-03       5.175742743627e+03 
       1.424266597921e-03       5.551019595398e+03 
       1.537887696968e-03       5.950788338578e+03 
       1.660572937635e-03       6.376123049211e+03 
       1.793045413292e-03       6.828073898155e+03 
       1.936085902198e-03       7.307625376828e+03 
       2.090537469327e-03       7.815671853533e+03 
       2.257310435294e-03       8.352990368872e+03 
       2.437387741694e-03       8.920211055473e+03 
       2.631830744443e-03       9.517783057819e+03 
       2.841785469300e-03       1.014593702999e+04 
       3.068489366414e-03       1.080464500969e+04 
       3.313278603720e-03       1.149357458035e+04 
       3.577595942169e-03       1.221203618795e+04 
       3.862999239199e-03       1.295892535744e+04 
       4.171170630578e-03       1.373266011474e+04 
       4.503926444729e-03       1.453111829720e+04 
       4.863227907969e-03       1.535154775092e+04 
       5.251192703764e-03       1.619062208028e+04 
       5.670107454120e-03       1.704431015310e+04 
       6.122441196689e-03       1.790756455407e+04 
       6.610859936996e-03       1.877460723477e+04 
       7.138242361596e-03       1.963872499139e+04 
       7.707696804727e-03       2.049214832702e+04 
       8.322579568496e-03       2.132611368773e+04 
       8.986514704559e-03       2.213053607050e+04 
       9.703415373875e-03       2.289441337582e+04 
       1.047750691046e-02       2.360544601255e+04 
       1.131335172503e-02       2.425020559071e+04 
       1.221587619537e-02       2.481368088576e+04 
       1.319039970183e-02       2.528216711175e+04 
       1.424266597920e-02       2.563822235419e+04 
       1.537887696964e-02       2.586522794866e+04 
       1.660572937560e-02       2.595026942370e+04 
       1.793045412207e-02       2.587598610512e+04 
       1.936085889642e-02       2.563226397214e+04 
       2.090537351881e-02       2.520922752567e+04 
       2.257309534705e-02       2.460429738615e+04 
       2.437382002240e-02       2.382072684665e+04 
       2.631799943729e-02       2.287023314938e+04 
       2.841644544598e-02       2.177433002010e+04 
       3.067933354524e-02       2.056526925407e+04 
       3.311368469821e-02       1.928714399272e+04 
       3.571840442514e-02       1.799381433649e+04 
       3.847720347390e-02       1.674670045540e+04 
       4.135335537314e-02       1.560445011607e+04 
       4.429361666563e-02       1.461020837014e+04 
       4.724366437916e-02       1.378037863722e+04 
       5.016480834039e-02       1.310492560285e+04 
       5.303989618930e-02       1.255702590669e+04 
       5.586870668205e-02       1.210413747508e+04 
       5.866042679206e-02       1.171453537568e+04 
       6.142798931504e-02       1.136005975648e+04 
       6.418496438662e-02       1.101843816843e+04 
       6.694418832236e-02       1.067046521816e+04 
       6.971731104453e-02       1.030319308076e+04 
       7.251476154108e-02       9.908813483551e+03 
       7.534587669814e-02       9.483400795797e+03 
       7.821907664495e-02       9.029079428232e+03 
       8.114203771084e-02       8.551892612454e+03 
       8.412184533139e-02       8.061628164318e+03 
       8.716512277352e-02       7.570433800654e+03 
       9.027813693913e-02       7.092106920753e+03 
       9.346688429613e-02       6.640123524023e+03 
       9.673716026122e-02       6.226313050107e+03 
       1.000946150608e-01       5.859517110551e+03 
