# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927681055e-03 
       1.319039970183e-05       9.069258202090e-03 
       1.660572937635e-05       1.132639106755e-02 
       2.090537469327e-05       1.414527123437e-02 
       2.631830744443e-05       1.766569584105e-02 
       3.313278603720e-05       2.206225516001e-02 
       4.171170630578e-05       2.755297766350e-02 
       5.251192703764e-05       3.441013523039e-02 
       6.610859936996e-05       4.297372172892e-02 
       8.322579568497e-05       5.366826853086e-02 
       1.047750691046e-04       6.702379872952e-02 
       1.319039970183e-04       8.370193441507e-02 
       1.660572937635e-04       1.045283355412e-01 
       2.090537469327e-04       1.305329134138e-01 
       2.631830744443e-04       1.629994506647e-01 
       3.313278603720e-04       2.035264004653e-01 
       4.171170630578e-04       2.541004744305e-01 
       5.251192703764e-04       3.171839528632e-01 
       6.610859936996e-04       3.958147256599e-01 
       8.322579568497e-04       4.937136006370e-01 
       1.047750691046e-03       6.153841636132e-01 
       1.319039970183e-03       7.661720592359e-01 
       1.660572937635e-03       9.522588016362e-01 
       2.090537469327e-03       1.180312991662e+00 
       2.631830744443e-03       1.456802684581e+00 
       3.313278603720e-03       1.786503853790e+00 
       4.171170630578e-03       2.169896195862e+00 
       5.251192703764e-03       2.599430629609e+00 
       6.610859936996e-03       3.055668695611e+00 
       8.322579568497e-03       3.505725594102e+00 
       1.047750691046e-02       3.905491443037e+00 
       1.319039970183e-02       4.200915284136e+00 
       1.660572937633e-02       4.325060561845e+00 
       2.090537453514e-02       4.210199559285e+00 
       2.631818545635e-02       3.825155221801e+00 
       3.311571692125e-02       3.229069960196e+00 
       4.113809243311e-02       2.627734131883e+00 
       4.792590854610e-02       2.280794215220e+00 
       5.284436902701e-02       2.110086486984e+00 
       5.689644391095e-02       2.003537455554e+00 
       6.051252627066e-02       1.923054603790e+00 
       6.388413457411e-02       1.852730337039e+00 
       6.711249296401e-02       1.784562927521e+00 
       7.025823437965e-02       1.714275186184e+00 
       7.336115587705e-02       1.639813215206e+00 
       7.644928796912e-02       1.560660573907e+00 
       7.954353299775e-02       1.477455823903e+00 
       8.266024078725e-02       1.391700024813e+00 
       8.581273398637e-02       1.305463430983e+00 
       8.901225918437e-02       1.221126551806e+00 
       9.226860540985e-02       1.141079204301e+00 
       9.559052048996e-02       1.067451606167e+00 
       9.898599946599e-02       1.001888051645e+00 
       1.024624891378e-01       9.453810536268e-01 
       1.060270359164e-01       8.981483392819e-01 
       1.096863943056e-01       8.596120001266e-01 
       1.134471073830e-01       8.284059231313e-01 
       1.173155669539e-01       8.024662923311e-01 
       1.212980586983e-01       7.792311586602e-01 
       1.254007961065e-01       7.559162326625e-01 
       1.296299459934e-01       7.299836171505e-01 
       1.339916477160e-01       6.995929936726e-01 
       1.384920277736e-01       6.640781692073e-01 
       1.431372111762e-01       6.241473107596e-01 
       1.479333307714e-01       5.817644438410e-01 
       1.528865355934e-01       5.396889800595e-01 
       1.580029992204e-01       5.008137209087e-01 
       1.632889290723e-01       4.673975082767e-01 
       1.687505775527e-01       4.405334692185e-01 
       1.743942559171e-01       4.198654769862e-01 
       1.802263517371e-01       4.036579786849e-01 
       1.862533508214e-01       3.893608336539e-01 
       1.924818644494e-01       3.741391822208e-01 
       1.989186627765e-01       3.558057527026e-01 
       2.055707152847e-01       3.340012410054e-01 
       2.124452391818e-01       3.102644624774e-01 
       2.195497567139e-01       2.871209195837e-01 
       2.268921624510e-01       2.668074313362e-01 
       2.344808017550e-01       2.504820934347e-01 
       2.423245618548e-01       2.378325078211e-01 
       2.504329772620e-01       2.271103379164e-01 
       2.588163516754e-01       2.161179108432e-01 
       2.674858990930e-01       2.035467343724e-01 
       2.764539076010e-01       1.895959490734e-01 
       2.857339303080e-01       1.757552916728e-01 
       2.953410092148e-01       1.636971906586e-01 
       3.052919395542e-01       1.539049633009e-01 
       3.156055844677e-01       1.455294954502e-01 
       3.263032530092e-01       1.372487429701e-01 
       3.374091587054e-01       1.283002887357e-01 
       3.489509817175e-01       1.191695550489e-01 
       3.609605657343e-01       1.108058035150e-01 
       3.734747921333e-01       1.036432041703e-01 
       3.865366902904e-01       9.713944579776e-02 
       4.001968667448e-01       9.061372434595e-02 
       4.145153713076e-01       8.403518343378e-02 
       4.295641718077e-01       7.788936857841e-02 
       4.454304922144e-01       7.233986283900e-02 
       4.622214006969e-01       6.709184509191e-02 
       4.800702491654e-01       6.188993292548e-02 
       4.991459272112e-01       5.692434856575e-02 
       5.196665217302e-01       5.231435379013e-02 
       5.419201087032e-01       4.783088393628e-02 
       5.662975451962e-01       4.348500970008e-02 
       5.933463737275e-01       3.932914311605e-02 
       6.238638458458e-01       3.525152320673e-02 
       6.590669257916e-01       3.126082579424e-02 
       7.009246080454e-01       2.728526567949e-02 
       7.528593308799e-01       2.327640061256e-02 
       8.213469537518e-01       1.914615091432e-02 
       9.196980813302e-01       1.481488418624e-02 
       1.075112183810e+00       1.034871267341e-02 
       1.322697471132e+00       6.377231596542e-03 
       1.662328205042e+00       3.703421314996e-03 
       2.092692408506e+00       2.122308844597e-03 
       2.634543445090e+00       1.205760818659e-03 
       3.316693691389e+00       6.795597966121e-04 
       4.175469971226e+00       3.800296298507e-04 
       5.256605252960e+00       2.108544338239e-04 
       6.617673932723e+00       1.159839483349e-04 
       8.331157880872e+00       6.313240662455e-05 
       1.048830636590e+01       3.387642848848e-05 
       1.320399541071e+01       1.778714123675e-05 
       1.662284535976e+01       9.007398874633e-06 
       2.092692243973e+01       4.277020759041e-06 
       2.634543445002e+01       1.799552775560e-06 
       3.316693691389e+01       5.947056679467e-07 
       4.175469971226e+01       1.139074009185e-07 
       5.256605252960e+01       2.927466913347e-09 
       6.617673932723e+01       2.751973143301e-09 
