# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       5.020964806618e+01 
       1.131335172818e-05       5.407048204523e+01 
       1.221587619877e-05       5.822819672692e+01 
       1.319039970550e-05       6.270560683844e+01 
       1.424266598317e-05       6.752731450899e+01 
       1.537887697396e-05       7.271976722297e+01 
       1.660572938097e-05       7.831148076279e+01 
       1.793045413791e-05       8.433311798362e+01 
       1.936085902737e-05       9.081778241780e+01 
       2.090537469909e-05       9.780107185271e+01 
       2.257310435923e-05       1.053212787182e+02 
       2.437387742372e-05       1.134197268777e+02 
       2.631830745176e-05       1.221408196070e+02 
       2.841785470091e-05       1.315324663226e+02 
       3.068489367268e-05       1.416461695476e+02 
       3.313278604643e-05       1.525374453251e+02 
       3.577595943165e-05       1.642660707547e+02 
       3.862999240274e-05       1.768963635775e+02 
       4.171170631739e-05       1.904975987620e+02 
       4.503926445983e-05       2.051444294747e+02 
       4.863227909323e-05       2.209171456822e+02 
       5.251192705226e-05       2.379022221453e+02 
       5.670107455699e-05       2.561927811204e+02 
       6.122441198393e-05       2.758890477567e+02 
       6.610859938837e-05       2.970989236605e+02 
       7.138242363583e-05       3.199385576473e+02 
       7.707696806873e-05       3.445329771817e+02 
       8.322579570814e-05       3.710167322102e+02 
       8.986514707061e-05       3.995346441368e+02 
       9.703415376577e-05       4.302425391848e+02 
       1.047750691338e-04       4.633080760789e+02 
       1.131335172818e-04       4.989116300191e+02 
       1.221587619877e-04       5.372471943959e+02 
       1.319039970550e-04       5.785234115372e+02 
       1.424266598317e-04       6.229645933984e+02 
       1.537887697396e-04       6.708118484041e+02 
       1.660572938097e-04       7.223242645822e+02 
       1.793045413791e-04       7.777801553930e+02 
       1.936085902737e-04       8.374783610286e+02 
       2.090537469909e-04       9.017396274423e+02 
       2.257310435923e-04       9.709080254285e+02 
       2.437387742372e-04       1.045352448574e+03 
       2.631830745176e-04       1.125468123326e+03 
       2.841785470091e-04       1.211678179162e+03 
       3.068489367268e-04       1.304435246885e+03 
       3.313278604643e-04       1.404223052836e+03 
       3.577595943165e-04       1.511558013058e+03 
       3.862999240274e-04       1.626990836036e+03 
       4.171170631739e-04       1.751108027436e+03 
       4.503926445983e-04       1.884533381427e+03 
       4.863227909323e-04       2.027929376603e+03 
       5.251192705226e-04       2.181998446828e+03 
       5.670107455699e-04       2.347484098881e+03 
       6.122441198393e-04       2.525171865650e+03 
       6.610859938837e-04       2.715889978578e+03 
       7.138242363583e-04       2.920509679994e+03 
       7.707696806873e-04       3.139945085519e+03 
       8.322579570814e-04       3.375152324951e+03 
       8.986514707061e-04       3.627127789473e+03 
       9.703415376577e-04       3.896905430893e+03 
       1.047750691338e-03       4.185552144605e+03 
       1.131335172818e-03       4.494162389683e+03 
       1.221587619877e-03       4.823850657898e+03 
       1.319039970550e-03       5.175742662903e+03 
       1.424266598317e-03       5.551019504693e+03 
       1.537887697396e-03       5.950788138091e+03 
       1.660572938097e-03       6.376122735022e+03 
       1.793045413791e-03       6.828073399422e+03 
       1.936085902737e-03       7.307624543155e+03 
       2.090537469909e-03       7.815670543704e+03 
       2.257310435923e-03       8.352988287212e+03 
       2.437387742372e-03       8.920207742354e+03 
       2.631830745176e-03       9.517777973003e+03 
       2.841785470091e-03       1.014592914094e+04 
       3.068489367268e-03       1.080463282295e+04 
       3.313278604643e-03       1.149355608533e+04 
       3.577595943165e-03       1.221200845078e+04 
       3.862999240274e-03       1.295888423333e+04 
       4.171170631739e-03       1.373260035889e+04 
       4.503926445983e-03       1.453103120993e+04 
       4.863227909323e-03       1.535142432947e+04 
       5.251192705226e-03       1.619045463676e+04 
       5.670107455699e-03       1.704406388808e+04 
       6.122441198393e-03       1.790720940867e+04 
       6.610859938837e-03       1.877411826100e+04 
       7.138242363583e-03       1.963805346999e+04 
       7.707696806873e-03       2.049122977827e+04 
       8.322579570814e-03       2.132483766664e+04 
       8.986514707061e-03       2.212880767448e+04 
       9.703415376577e-03       2.289208852745e+04 
       1.047750691338e-02       2.360225473440e+04 
       1.131335172818e-02       2.424585973552e+04 
       1.221587619877e-02       2.480833918794e+04 
       1.319039970550e-02       2.527427631312e+04 
       1.424266598317e-02       2.562755400392e+04 
       1.537887697392e-02       2.585195390375e+04 
       1.660572938023e-02       2.593155704570e+04 
       1.793045412706e-02       2.585165912400e+04 
       1.936085890181e-02       2.559980640317e+04 
       2.090537352463e-02       2.516710690209e+04 
       2.257309535333e-02       2.454973265670e+04 
       2.437382002918e-02       2.375048300691e+04 
       2.631799944462e-02       2.278070171136e+04 
       2.841644545389e-02       2.166094840800e+04 
       3.067933355377e-02       2.042331263992e+04 
       3.311368470740e-02       1.911091857610e+04 
       3.571840443502e-02       1.777772670116e+04 
       3.847720348444e-02       1.648512816748e+04 
       4.135335538431e-02       1.529231230842e+04 
       4.429361667738e-02       1.424346098874e+04 
       4.724366439141e-02       1.335607831914e+04 
       5.016480835311e-02       1.262106635510e+04 
       5.303989620246e-02       1.201235860247e+04 
       5.586870669566e-02       1.149769313612e+04 
       5.866042680613e-02       1.104554485774e+04 
       6.142798932958e-02       1.062819781193e+04 
       6.418496440164e-02       1.022268580239e+04 
       6.694418833788e-02       9.810875621584e+03 
