# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927673179e-03 
       1.131335172818e-05       7.820331745802e-03 
       1.221587619877e-05       8.421675986558e-03 
       1.319039970550e-05       9.069258192269e-03 
       1.424266598317e-05       9.766638404501e-03 
       1.537887697396e-05       1.051764069690e-02 
       1.660572938097e-05       1.132639105529e-02 
       1.793045413791e-05       1.219733231427e-02 
       1.936085902737e-05       1.313524224391e-02 
       2.090537469909e-05       1.414527121905e-02 
       2.257310435923e-05       1.523296272204e-02 
       2.437387742372e-05       1.640429444543e-02 
       2.631830745176e-05       1.766569582192e-02 
       2.841785470091e-05       1.902408601808e-02 
       3.068489367268e-05       2.048692970608e-02 
       3.313278604643e-05       2.206225513612e-02 
       3.577595943165e-05       2.375870704928e-02 
       3.862999240274e-05       2.558560727500e-02 
       4.171170631739e-05       2.755297763366e-02 
       4.503926445983e-05       2.967161927341e-02 
       4.863227909323e-05       3.195316450858e-02 
       5.251192705226e-05       3.441013519313e-02 
       5.670107455699e-05       3.705601722556e-02 
       6.122441198393e-05       3.990533413595e-02 
       6.610859938837e-05       4.297372168238e-02 
       7.138242363583e-05       4.627802141726e-02 
       7.707696806873e-05       4.983636194200e-02 
       8.322579570814e-05       5.366826847275e-02 
       8.986514707061e-05       5.779476394616e-02 
       9.703415376577e-05       6.223848243936e-02 
       1.047750691338e-04       6.702379865695e-02 
       1.131335172818e-04       7.217695153440e-02 
       1.221587619877e-04       7.772619073637e-02 
       1.319039970550e-04       8.370193432445e-02 
       1.424266598317e-04       9.013692507619e-02 
       1.537887697396e-04       9.706641242649e-02 
       1.660572938097e-04       1.045283354280e-01 
       1.793045413791e-04       1.125635349077e-01 
       1.936085902737e-04       1.212159614978e-01 
       2.090537469909e-04       1.305329132725e-01 
       2.257310435923e-04       1.405652846226e-01 
       2.437387742372e-04       1.513678302552e-01 
       2.631830745176e-04       1.629994504884e-01 
       2.841785470091e-04       1.755234921238e-01 
       3.068489367268e-04       1.890080670428e-01 
       3.313278604643e-04       2.035264002451e-01 
       3.577595943165e-04       2.191571803698e-01 
       3.862999240274e-04       2.359849437611e-01 
       4.171170631739e-04       2.541004741558e-01 
       4.503926445983e-04       2.736012080298e-01 
       4.863227909323e-04       2.945916790987e-01 
       5.251192705226e-04       3.171839525206e-01 
       5.670107455699e-04       3.414980764026e-01 
       6.122441198393e-04       3.676625413126e-01 
       6.610859938837e-04       3.958147252330e-01 
       7.138242363583e-04       4.261013284936e-01 
       7.707696806873e-04       4.586787792380e-01 
       8.322579570814e-04       4.937136001396e-01 
       8.986514707061e-04       5.313826801431e-01 
       9.703415376577e-04       5.718734972186e-01 
       1.047750691338e-03       6.153841629531e-01 
       1.131335172818e-03       6.621233239491e-01 
       1.221587619877e-03       7.123098220446e-01 
       1.319039970550e-03       7.661720584586e-01 
       1.424266598317e-03       8.239546297740e-01 
       1.537887697396e-03       8.859011173461e-01 
       1.660572938097e-03       9.522588006334e-01 
       1.793045413791e-03       1.023280099815e+00 
       1.936085902737e-03       1.099216304572e+00 
       2.090537469909e-03       1.180312990442e+00 
       2.257310435923e-03       1.266804115835e+00 
       2.437387742372e-03       1.358904853382e+00 
       2.631830745176e-03       1.456802683124e+00 
       2.841785470091e-03       1.560646890478e+00 
       3.068489367268e-03       1.670536062441e+00 
       3.313278604643e-03       1.786503852081e+00 
       3.577595943165e-03       1.908502930688e+00 
       3.862999240274e-03       2.036387730580e+00 
       4.171170631739e-03       2.169896178568e+00 
       4.503926445983e-03       2.308631878781e+00 
       4.863227909323e-03       2.452047290690e+00 
       5.251192705226e-03       2.599430627743e+00 
       5.670107455699e-03       2.749896931385e+00 
       6.122441198393e-03       2.902386512834e+00 
       6.610859938837e-03       3.055668707846e+00 
       7.138242363583e-03       3.208356460680e+00 
       7.707696806873e-03       3.358923890547e+00 
       8.322579570814e-03       3.505725593948e+00 
       8.986514707061e-03       3.647009251134e+00 
       9.703415376577e-03       3.780923302250e+00 
       1.047750691338e-02       3.905490351275e+00 
       1.131335172818e-02       4.018587638075e+00 
       1.221587619877e-02       4.117901579315e+00 
       1.319039970550e-02       4.200915296300e+00 
       1.424266598317e-02       4.264942435042e+00 
       1.537887697392e-02       4.307218540168e+00 
       1.660572938023e-02       4.325060583834e+00 
       1.793045412706e-02       4.316058701558e+00 
       1.936085890181e-02       4.278231987773e+00 
       2.090537352463e-02       4.210201954704e+00 
       2.257309535333e-02       4.111422859425e+00 
       2.437382002918e-02       3.982424089122e+00 
       2.631799944462e-02       3.825170027565e+00 
       2.841644545389e-02       3.643278451880e+00 
       3.067933355377e-02       3.442199837259e+00 
       3.311368470740e-02       3.229237127146e+00 
       3.571840443502e-02       3.013516577438e+00 
       3.847720348444e-02       2.805288625223e+00 
       4.135335538431e-02       2.614414681509e+00 
       4.429361667738e-02       2.448140346212e+00 
       4.724366439141e-02       2.309235007069e+00 
       5.016480835311e-02       2.196104803164e+00 
       5.303989620246e-02       2.104369638015e+00 
       5.586870669566e-02       2.028464465775e+00 
       5.866042680613e-02       1.963155336192e+00 
       6.142798932958e-02       1.903782628729e+00 
       6.418496440164e-02       1.846479546210e+00 
       6.694418833788e-02       1.788196580121e+00 
       6.971731106057e-02       1.726716967145e+00 
       7.251476155766e-02       1.660654236553e+00 
       7.534587671527e-02       1.589471620001e+00 
       7.821907666265e-02       1.513438258223e+00 
       8.114203772912e-02       1.433570242932e+00 
       8.412184535029e-02       1.351491778130e+00 
       8.716512279304e-02       1.269276760936e+00 
       9.027813695930e-02       1.189191358375e+00 
       9.346688431697e-02       1.113501926749e+00 
       9.673716028276e-02       1.044173590385e+00 
       1.000946150830e-01       9.827061514509e-01 
       1.035447986537e-01       9.299375290306e-01 
       1.070931966762e-01       8.859604124980e-01 
       1.107452594425e-01       8.500701095064e-01 
       1.145064249153e-01       8.208033840087e-01 
       1.183821370918e-01       7.960263536890e-01 
       1.223778605862e-01       7.731473598831e-01 
       1.264990921987e-01       7.494517467111e-01 
       1.307513701367e-01       7.225567699306e-01 
       1.351402814784e-01       6.909081493060e-01 
       1.396714684203e-01       6.541820845743e-01 
       1.443506338194e-01       6.134284789406e-01 
       1.491835465229e-01       5.708681668978e-01 
       1.541760469708e-01       5.293646687992e-01 
       1.593340535561e-01       4.917097219783e-01 
       1.646635702297e-01       4.599196608155e-01 
       1.701706958456e-01       4.347278764450e-01 
       1.758616357459e-01       4.154072182269e-01 
       1.817427160982e-01       3.999363311388e-01 
       1.878204015065e-01       3.856845473690e-01 
       1.941013164283e-01       3.698130180721e-01 
       2.005922709503e-01       3.505516872291e-01 
       2.073002914972e-01       3.280457948584e-01 
       2.142326570816e-01       3.042139885582e-01 
       2.213969417533e-01       2.816111123620e-01 
       2.288010639706e-01       2.622566732634e-01 
       2.364533437147e-01       2.469614515946e-01 
       2.443625682930e-01       2.350126692707e-01 
       2.525380679504e-01       2.244200378073e-01 
       2.609898026346e-01       2.130950316261e-01 
       2.697284615565e-01       2.001016511543e-01 
       2.787655775689e-01       1.860193325863e-01 
       2.881136588829e-01       1.725167757719e-01 
       2.977863412677e-01       1.610653821838e-01 
       3.077985646929e-01       1.517602111116e-01 
       3.181667794071e-01       1.435586387811e-01 
       3.289091877812e-01       1.351811337192e-01 
       3.400460299658e-01       1.261633859329e-01 
       3.515999236474e-01       1.172010639792e-01 
       3.635962711085e-01       1.091764209301e-01 
       3.760637506334e-01       1.023087404051e-01 
       3.890349143879e-01       9.593689070481e-02 
       4.025469216825e-01       8.950718874435e-02 
       4.166424456376e-01       8.311119052024e-02 
       4.313708035863e-01       7.721495496989e-02 
       4.467893782977e-01       7.190006777965e-02 
       4.629654199664e-01       6.686843540985e-02 
       4.799783501994e-01       6.191690991474e-02 
       4.979227319373e-01       5.722149172148e-02 
       5.169121270864e-01       5.290221204367e-02 
       5.370841404489e-01       4.876910373147e-02 
       5.586070464571e-01       4.479020790113e-02 
       5.816885094930e-01       4.105120861725e-02 
       6.065870144995e-01       3.748929915729e-02 
       6.336266468475e-01       3.407567832529e-02 
       6.632156059511e-01       3.083392420441e-02 
       6.958678639263e-01       2.772763280082e-02 
       7.322247985589e-01       2.476636497483e-02 
       7.730680195114e-01       2.193885871487e-02 
       8.193049553677e-01       1.925537428712e-02 
       8.718988016039e-01       1.672855461963e-02 
       9.317218031082e-01       1.438346108478e-02 
       9.993660908989e-01       1.224992268556e-02 
       1.075037110174e+00       1.035185534156e-02 
       1.158653485707e+00       8.698962614777e-03 
       1.250099157308e+00       7.283856848155e-03 
       1.349432401273e+00       6.084709400179e-03 
       1.456947457397e+00       5.074949889871e-03 
       1.573135111331e+00       4.227517471890e-03 
       1.698621895592e+00       3.517742439349e-03 
       1.834127512934e+00       2.924177801083e-03 
       1.980444934528e+00       2.428359731588e-03 
       2.138435191726e+00       2.014694249163e-03 
       2.309029199186e+00       1.669950112450e-03 
       2.493232377687e+00       1.382952871360e-03 
       2.692130395285e+00       1.144285965310e-03 
       2.906895534573e+00       9.460105990346e-04 
       3.138793597714e+00       7.814239642624e-04 
       3.389191366484e+00       6.449591762322e-04 
       3.659564657905e+00       5.318935202212e-04 
       3.951507022538e+00       4.382974013774e-04 
       4.266739136701e+00       3.608917962390e-04 
       4.607118943941e+00       2.969199631113e-04 
       4.974652605557e+00       2.440932920816e-04 
       5.371506324689e+00       2.005019987785e-04 
       5.800019113685e+00       1.645606679960e-04 
       6.262716579983e+00       1.349446580459e-04 
       6.762325811764e+00       1.105565287618e-04 
       7.301791451110e+00       9.048707562106e-05 
       7.884293049406e+00       7.398144782978e-05 
       8.513263807261e+00       6.041528485619e-05 
       9.192410809424e+00       4.927115413803e-05 
       9.925736873929e+00       4.012110494094e-05 
       1.071756414427e+01       3.261288620748e-05 
       1.157255956364e+01       2.645486526957e-05 
       1.249576238137e+01       2.140660815442e-05 
       1.349261385375e+01       1.727076961468e-05 
       1.456898931416e+01       1.388437193940e-05 
       1.573123280165e+01       1.111365102454e-05 
       1.698619445202e+01       8.848905951528e-06 
       1.834127087176e+01       7.000043462749e-06 
