# Matter power spectrum P(k) at redshift z=0
# for k=9.78413e-06 to 1.3976 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.784132296806e-06       4.678716429736e+10 
       1.033550830336e-05       4.942381069390e+10 
       1.091795661058e-05       5.220902052012e+10 
       1.153322827015e-05       5.515118213380e+10 
       1.218317301265e-05       5.825915154850e+10 
       1.286974480859e-05       6.154226563928e+10 
       1.359500774276e-05       6.501039470448e+10 
       1.436114221957e-05       6.867394878406e+10 
       1.517045151817e-05       7.254395516298e+10 
       1.602536871695e-05       7.663204322359e+10 
       1.692846400824e-05       8.095049109571e+10 
       1.788245242527e-05       8.551230433859e+10 
       1.889020200454e-05       9.033116996341e+10 
       1.995474240814e-05       9.542159242658e+10 
       2.107927403210e-05       1.007988501412e+11 
       2.226717762786e-05       1.064791153815e+11 
       2.352202446611e-05       1.124794490691e+11 
       2.484758707326e-05       1.188178986807e+11 
       2.624785057310e-05       1.255135029710e+11 
       2.772702466749e-05       1.325863884287e+11 
       2.928955629226e-05       1.400577981069e+11 
       3.094014298632e-05       1.479501893442e+11 
       3.268374701419e-05       1.562872672991e+11 
       3.452561028434e-05       1.650940816177e+11 
       3.647127010831e-05       1.743970869609e+11 
       3.852657584785e-05       1.842242239163e+11 
       4.069770650029e-05       1.946050111852e+11 
       4.299118927476e-05       2.055706141311e+11 
       4.541391921545e-05       2.171539643918e+11 
       4.797317993057e-05       2.293898343735e+11 
       5.067666548956e-05       2.423149534848e+11 
       5.353250355422e-05       2.559681083229e+11 
       5.654927981347e-05       2.703902678561e+11 
       5.973606379502e-05       2.856246921877e+11 
       6.310243613169e-05       3.017170733625e+11 
       6.665851736428e-05       3.187156578181e+11 
       7.041499836759e-05       3.366713962246e+11 
       7.438317249110e-05       3.556380871204e+11 
       7.857496951086e-05       3.756725381137e+11 
       8.300299149476e-05       3.968347265780e+11 
       8.768055068895e-05       4.191879768265e+11 
       9.262170953926e-05       4.427991406650e+11 
       9.784132296806e-05       4.677387913365e+11 
       1.033550830336e-04       4.940814202232e+11 
       1.091795661058e-04       5.219056538745e+11 
       1.153322827015e-04       5.512944706727e+11 
       1.218317301265e-04       5.823354345349e+11 
       1.286974480859e-04       6.151209393249e+11 
       1.359500774276e-04       6.497484606038e+11 
       1.436114221957e-04       6.863208186501e+11 
       1.517045151817e-04       7.249464583461e+11 
       1.602536871695e-04       7.657397361552e+11 
       1.692846400824e-04       8.088212167474e+11 
       1.788245242527e-04       8.543179865445e+11 
       1.889020200454e-04       9.023639700098e+11 
       1.995474240814e-04       9.531002705559e+11 
       2.107927403210e-04       1.006675502036e+12 
       2.226717762786e-04       1.063246152192e+12 
       2.352202446611e-04       1.122976933723e+12 
       2.484758707326e-04       1.186041161374e+12 
       2.624785057310e-04       1.252621123221e+12 
       2.772702466749e-04       1.322908465438e+12 
       2.928955629226e-04       1.397104577812e+12 
       3.094014298632e-04       1.475420978880e+12 
       3.268374701419e-04       1.558079712429e+12 
       3.452561028434e-04       1.645313729132e+12 
       3.647127010831e-04       1.737367271510e+12 
       3.852657584785e-04       1.834496259155e+12 
       4.069770650029e-04       1.936968652775e+12 
       4.299118927476e-04       2.045064818131e+12 
       4.541391921545e-04       2.159077867410e+12 
       4.797317993057e-04       2.279313997161e+12 
       5.067666548956e-04       2.406092782815e+12 
       5.353250355422e-04       2.539747478440e+12 
       5.654927981347e-04       2.680625248419e+12 
       5.973606379502e-04       2.829087377957e+12 
       6.310243613169e-04       2.985509442177e+12 
       6.665851736428e-04       3.150281384332e+12 
       7.041499836759e-04       3.323807512697e+12 
       7.438317249110e-04       3.506506404820e+12 
       7.857496951086e-04       3.698810661122e+12 
       8.300299149476e-04       3.901166507469e+12 
       8.768055068895e-04       4.114033208069e+12 
       9.262170953926e-04       4.337882224985e+12 
       9.784132296806e-04       4.573196194652e+12 
       1.033550830336e-03       4.820467634812e+12 
       1.091795661058e-03       5.080197387075e+12 
       1.153322827015e-03       5.352859876633e+12 
       1.218317301265e-03       5.638982062746e+12 
       1.286974480859e-03       5.939090135222e+12 
       1.359500774276e-03       6.253696610152e+12 
       1.436114221957e-03       6.583310383154e+12 
       1.517045151817e-03       6.928433181571e+12 
       1.602536871695e-03       7.289555387833e+12 
       1.692846400824e-03       7.667151286400e+12 
       1.788245242527e-03       8.061674099049e+12 
       1.889020200454e-03       8.473549461026e+12 
       1.995474240814e-03       8.903170530545e+12 
       2.107927403210e-03       9.350890886460e+12 
       2.226717762786e-03       9.817017471731e+12 
       2.352202446611e-03       1.030180280274e+13 
       2.484758707326e-03       1.080543738318e+13 
       2.624785057310e-03       1.132804096500e+13 
       2.772702466749e-03       1.186964647873e+13 
       2.928955629226e-03       1.243020488945e+13 
       3.094014298632e-03       1.300955796852e+13 
       3.268374701419e-03       1.360743238987e+13 
       3.452561028434e-03       1.422342313519e+13 
       3.647127010831e-03       1.485698160838e+13 
       3.852657584785e-03       1.550739792838e+13 
       4.069770650029e-03       1.617378803153e+13 
       4.299118927476e-03       1.685508385493e+13 
       4.541391921545e-03       1.754989174986e+13 
       4.797317993057e-03       1.825691277439e+13 
       5.067666548956e-03       1.897441808933e+13 
       5.353250355422e-03       1.970039186985e+13 
       5.654927981347e-03       2.043160694437e+13 
       5.973606379502e-03       2.116687792226e+13 
       6.310243613169e-03       2.190368973342e+13 
       6.665851736428e-03       2.263791657987e+13 
       7.041499836759e-03       2.336637541193e+13 
       7.438317249110e-03       2.408448428913e+13 
       7.857496951086e-03       2.478947705375e+13 
       8.300299149476e-03       2.547490162866e+13 
       8.768055068895e-03       2.613647776445e+13 
       9.262170953926e-03       2.676868604675e+13 
       9.784132296807e-03       2.736582518558e+13 
       1.033550830336e-02       2.792144793539e+13 
       1.091795661058e-02       2.842912082954e+13 
       1.153322827015e-02       2.888163214939e+13 
       1.218317301265e-02       2.927194726524e+13 
       1.286974480859e-02       2.959109771169e+13 
       1.359500774276e-02       2.983532232585e+13 
       1.436114221955e-02       2.999252212190e+13 
       1.517045151797e-02       3.005944306372e+13 
       1.602536871553e-02       3.002485117897e+13 
       1.692846399932e-02       2.988696620521e+13 
       1.788245237500e-02       2.963578462942e+13 
       1.889020175010e-02       2.927107998246e+13 
       1.995474124637e-02       2.878938819700e+13 
       2.107926922241e-02       2.818934621781e+13 
       2.226715948578e-02       2.747396537586e+13 
       2.352196182126e-02       2.664756743615e+13 
       2.484738814300e-02       2.572049279534e+13 
       2.624726706837e-02       2.470403810746e+13 
       2.772543712093e-02       2.361320018663e+13 
       2.928553443912e-02       2.246755611871e+13 
       3.093062265697e-02       2.129060335789e+13 
       3.266262654310e-02       2.010812857934e+13 
       3.448158988282e-02       1.894696177788e+13 
       3.638489768050e-02       1.783581332377e+13 
       3.836675644636e-02       1.679974867195e+13 
       4.041830704127e-02       1.585994320705e+13 
       4.252859954785e-02       1.502991217311e+13 
       4.468626111786e-02       1.431501618723e+13 
       4.688128473994e-02       1.371177175665e+13 
       4.910630803920e-02       1.321006266940e+13 
       5.135708370916e-02       1.279166768475e+13 
       5.363225744363e-02       1.243975930791e+13 
       5.593277445073e-02       1.213187019603e+13 
       5.826120808247e-02       1.184786545981e+13 
       6.062117868208e-02       1.156657959781e+13 
       6.301691901673e-02       1.127083731613e+13 
       6.545297969724e-02       1.094584446659e+13 
       6.793404455475e-02       1.058013406189e+13 
       7.046482371491e-02       1.016720934280e+13 
       7.304999794902e-02       9.707840447058e+12 
       7.569419515541e-02       9.204991912851e+12 
       7.840198602173e-02       8.670627621870e+12 
       8.117789049066e-02       8.119240767438e+12 
       8.402638978358e-02       7.567713701488e+12 
       8.695194079138e-02       7.035485992574e+12 
       8.995899095201e-02       6.540219122459e+12 
       9.305199255394e-02       6.096921254512e+12 
       9.623541591005e-02       5.716496770872e+12 
       9.951376115366e-02       5.403945728047e+12 
       1.028915685932e-01       5.158715345441e+12 
       1.063734276725e-01       4.973466708487e+12 
       1.099639846491e-01       4.835159013183e+12 
       1.136679491427e-01       4.725559027943e+12 
       1.174900997294e-01       4.622848100075e+12 
       1.214352887766e-01       4.504514038050e+12 
       1.255084467226e-01       4.351879806736e+12 
       1.297145860199e-01       4.154059550892e+12 
       1.340588049678e-01       3.911424010853e+12 
       1.385462916758e-01       3.635521129167e+12 
       1.431823284039e-01       3.347910538378e+12 
       1.479722965433e-01       3.073203535892e+12 
       1.529216825078e-01       2.834296663187e+12 
       1.580360848209e-01       2.645181511587e+12 
       1.633212226912e-01       2.508889076642e+12 
       1.687829463861e-01       2.416004927247e+12 
       1.744272497196e-01       2.349241844805e+12 
       1.802602849885e-01       2.282464373564e+12 
       1.862883807051e-01       2.192882550940e+12 
       1.925180624913e-01       2.070360639443e+12 
       1.989560775260e-01       1.921175265948e+12 
       2.056094229646e-01       1.763655134381e+12 
       2.124853787880e-01       1.619669518844e+12 
       2.195915455913e-01       1.505735434599e+12 
       2.269358878848e-01       1.425490473955e+12 
       2.345267835662e-01       1.368337885783e+12 
       2.423730803303e-01       1.315437013980e+12 
       2.504841599208e-01       1.250045969484e+12 
       2.588700113039e-01       1.166642678727e+12 
       2.675413140618e-01       1.075217308476e+12 
