# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261865128703e-03 
       1.131335172503e-05       7.820265046299e-03 
       1.221587619537e-05       8.421603037012e-03 
       1.319039970183e-05       9.069180984335e-03 
       1.424266597921e-05       9.766552350438e-03 
       1.537887696968e-05       1.051754986722e-02 
       1.660572937635e-05       1.132629408908e-02 
       1.793045413292e-05       1.219722581568e-02 
       1.936085902198e-05       1.313512868125e-02 
       2.090537469327e-05       1.414514924110e-02 
       2.257310435294e-05       1.523283339367e-02 
       2.437387741694e-05       1.640415590283e-02 
       2.631830744443e-05       1.766554382655e-02 
       2.841785469300e-05       1.902392274432e-02 
       3.068489366414e-05       2.048675297080e-02 
       3.313278603720e-05       2.206206473292e-02 
       3.577595942169e-05       2.375850519914e-02 
       3.862999239199e-05       2.558538804212e-02 
       4.171170630578e-05       2.755274297128e-02 
       4.503926444729e-05       2.967136795029e-02 
       4.863227907969e-05       3.195289448136e-02 
       5.251192703764e-05       3.440984351525e-02 
       5.670107454120e-05       3.705570668694e-02 
       6.122441196689e-05       3.990500049606e-02 
       6.610859936996e-05       4.297336412306e-02 
       7.138242361596e-05       4.627763442179e-02 
       7.707696804727e-05       4.983595025329e-02 
       8.322579568497e-05       5.366782830025e-02 
       8.986514704559e-05       5.779429251906e-02 
       9.703415373875e-05       6.223798176663e-02 
       1.047750691046e-04       6.702326482584e-02 
       1.131335172503e-04       7.217638371959e-02 
       1.221587619537e-04       7.772558983973e-02 
       1.319039970183e-04       8.370129951585e-02 
       1.424266597921e-04       9.013625639324e-02 
       1.537887696968e-04       9.706571218161e-02 
       1.660572937635e-04       1.045276060203e-01 
       1.793045413292e-04       1.125627787487e-01 
       1.936085902198e-04       1.212151861607e-01 
       2.090537469327e-04       1.305321270027e-01 
       2.257310435294e-04       1.405644981484e-01 
       2.437387741694e-04       1.513670592138e-01 
       2.631830744443e-04       1.629987177543e-01 
       2.841785469300e-04       1.755228214629e-01 
       3.068489366414e-04       1.890074969443e-01 
       3.313278603720e-04       2.035259752297e-01 
