# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887211e-10       7.309026172910e-15       4.815171199967e-13       0.000000000000e+00       8.628903609643e-09       4.854772125140e-10      -2.515854151613e-12 
    3       1.409365943159e-10       1.238791651651e-14       6.068719691958e-13       0.000000000000e+00       5.411291720452e-09       3.469573585510e-10      -2.211507031147e-12 
    4       1.324622774426e-10       1.446512635930e-14       6.277976520576e-13       0.000000000000e+00       3.776588552315e-09       2.639785050794e-10      -1.764116067080e-12 
    5       1.257504767418e-10       1.337853519882e-14       5.879551647001e-13       0.000000000000e+00       2.821984229951e-09       2.093815839154e-10      -1.309529286441e-12 
    6       1.208053913248e-10       1.032310747924e-14       5.173990841436e-13       0.000000000000e+00       2.205212282891e-09       1.709429029072e-10      -8.948468925469e-13 
    7       1.173297571789e-10       6.841600365876e-15       4.365335862021e-13       0.000000000000e+00       1.778233642564e-09       1.425663900771e-10      -5.443860557757e-13 
    8       1.150037074262e-10       4.042374146250e-15       3.576623511395e-13       0.000000000000e+00       1.468351550585e-09       1.208855287012e-10      -2.689334595798e-13 
    9       1.135829010669e-10       2.336357197399e-15       2.880590507294e-13       0.000000000000e+00       1.235838580427e-09       1.038809735192e-10      -7.009986710226e-14 
   10       1.128526891656e-10       1.571653533689e-15       2.317799681290e-13       0.000000000000e+00       1.056623420517e-09       9.029297738551e-11       5.745597591388e-14 
   11       1.126728149350e-10       1.345905907615e-15       1.905574141940e-13       0.000000000000e+00       8.886898863528e-10       7.950622621211e-11       1.233291888069e-13 
   12       1.129346479147e-10       1.288312421126e-15       1.640636561753e-13       0.000000000000e+00       7.765278491872e-10       7.028426672607e-11       1.421600854640e-13 
   13       1.135181529474e-10       1.200674797105e-15       1.505300363075e-13       0.000000000000e+00       6.844563324612e-10       6.274647521655e-11       1.277329345192e-13 
   14       1.143248537155e-10       1.054790798633e-15       1.474046706748e-13       0.000000000000e+00       6.078507020062e-10       5.620932691925e-11       9.279532800022e-14 
   15       1.153611555809e-10       9.105397340113e-16       1.516730192885e-13       0.000000000000e+00       5.433693948278e-10       5.074770630809e-11       4.959311353094e-14 
   16       1.165881727217e-10       8.293959318784e-16       1.602914710010e-13       0.000000000000e+00       4.885455303763e-10       4.611880685714e-11       7.232456987260e-15 
   17       1.179228768517e-10       8.287731533340e-16       1.707806936783e-13       0.000000000000e+00       4.415155572830e-10       4.212235068328e-11      -2.792920702233e-14 
   18       1.193693330913e-10       8.811664361821e-16       1.812740701469e-13       0.000000000000e+00       4.006946005672e-10       3.857273461232e-11      -5.233421671131e-14 
   19       1.209354735872e-10       9.538926646832e-16       1.907919251578e-13       0.000000000000e+00       3.654375301920e-10       3.544037678075e-11      -6.510245763471e-14 
   20       1.225654212331e-10       1.013472815620e-15       1.985909989926e-13       0.000000000000e+00       3.343837601790e-10       3.267209105896e-11      -6.706958873342e-14 
   21       1.242710988806e-10       1.062834165191e-15       2.047508484085e-13       0.000000000000e+00       3.070458375795e-10       3.022365555311e-11      -6.038518073843e-14 
   22       1.260522065932e-10       1.120089788879e-15       2.097242388236e-13       0.000000000000e+00       2.827706819912e-10       2.801369668214e-11      -4.840846306969e-14 
   23       1.278979535774e-10       1.204635700163e-15       2.139590306947e-13       0.000000000000e+00       2.612248132363e-10       2.601113570731e-11      -3.407762214530e-14 
   24       1.297762580394e-10       1.335071215287e-15       2.179755427447e-13       0.000000000000e+00       2.419102417983e-10       2.418236731305e-11      -2.047693838318e-14 
   25       1.317039915764e-10       1.511806345169e-15       2.222685096344e-13       0.000000000000e+00       2.246000750344e-10       2.253677283177e-11      -9.447599824361e-15 
   26       1.336934817848e-10       1.727825392894e-15       2.272832349407e-13       0.000000000000e+00       2.089813614534e-10       2.107676123472e-11      -2.331878284357e-15 
   27       1.357258782449e-10       1.976711990766e-15       2.330399220360e-13       0.000000000000e+00       1.948668546952e-10       1.976942693085e-11       6.620870405832e-16 
   28       1.377655511947e-10       2.252057271890e-15       2.393544110747e-13       0.000000000000e+00       1.820132712727e-10       1.856395064523e-11      -9.525901833948e-17 
   29       1.398222359079e-10       2.553377841722e-15       2.459228012793e-13       0.000000000000e+00       1.703550512404e-10       1.745584868086e-11      -3.801164411687e-15 
   30       1.419101735064e-10       2.881917843317e-15       2.523094509712e-13       0.000000000000e+00       1.597671041305e-10       1.644630544193e-11      -9.226624619540e-15 
   31       1.440332195613e-10       3.238301828609e-15       2.580005827149e-13       0.000000000000e+00       1.500335692958e-10       1.552718029267e-11      -1.492866615515e-14 
   32       1.461942637727e-10       3.620417545731e-15       2.626239878438e-13       0.000000000000e+00       1.411042582461e-10       1.468921479876e-11      -2.002926972933e-14 
   33       1.483866090357e-10       4.024639251892e-15       2.658009010429e-13       0.000000000000e+00       1.329161009455e-10       1.391497670450e-11      -2.370100743884e-14 
   34       1.505973844596e-10       4.447817450649e-15       2.671636669486e-13       0.000000000000e+00       1.253545981808e-10       1.318309427408e-11      -2.518539343332e-14 
   35       1.528332215814e-10       4.892544928700e-15       2.666307506697e-13       0.000000000000e+00       1.183811085965e-10       1.249406638269e-11      -2.459200616490e-14 
   36       1.551019060872e-10       5.363799237207e-15       2.642298487408e-13       0.000000000000e+00       1.119397475542e-10       1.185261321459e-11      -2.238999386588e-14 
   37       1.574058381631e-10       5.866748481054e-15       2.600329640327e-13       0.000000000000e+00       1.059467509730e-10       1.126054196743e-11      -1.915231698607e-14 
   38       1.597454873615e-10       6.403718088559e-15       2.541715754492e-13       0.000000000000e+00       1.003866707336e-10       1.071670082888e-11      -1.535846160851e-14 
   39       1.621158477002e-10       6.976268060538e-15       2.468320928895e-13       0.000000000000e+00       9.524189560714e-11       1.021646106427e-11      -1.154171655638e-14 
   40       1.645046237167e-10       7.586006462171e-15       2.382561874156e-13       0.000000000000e+00       9.046338868296e-11       9.751315796514e-12      -8.351244237637e-15 
   41       1.668978696027e-10       8.234293962500e-15       2.286722631681e-13       0.000000000000e+00       8.598777924672e-11       9.311592852264e-12      -6.389559740031e-15 
   42       1.693007832594e-10       8.921239578091e-15       2.180548500942e-13       0.000000000000e+00       8.180192043124e-11       8.896431678559e-12      -5.644107561539e-15 
   43       1.717225129382e-10       9.646379548493e-15       2.062926220346e-13       0.000000000000e+00       7.789473295508e-11       8.506510739354e-12      -5.882708532927e-15 
   44       1.741701540369e-10       1.040892638798e-14       1.932520635837e-13       0.000000000000e+00       7.423783276986e-11       8.141179946033e-12      -6.802861866203e-15 
   45       1.766484084366e-10       1.120805238782e-14       1.787876063200e-13       0.000000000000e+00       7.079567611032e-11       7.798904357032e-12      -8.072937053487e-15 
   46       1.791590523135e-10       1.204388706464e-14       1.627792988632e-13       0.000000000000e+00       6.756285811558e-11       7.479022566910e-12      -9.481086255985e-15 
   47       1.817008679939e-10       1.291678479760e-14       1.451037655653e-13       0.000000000000e+00       6.453562139883e-11       7.180319750667e-12      -1.082316205187e-14 
   48       1.842694542014e-10       1.382704578330e-14       1.256226477133e-13       0.000000000000e+00       6.170060568684e-11       6.900435465765e-12      -1.185903195145e-14 
   49       1.868569619878e-10       1.477491401811e-14       1.041817284887e-13       0.000000000000e+00       5.903413366891e-11       6.635781583828e-12      -1.231069093682e-14 
   50       1.894553089781e-10       1.576058617896e-14       8.065349211341e-14       0.000000000000e+00       5.650934388178e-11       6.382582572072e-12      -1.195046306752e-14 
   51       1.920674633061e-10       1.678424578822e-14       5.508045030940e-14       0.000000000000e+00       5.412152871781e-11       6.140519626070e-12      -1.089820971943e-14 
   52       1.946987661159e-10       1.784603483486e-14       2.756920762523e-14       0.000000000000e+00       5.186843967879e-11       5.909933835556e-12      -9.401532571755e-15 
   53       1.973536229453e-10       1.894604221763e-14      -1.748431292970e-15       0.000000000000e+00       4.974270476057e-11       5.690761730035e-12      -7.755031717014e-15 
   54       2.000354033413e-10       2.008430224026e-14      -3.271429278035e-14       0.000000000000e+00       4.773148357422e-11       5.482506026948e-12      -6.302657686195e-15 
   55       2.027464829664e-10       2.126081020524e-14      -6.518232748284e-14       0.000000000000e+00       4.582038616473e-11       5.284465639319e-12      -5.357167596423e-15 
   56       2.054886121323e-10       2.247557717878e-14      -9.914796629714e-14       0.000000000000e+00       4.400715957279e-11       5.096559623312e-12      -4.929674379507e-15 
   57       2.082624629878e-10       2.372858619495e-14      -1.346488517661e-13       0.000000000000e+00       4.229079722652e-11       4.918656680049e-12      -4.937031532384e-15 
   58       2.110674022831e-10       2.501977552877e-14      -1.717283594528e-13       0.000000000000e+00       4.066739826456e-11       4.750315095504e-12      -5.277984004492e-15 
   59       2.139013965371e-10       2.634903785768e-14      -2.104359743017e-13       0.000000000000e+00       3.912998877535e-11       4.590763589682e-12      -5.832290513360e-15 
   60       2.167609172059e-10       2.771621942289e-14      -2.508276670002e-13       0.000000000000e+00       3.766834303643e-11       4.438882165806e-12      -6.459845860189e-15 
   61       2.196424299237e-10       2.912106328103e-14      -2.929544268546e-13       0.000000000000e+00       3.627182358807e-11       4.293505515425e-12      -7.029627737739e-15 
   62       2.225474673869e-10       3.056302607111e-14      -3.368240012053e-13       0.000000000000e+00       3.493905080065e-11       4.154456140195e-12      -7.516115340467e-15 
   63       2.254785320339e-10       3.204141844366e-14      -3.824311967891e-13       0.000000000000e+00       3.367009640907e-11       4.021710197262e-12      -7.923053972964e-15 
   64       2.284375687619e-10       3.355545478052e-14      -4.297689659681e-13       0.000000000000e+00       3.246357487019e-11       3.895086666461e-12      -8.255607570816e-15 
   65       2.314259203559e-10       3.510425058224e-14      -4.788284073064e-13       0.000000000000e+00       3.131656038746e-11       3.774238433963e-12      -8.520427324767e-15 
   66       2.344442829179e-10       3.668681985558e-14      -5.295987661467e-13       0.000000000000e+00       3.022450393558e-11       3.658643375910e-12      -8.725720304900e-15 
   67       2.374926612966e-10       3.830207250089e-14      -5.820674351869e-13       0.000000000000e+00       2.918115028510e-11       3.547595442058e-12      -8.881318084802e-15 
   68       2.405708361077e-10       3.994893233029e-14      -6.362199024630e-13       0.000000000000e+00       2.818020881404e-11       3.440402734682e-12      -8.997655193379e-15 
   69       2.436799743114e-10       4.162672473091e-14      -6.920395817707e-13       0.000000000000e+00       2.722094454903e-11       3.337048282775e-12      -9.082310710803e-15 
   70       2.468212664114e-10       4.333486322003e-14      -7.495079487609e-13       0.000000000000e+00       2.630357616098e-11       3.237647755536e-12      -9.142885968523e-15 
   71       2.499954128160e-10       4.507273622865e-14      -8.086045897376e-13       0.000000000000e+00       2.542758497789e-11       3.142250756242e-12      -9.188072730445e-15 
   72       2.532025923521e-10       4.683970757414e-14      -8.693072008898e-13       0.000000000000e+00       2.459167686344e-11       3.050837199881e-12      -9.227693935460e-15 
   73       2.564424307783e-10       4.863511693284e-14      -9.315915875226e-13       0.000000000000e+00       2.379374409544e-11       2.963313690788e-12      -9.272744439966e-15 
   74       2.597139692984e-10       5.045828031274e-14      -9.954316632889e-13       0.000000000000e+00       2.303082724439e-11       2.879509900288e-12      -9.335431760398e-15 
   75       2.630156330753e-10       5.230849052605e-14      -1.060799449421e-12       0.000000000000e+00       2.229907705204e-11       2.799174944326e-12      -9.429216815750e-15 
   76       2.663458743111e-10       5.418485796419e-14      -1.127662180716e-12       0.000000000000e+00       2.159471002932e-11       2.722043940214e-12      -9.564914978927e-15 
   77       2.697053064772e-10       5.608579835693e-14      -1.195973015933e-12       0.000000000000e+00       2.091716069760e-11       2.648059696136e-12      -9.738088337088e-15 
   78       2.730949038749e-10       5.800945202836e-14      -1.265678624125e-12       0.000000000000e+00       2.026643758547e-11       2.577185054511e-12      -9.939417688563e-15 
   79       2.765153442263e-10       5.995383255100e-14      -1.336721868477e-12       0.000000000000e+00       1.964216304699e-11       2.509334151284e-12      -1.015839887716e-14 
   80       2.799669910206e-10       6.191682394374e-14      -1.409041746212e-12       0.000000000000e+00       1.904355551721e-11       2.444370232647e-12      -1.038330274814e-14 
   81       2.834498758597e-10       6.389617786971e-14      -1.482573328490e-12       0.000000000000e+00       1.846941176777e-11       2.382103471756e-12      -1.060113510415e-14 
   82       2.869636808044e-10       6.588951083421e-14      -1.557247700315e-12       0.000000000000e+00       1.791808916238e-11       2.322288785440e-12      -1.079759666124e-14 
   83       2.905077207206e-10       6.789430138257e-14      -1.632991900435e-12       0.000000000000e+00       1.738748791242e-11       2.264623650927e-12      -1.095704300479e-14 
   84       2.940813109132e-10       6.990813929900e-14      -1.709737259129e-12       0.000000000000e+00       1.687556144248e-11       2.208819422397e-12      -1.106573114126e-14 
   85       2.976849787249e-10       7.192952680745e-14      -1.787446131348e-12       0.000000000000e+00       1.638198356837e-11       2.154833647201e-12      -1.112226525971e-14 
   86       3.013194213608e-10       7.395720567290e-14      -1.866089505779e-12       0.000000000000e+00       1.590672645337e-11       2.102672438875e-12      -1.112881728898e-14 
   87       3.049851274457e-10       7.598991842196e-14      -1.945639080858e-12       0.000000000000e+00       1.544954833387e-11       2.052319467535e-12      -1.108800923750e-14 
   88       3.086823658448e-10       7.802640977603e-14      -2.026067345804e-12       0.000000000000e+00       1.500998465072e-11       2.003735011885e-12      -1.100292838617e-14 
   89       3.124111744859e-10       8.006542808454e-14      -2.107347661673e-12       0.000000000000e+00       1.458733918059e-11       1.956855011222e-12      -1.087714248126e-14 
   90       3.161713491806e-10       8.210572675812e-14      -2.189454342393e-12       0.000000000000e+00       1.418067516729e-11       1.911590117446e-12      -1.071471492723e-14 
   91       3.199624324456e-10       8.414606570187e-14      -2.272362735815e-12       0.000000000000e+00       1.378880645314e-11       1.867824747070e-12      -1.052021997964e-14 
   92       3.237837023242e-10       8.618521274850e-14      -2.356049304753e-12       0.000000000000e+00       1.341028861030e-11       1.825416133222e-12      -1.029875793798e-14 
   93       3.276344302669e-10       8.822183478129e-14      -2.440483619741e-12       0.000000000000e+00       1.304376167256e-11       1.784230170770e-12      -1.005548227510e-14 
   94       3.315147234191e-10       9.025414925832e-14      -2.525602783679e-12       0.000000000000e+00       1.268905655853e-11       1.744257177651e-12      -9.794066671649e-15 
   95       3.354247889349e-10       9.228022268345e-14      -2.611333292596e-12       0.000000000000e+00       1.234623943159e-11       1.705511872322e-12      -9.518034440787e-15 
   96       3.393646688206e-10       9.429807616675e-14      -2.697598751626e-12       0.000000000000e+00       1.201527093847e-11       1.667997694956e-12      -9.231234427975e-15 
   97       3.433342324497e-10       9.630568534353e-14      -2.784319845019e-12       0.000000000000e+00       1.169600216697e-11       1.631706364505e-12      -8.937849504285e-15 
   98       3.473331690777e-10       9.830098029334e-14      -2.871414306165e-12       0.000000000000e+00       1.138817060362e-11       1.596617435759e-12      -8.642405059699e-15 
   99       3.513609803567e-10       1.002818454589e-13      -2.958796887608e-12       0.000000000000e+00       1.109139609143e-11       1.562697856408e-12      -8.349777496416e-15 
  100       3.554169728504e-10       1.022461195653e-13      -3.046379331062e-12       0.000000000000e+00       1.080517678759e-11       1.529901524103e-12      -8.065202722148e-15 
  101       3.595002505489e-10       1.041915955385e-13      -3.134070337432e-12       0.000000000000e+00       1.052888512116e-11       1.498168843515e-12      -7.794284643432e-15 
  102       3.636097073832e-10       1.061160204252e-13      -3.221775536831e-12       0.000000000000e+00       1.026176375080e-11       1.467426283401e-12      -7.543003658926e-15 
  103       3.677440197404e-10       1.080170953107e-13      -3.309397458593e-12       0.000000000000e+00       1.000292152247e-11       1.437585933659e-12      -7.317725152717e-15 
  104       3.719019299258e-10       1.098925839123e-13      -3.396842033304e-12       0.000000000000e+00       9.751535495819e-12       1.408565522202e-12      -7.123732616324e-15 
  105       3.760831562819e-10       1.117406552359e-13      -3.484039163768e-12       0.000000000000e+00       9.507496810902e-12       1.380352499121e-12      -6.960583047905e-15 
  106       3.802875926311e-10       1.135595872718e-13      -3.570924889917e-12       0.000000000000e+00       9.270844938822e-12       1.352947823888e-12      -6.826137048319e-15 
  107       3.845150240703e-10       1.153476635538e-13      -3.657435146243e-12       0.000000000000e+00       9.041567647729e-12       1.326346063125e-12      -6.717970538445e-15 
  108       3.887651226835e-10       1.171031742733e-13      -3.743505803592e-12       0.000000000000e+00       8.819599225025e-12       1.300535172486e-12      -6.633367039611e-15 
  109       3.930374432531e-10       1.188244173919e-13      -3.829072710969e-12       0.000000000000e+00       8.604818699557e-12       1.275496278560e-12      -6.569309954034e-15 
  110       3.973314189726e-10       1.205096997546e-13      -3.914071737329e-12       0.000000000000e+00       8.397048063820e-12       1.251203460760e-12      -6.522474845243e-15 
  111       4.016463571582e-10       1.221573382035e-13      -3.998438813375e-12       0.000000000000e+00       8.196050496157e-12       1.227623533219e-12      -6.489221718518e-15 
  112       4.059814349608e-10       1.237656606906e-13      -4.082109973362e-12       0.000000000000e+00       8.001528582954e-12       1.204715826684e-12      -6.465587301314e-15 
  113       4.103356950784e-10       1.253330073910e-13      -4.165021396887e-12       0.000000000000e+00       7.813122540845e-12       1.182431970411e-12      -6.447277323702e-15 
  114       4.147080414677e-10       1.268577318163e-13      -4.247109450690e-12       0.000000000000e+00       7.630408438908e-12       1.160715674055e-12      -6.429658798792e-15 
  115       4.190972350565e-10       1.283382019277e-13      -4.328310730455e-12       0.000000000000e+00       7.452896420862e-12       1.139502509569e-12      -6.407752303171e-15 
  116       4.235020638476e-10       1.297728296274e-13      -4.408560545060e-12       0.000000000000e+00       7.280138107734e-12       1.118734671821e-12      -6.377248994399e-15 
  117       4.279218858616e-10       1.311601609196e-13      -4.487788070920e-12       0.000000000000e+00       7.112067420809e-12       1.098407762697e-12      -6.337718445682e-15 
  118       4.323561444614e-10       1.324987988530e-13      -4.565920684254e-12       0.000000000000e+00       6.948698050761e-12       1.078529311970e-12      -6.289778142640e-15 
  119       4.368041971495e-10       1.337873774726e-13      -4.642885493632e-12       0.000000000000e+00       6.790017181308e-12       1.059104222792e-12      -6.234104969854e-15 
  120       4.412653128225e-10       1.350245631838e-13      -4.718609368003e-12       0.000000000000e+00       6.635984676756e-12       1.040134686025e-12      -6.171436551755e-15 
  121       4.457386690249e-10       1.362090561166e-13      -4.793018964719e-12       0.000000000000e+00       6.486532269547e-12       1.021620094572e-12      -6.102572593505e-15 
  122       4.502233492030e-10       1.373395914899e-13      -4.866040757564e-12       0.000000000000e+00       6.341562747795e-12       1.003556957713e-12      -6.028376221881e-15 
  123       4.547183399590e-10       1.384149409751e-13      -4.937601064778e-12       0.000000000000e+00       6.200949142840e-12       9.859388154314e-13      -5.949775326157e-15 
  124       4.592225283048e-10       1.394339140608e-13      -5.007626077083e-12       0.000000000000e+00       6.064533916782e-12       9.687561527512e-13      -5.867763898989e-15 
  125       4.637346989160e-10       1.403953594166e-13      -5.076041885714e-12       0.000000000000e+00       5.932128150031e-12       9.519963140651e-13      -5.783403377298e-15 
  126       4.682535313859e-10       1.412981662573e-13      -5.142774510438e-12       0.000000000000e+00       5.803510728848e-12       9.356434174680e-13      -5.697823983150e-15 
  127       4.727775974794e-10       1.421412657070e-13      -5.207749927586e-12       0.000000000000e+00       5.678427532891e-12       9.196782690890e-13      -5.612226064644e-15 
  128       4.773053583870e-10       1.429236321631e-13      -5.270894098078e-12       0.000000000000e+00       5.556590622758e-12       9.040782774230e-13      -5.527881436795e-15 
  129       4.818353280248e-10       1.436443293027e-13      -5.332134356445e-12       0.000000000000e+00       5.437740128826e-12       8.888226828080e-13      -5.445888226311e-15 
  130       4.863665890225e-10       1.443026509095e-13      -5.391403690644e-12       0.000000000000e+00       5.321839319603e-12       8.739090764358e-13      -5.366402151020e-15 
  131       4.908983284137e-10       1.448979981453e-13      -5.448636986896e-12       0.000000000000e+00       5.208899496855e-12       8.593385400375e-13      -5.289323052296e-15 
  132       4.954296751217e-10       1.454298379602e-13      -5.503769748166e-12       0.000000000000e+00       5.098918852313e-12       8.451104460133e-13      -5.214533413112e-15 
  133       4.999596984012e-10       1.458977047757e-13      -5.556738131930e-12       0.000000000000e+00       4.991882103888e-12       8.312224097968e-13      -5.141897935082e-15 
  134       5.044874062807e-10       1.463012021688e-13      -5.607478987939e-12       0.000000000000e+00       4.887760131874e-12       8.176702422210e-13      -5.071263115516e-15 
  135       5.090117440045e-10       1.466400045549e-13      -5.655929895984e-12       0.000000000000e+00       4.786509615169e-12       8.044479018827e-13      -5.002456824460e-15 
  136       5.135315924748e-10       1.469138588722e-13      -5.702029203661e-12       0.000000000000e+00       4.688072667480e-12       7.915474475083e-13      -4.935287881747e-15 
