# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.047750691046e-05      -1.317520194457e-03      -9.886554905423e-04      -9.886555197889e-04      -1.317501678993e-03      -9.887522952388e-04       4.726066355020e-01       4.724606949135e-01 
       1.131335172503e-05      -1.535982895325e-03      -1.152687680795e-03      -1.152687720550e-03      -1.535957728086e-03      -1.152800512019e-03       4.726066016719e-01       4.724606794023e-01 
       1.221587619537e-05      -1.790642978451e-03      -1.343934430863e-03      -1.343934484905e-03      -1.790608769613e-03      -1.344065935086e-03       4.726063001765e-01       4.724603994379e-01 
       1.319039970183e-05      -2.087490425272e-03      -1.566912124122e-03      -1.566912197582e-03      -2.087443927878e-03      -1.567065382523e-03       4.726061350792e-01       4.724602593145e-01 
       1.424266597921e-05      -2.433500796527e-03      -1.826884908518e-03      -1.826885008374e-03      -2.433437597697e-03      -1.827063507347e-03       4.726059473133e-01       4.724601006504e-01 
       1.537887696968e-05      -2.836798916064e-03      -2.129990540607e-03      -2.129990676343e-03      -2.836713016633e-03      -2.130198652815e-03       4.726056837972e-01       4.724598711010e-01 
       1.660572937635e-05      -3.306846545812e-03      -2.483385330990e-03      -2.483385515499e-03      -3.306729795374e-03      -2.483627810621e-03       4.726053549877e-01       4.724595818896e-01 
       1.793045413292e-05      -3.854659695700e-03      -2.895412809344e-03      -2.895413060150e-03      -3.854501018116e-03      -2.895695300484e-03       4.726049513126e-01       4.724592243735e-01 
       1.936085902198e-05      -4.493061520100e-03      -3.375801125890e-03      -3.375801466807e-03      -4.492845866589e-03      -3.376130188287e-03       4.726045132726e-01       4.724588401229e-01 
       2.090537469327e-05      -5.236973894340e-03      -3.935892222339e-03      -3.935892685742e-03      -5.236680814205e-03      -3.936275475860e-03       4.726040373999e-01       4.724584269334e-01 
