# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261932477413e-03 
       1.131335172503e-05       7.820337367227e-03 
       1.221587619537e-05       8.421682084076e-03 
       1.319039970183e-05       9.069265946875e-03 
       1.424266597921e-05       9.766645421833e-03 
       1.537887696968e-05       1.051764738453e-02 
       1.660572937635e-05       1.132639907070e-02 
       1.793045413292e-05       1.219734111403e-02 
       1.936085902198e-05       1.313525079166e-02 
       2.090537469327e-05       1.414527896611e-02 
       2.257310435294e-05       1.523297672155e-02 
       2.437387741694e-05       1.640430625652e-02 
       2.631830744443e-05       1.766570796628e-02 
       2.841785469300e-05       1.902410114850e-02 
       3.068489366414e-05       2.048694460529e-02 
       3.313278603720e-05       2.206226822494e-02 
       3.577595942169e-05       2.375872621919e-02 
       3.862999239199e-05       2.558562482521e-02 
       4.171170630578e-05       2.755299623390e-02 
       4.503926444729e-05       2.967164118826e-02 
       4.863227907969e-05       3.195318737810e-02 
       5.251192703764e-05       3.441015988022e-02 
       5.670107454120e-05       3.705604400997e-02 
       6.122441196689e-05       3.990536138924e-02 
       6.610859936996e-05       4.297375372461e-02 
       7.138242361596e-05       4.627805491929e-02 
       7.707696804727e-05       4.983639804672e-02 
       8.322579568497e-05       5.366830685008e-02 
       8.986514704559e-05       5.779480579053e-02 
       9.703415373875e-05       6.223852837579e-02 
       1.047750691046e-04       6.702384722217e-02 
       1.131335172503e-04       7.217700077342e-02 
       1.221587619537e-04       7.772624697407e-02 
       1.319039970183e-04       8.370199500565e-02 
       1.424266597921e-04       9.013699081822e-02 
       1.537887696968e-04       9.706648197016e-02 
       1.660572937635e-04       1.045284100304e-01 
       1.793045413292e-04       1.125636148430e-01 
       1.936085902198e-04       1.212160471251e-01 
       2.090537469327e-04       1.305330055131e-01 
       2.257310435294e-04       1.405653843664e-01 
       2.437387741694e-04       1.513679372339e-01 
       2.631830744443e-04       1.629995647696e-01 
       2.841785469300e-04       1.755236154346e-01 
       3.068489366414e-04       1.890081993404e-01 
       3.313278603720e-04       2.035265418842e-01 
       3.577595942169e-04       2.191573322508e-01 
       3.862999239199e-04       2.359851062475e-01 
       4.171170630578e-04       2.541006478559e-01 
       4.503926444729e-04       2.736013938787e-01 
       4.863227907969e-04       2.945918767712e-01 
       5.251192703764e-04       3.171841622755e-01 
       5.670107454121e-04       3.414982995331e-01 
       6.122441196689e-04       3.676627773774e-01 
       6.610859936996e-04       3.958149741016e-01 
       7.138242361596e-04       4.261015905902e-01 
       7.707696804727e-04       4.586790548509e-01 
       8.322579568497e-04       4.937138846320e-01 
       8.986514704559e-04       5.313829748455e-01 
       9.703415373875e-04       5.718737961951e-01 
       1.047750691046e-03       6.153844637650e-01 
       1.131335172503e-03       6.621236209272e-01 
       1.221587619537e-03       7.123101069440e-01 
       1.319039970183e-03       7.661723223588e-01 
       1.424266597921e-03       8.239548741774e-01 
       1.537887696968e-03       8.859013145252e-01 
       1.660572937635e-03       9.522588794770e-01 
       1.793045413292e-03       1.023279971230e+00 
       1.936085902198e-03       1.099215816788e+00 
       2.090537469327e-03       1.180311949563e+00 
       2.257310435294e-03       1.266802229465e+00 
       2.437387741694e-03       1.358901754791e+00 
       2.631830744443e-03       1.456797861444e+00 
       2.841785469300e-03       1.560639668277e+00 
       3.068489366414e-03       1.670525506848e+00 
       3.313278603720e-03       1.786488764447e+00 
       3.577595942169e-03       1.908481623707e+00 
       3.862999239199e-03       2.036357988355e+00 
       4.171170630578e-03       2.169854898933e+00 
       4.503926444729e-03       2.308574605328e+00 
       4.863227907969e-03       2.451968383274e+00 
       5.251192703764e-03       2.599322148174e+00 
       5.670107454120e-03       2.749747867754e+00 
       6.122441196689e-03       2.902181548147e+00 
       6.610859936996e-03       3.055387903951e+00 
       7.138242361596e-03       3.207972295649e+00 
       7.707696804727e-03       3.358399421775e+00 
       8.322579568496e-03       3.505011227551e+00 
       8.986514704559e-03       3.646038621684e+00 
       9.703415373875e-03       3.779607769872e+00 
       1.047750691046e-02       3.903714732582e+00 
       1.131335172503e-02       4.016195950594e+00 
       1.221587619537e-02       4.114692426953e+00 
       1.319039970183e-02       4.196626906246e+00 
       1.424266597920e-02       4.259233122471e+00 
       1.537887696964e-02       4.299648790971e+00 
       1.660572937560e-02       4.315070363820e+00 
       1.793045412207e-02       4.302933451127e+00 
       1.936085889642e-02       4.261087476066e+00 
       2.090537351881e-02       4.187944515458e+00 
       2.257309534705e-02       4.082710367327e+00 
       2.437382002240e-02       3.945653837268e+00 
       2.631799943729e-02       3.778461810954e+00 
       2.841644544598e-02       3.584453707417e+00 
       3.067933354524e-02       3.368809854849e+00 
       3.311368469821e-02       3.138644466114e+00 
       3.571840442514e-02       2.902966256082e+00 
       3.847720347390e-02       2.672177981107e+00 
       4.135335537314e-02       2.456480980099e+00 
       4.429361666563e-02       2.263712697170e+00 
