# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.262063657743e-03 
       1.131335172503e-05       7.820479498967e-03 
       1.221587619537e-05       8.421832562376e-03 
       1.319039970183e-05       9.069427836114e-03 
       1.424266597921e-05       9.766819588477e-03 
       1.537887696968e-05       1.051783683177e-02 
       1.660572937635e-05       1.132660323402e-02 
       1.793045413292e-05       1.219755943599e-02 
       1.936085902198e-05       1.313548805833e-02 
       2.090537469327e-05       1.414553470524e-02 
       2.257310435294e-05       1.523324971109e-02 
       2.437387741694e-05       1.640460449519e-02 
       2.631830744443e-05       1.766602666817e-02 
       2.841785469300e-05       1.902444416619e-02 
       3.068489366414e-05       2.048731403424e-02 
       3.313278603720e-05       2.206266732840e-02 
       3.577595942169e-05       2.375915288528e-02 
       3.862999239199e-05       2.558608430574e-02 
       4.171170630578e-05       2.755349133853e-02 
       4.503926444729e-05       2.967217443164e-02 
       4.863227907969e-05       3.195376300900e-02 
       5.251192703764e-05       3.441078025685e-02 
       5.670107454120e-05       3.705671165029e-02 
       6.122441196689e-05       3.990608220302e-02 
       6.610859936996e-05       4.297452699386e-02 
       7.138242361596e-05       4.627888795824e-02 
       7.707696804727e-05       4.983729454435e-02 
       8.322579568497e-05       5.366927278608e-02 
       8.986514704559e-05       5.779584502467e-02 
       9.703415373875e-05       6.223964516816e-02 
       1.047750691046e-04       6.702504898311e-02 
       1.131335172503e-04       7.217829941150e-02 
       1.221587619537e-04       7.772764193853e-02 
       1.319039970183e-04       8.370349592084e-02 
       1.424266597921e-04       9.013860589779e-02 
       1.537887696968e-04       9.706821965315e-02 
       1.660572937635e-04       1.045302792706e-01 
       1.793045413292e-04       1.125656256348e-01 
       1.936085902198e-04       1.212182091187e-01 
       2.090537469327e-04       1.305353302851e-01 
       2.257310435294e-04       1.405678815401e-01 
       2.437387741694e-04       1.513706205177e-01 
       2.631830744443e-04       1.630024469504e-01 
       2.841785469300e-04       1.755267081982e-01 
       3.068489366414e-04       1.890115176465e-01 
       3.313278603720e-04       2.035301001282e-01 
       3.577595942169e-04       2.191611431999e-01 
       3.862999239199e-04       2.359891858338e-01 
       4.171170630578e-04       2.541050084175e-01 
       4.503926444729e-04       2.736060496260e-01 
       4.863227907969e-04       2.945968405946e-01 
       5.251192703764e-04       3.171894447414e-01 
       5.670107454121e-04       3.415039071228e-01 
       6.122441196689e-04       3.676687169754e-01 
       6.610859936996e-04       3.958212448915e-01 
       7.138242361596e-04       4.261081832798e-01 
       7.707696804727e-04       4.586859525953e-01 
       8.322579568497e-04       4.937210563389e-01 
       8.986514704559e-04       5.313903768817e-01 
       9.703415373875e-04       5.718813605854e-01 
       1.047750691046e-03       6.153920925116e-01 
       1.131335172503e-03       6.621311775025e-01 
       1.221587619537e-03       7.123174103801e-01 
       1.319039970183e-03       7.661791210830e-01 
       1.424266597921e-03       8.239609213984e-01 
       1.537887696968e-03       8.859060312505e-01 
       1.660572937635e-03       9.522614968641e-01 
       1.793045413292e-03       1.023279499381e+00 
       1.936085902198e-03       1.099211018223e+00 
       2.090537469327e-03       1.180301169943e+00 
       2.257310435294e-03       1.266783365492e+00 
       2.437387741694e-03       1.358871961669e+00 
       2.631830744443e-03       1.456753372226e+00 
       2.841785469300e-03       1.560575424785e+00 
       3.068489366414e-03       1.670434746758e+00 
       3.313278603720e-03       1.786362326368e+00 
       3.577595942169e-03       1.908307266371e+00 
       3.862999239199e-03       2.036118997945e+00 
       4.171170630578e-03       2.169528848508e+00 
       4.503926444729e-03       2.308131197238e+00 
       4.863227907969e-03       2.451366429712e+00 
       5.251192703764e-03       2.598506034757e+00 
       5.670107454120e-03       2.748643199692e+00 
       6.122441196689e-03       2.900688017577e+00 
       6.610859936996e-03       3.053370259011e+00 
       7.138242361596e-03       3.205250898465e+00 
       7.707696804727e-03       3.354734921456e+00 
       8.322579568496e-03       3.500087593143e+00 
       8.986514704559e-03       3.639443517896e+00 
       9.703415373875e-03       3.770795766666e+00 
       1.047750691046e-02       3.891984222163e+00 
       1.131335172503e-02       4.000637330844e+00 
       1.221587619537e-02       4.094146036397e+00 
       1.319039970183e-02       4.169602142993e+00 
       1.424266597920e-02       4.223849232406e+00 
       1.537887696964e-02       4.253536964092e+00 
       1.660572937560e-02       4.255283547438e+00 
       1.793045412207e-02       4.225837656110e+00 
       1.936085889642e-02       4.162269704904e+00 
       2.090537351881e-02       4.062121902727e+00 
       2.257309534705e-02       3.923663726385e+00 
       2.437382002240e-02       3.746251023692e+00 
       2.631799943729e-02       3.530714817076e+00 
       2.841644544598e-02       3.279750239142e+00 
       3.067933354524e-02       2.998310021166e+00 
       3.311368469821e-02       2.693919299709e+00 
       3.571840442514e-02       2.376975923255e+00 
       3.847720347390e-02       2.060416458713e+00 
       4.135335537314e-02       1.758216003192e+00 
       4.429361666563e-02       1.482423034569e+00 
       4.724366437916e-02       1.240224350959e+00 
       5.016480834039e-02       1.033049146396e+00 
       5.303989618930e-02       8.581856423892e-01 
       5.586870668205e-02       7.109599055053e-01 
       5.866042679206e-02       5.865778780188e-01 
       6.142798931504e-02       4.807796131739e-01 
       6.418496438662e-02       3.901263154556e-01 
       6.694418832236e-02       3.119776819821e-01 
       6.971731104453e-02       2.444036857582e-01 
       7.251476154108e-02       1.860906291316e-01 
       7.534587669814e-02       1.362130912337e-01 
       7.821907664495e-02       9.432994520147e-02 
       8.114203771084e-02       6.025973390327e-02 
       8.412184533139e-02       3.395023470523e-02 
       8.716512277352e-02       1.533932467072e-02 
       9.027813693913e-02       4.209529733223e-03 
       9.346688429613e-02       6.673498781663e-05 
       9.673716026122e-02       2.050390968648e-03 
       1.000946150608e-01       8.906363202270e-03 
       1.035447986307e-01       1.903906775454e-02 
       1.070931966524e-01       3.064826074560e-02 
       1.107452594180e-01       4.192438600261e-02 
       1.145064248899e-01       5.129203724978e-02 
       1.183821370656e-01       5.761056282211e-02 
       1.223778605591e-01       6.031951735265e-02 
       1.264990921707e-01       5.946484985876e-02 
       1.307513701078e-01       5.560163621956e-02 
       1.351402814485e-01       4.960305338161e-02 
       1.396714683894e-01       4.242590752798e-02 
       1.443506337875e-01       3.491394374018e-02 
       1.491835464900e-01       2.767296427698e-02 
       1.541760469368e-01       2.105062935587e-02 
       1.593340535209e-01       1.519178950965e-02 
       1.646635701934e-01       1.014118325087e-02 
       1.701706958081e-01       5.951444798714e-03 
       1.758616357070e-01       2.747922063958e-03 
       1.817427160581e-01       7.164509804621e-04 
       1.878204014651e-01       8.728029793833e-07 
       1.941013163855e-01       5.618005042179e-04 
       2.005922709060e-01       2.050838601227e-03 
       2.073002914514e-01       3.856953783662e-03 
       2.142326570343e-01       5.339095388185e-03 
       2.213969417044e-01       6.062102301136e-03 
       2.288010639201e-01       5.921337738870e-03 
       2.364533436625e-01       5.122170260889e-03 
       2.443625682390e-01       3.995350175611e-03 
       2.525380678946e-01       2.810131415551e-03 
       2.609898025770e-01       1.734280018039e-03 
       2.697284614969e-01       8.653795731138e-04 
