# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020964811309e+01 
       1.131335172503e-05       5.407050701934e+01 
       1.221587619537e-05       5.822819070775e+01 
       1.319039970183e-05       6.270562594772e+01 
       1.424266597921e-05       6.752732240881e+01 
       1.537887696968e-05       7.271977206174e+01 
       1.660572937635e-05       7.831147247913e+01 
       1.793045413292e-05       8.433311821989e+01 
       1.936085902198e-05       9.081778249834e+01 
       2.090537469327e-05       9.780108069298e+01 
       2.257310435294e-05       1.053213197893e+02 
       2.437387741694e-05       1.134197377890e+02 
       2.631830744443e-05       1.221408203809e+02 
       2.841785469300e-05       1.315324642510e+02 
       3.068489366414e-05       1.416462094880e+02 
       3.313278603720e-05       1.525374501932e+02 
       3.577595942169e-05       1.642660688413e+02 
       3.862999239199e-05       1.768963506307e+02 
       4.171170630578e-05       1.904975994012e+02 
       4.503926444729e-05       2.051444491973e+02 
       4.863227907969e-05       2.209171465547e+02 
       5.251192703764e-05       2.379022224236e+02 
       5.670107454120e-05       2.561927927994e+02 
       6.122441196689e-05       2.758890444034e+02 
       6.610859936996e-05       2.970989227882e+02 
       7.138242361596e-05       3.199385560797e+02 
       7.707696804727e-05       3.445329783657e+02 
       8.322579568497e-05       3.710167318939e+02 
       8.986514704559e-05       3.995346444192e+02 
       9.703415373875e-05       4.302425407370e+02 
       1.047750691046e-04       4.633080766726e+02 
       1.131335172503e-04       4.989116271545e+02 
       1.221587619537e-04       5.372471950904e+02 
       1.319039970183e-04       5.785234129302e+02 
       1.424266597921e-04       6.229645936004e+02 
       1.537887696968e-04       6.708118490353e+02 
       1.660572937635e-04       7.223242666026e+02 
       1.793045413292e-04       7.777801558286e+02 
       1.936085902198e-04       8.374783614034e+02 
       2.090537469327e-04       9.017396271692e+02 
       2.257310435294e-04       9.709080267875e+02 
       2.437387741694e-04       1.045352449472e+03 
       2.631830744443e-04       1.125468123723e+03 
       2.841785469300e-04       1.211678180461e+03 
       3.068489366414e-04       1.304435250108e+03 
       3.313278603720e-04       1.404223053629e+03 
       3.577595942169e-04       1.511558014551e+03 
       3.862999239199e-04       1.626990837581e+03 
       4.171170630578e-04       1.751108028687e+03 
       4.503926444729e-04       1.884533382741e+03 
       4.863227907969e-04       2.027929377951e+03 
       5.251192703764e-04       2.181998447927e+03 
       5.670107454121e-04       2.347484102497e+03 
       6.122441196689e-04       2.525171871040e+03 
       6.610859936996e-04       2.715889983187e+03 
       7.138242361596e-04       2.920509687865e+03 
       7.707696804727e-04       3.139945099640e+03 
       8.322579568497e-04       3.375152336781e+03 
       8.986514704559e-04       3.627127830132e+03 
       9.703415373875e-04       3.896905451870e+03 
       1.047750691046e-03       4.185552172724e+03 
       1.131335172503e-03       4.494162428379e+03 
       1.221587619537e-03       4.823850703992e+03 
       1.319039970183e-03       5.175742735629e+03 
       1.424266597921e-03       5.551019592877e+03 
       1.537887696968e-03       5.950788335348e+03 
       1.660572937635e-03       6.376123018327e+03 
       1.793045413292e-03       6.828073892777e+03 
       1.936085902198e-03       7.307625369934e+03 
       2.090537469327e-03       7.815671856134e+03 
       2.257310435294e-03       8.352990357596e+03 
       2.437387741694e-03       8.920211041154e+03 
       2.631830744443e-03       9.517783039561e+03 
       2.841785469300e-03       1.014593700683e+04 
       3.068489366414e-03       1.080464498047e+04 
       3.313278603720e-03       1.149357454329e+04 
       3.577595942169e-03       1.221203614123e+04 
       3.862999239199e-03       1.295892529866e+04 
       4.171170630578e-03       1.373265999905e+04 
       4.503926444729e-03       1.453111820472e+04 
       4.863227907969e-03       1.535154408250e+04 
       5.251192703764e-03       1.619058838840e+04 
       5.670107454120e-03       1.704429966178e+04 
       6.122441196689e-03       1.790756807232e+04 
       6.610859936996e-03       1.877462488915e+04 
       7.138242361596e-03       1.963870974398e+04 
       7.707696804727e-03       2.049208409224e+04 
       8.322579568496e-03       2.132606219300e+04 
       8.986514704559e-03       2.213060858179e+04 
       9.703415373875e-03       2.289442276141e+04 
       1.047750691046e-02       2.360541236834e+04 
       1.131335172503e-02       2.424948031162e+04 
       1.221587619537e-02       2.481364032178e+04 
       1.319039970183e-02       2.528216667808e+04 
       1.424266597920e-02       2.563806862017e+04 
       1.537887696964e-02       2.586570977401e+04 
       1.660572937560e-02       2.595036229579e+04 
       1.793045412207e-02       2.587589012641e+04 
       1.936085889642e-02       2.563210805972e+04 
       2.090537351881e-02       2.520922090875e+04 
       2.257309534705e-02       2.460427090020e+04 
       2.437382002240e-02       2.382069769434e+04 
       2.631799943729e-02       2.287019665805e+04 
       2.841644544598e-02       2.177430912342e+04 
       3.067933354524e-02       2.056531541141e+04 
       3.311368469821e-02       1.928705675418e+04 
       3.571840442514e-02       1.799384467479e+04 
       3.847720347390e-02       1.674680122352e+04 
       4.135335537314e-02       1.560448398016e+04 
       4.429361666563e-02       1.461022891738e+04 
       4.724366437916e-02       1.378040480077e+04 
       5.016480834039e-02       1.310488647939e+04 
       5.303989618930e-02       1.255704085671e+04 
       5.586870668205e-02       1.210415239943e+04 
       5.866042679206e-02       1.171453286799e+04 
       6.142798931504e-02       1.136003841973e+04 
       6.418496438662e-02       1.101847791678e+04 
       6.694418832236e-02       1.067051647723e+04 
       6.971731104453e-02       1.030346024028e+04 
       7.251476154108e-02       9.908895758683e+03 
       7.534587669814e-02       9.483439317561e+03 
       7.821907664495e-02       9.029123666443e+03 
       8.114203771084e-02       8.551919251753e+03 
       8.412184533139e-02       8.061702917381e+03 
       8.716512277352e-02       7.570497762441e+03 
       9.027813693913e-02       7.092218804116e+03 
       9.346688429613e-02       6.640250714305e+03 
       9.673716026122e-02       6.226413733576e+03 
       1.000946150608e-01       5.859614726821e+03 
       1.035447986307e-01       5.544901513372e+03 
       1.070931966524e-01       5.282810122892e+03 
       1.107452594180e-01       5.069072829868e+03 
       1.145064248899e-01       4.894870223126e+03 
       1.183821370656e-01       4.747417318443e+03 
       1.223778605591e-01       4.611264640230e+03 
       1.264990921707e-01       4.470123465886e+03 
       1.307513701078e-01       4.309649541899e+03 
       1.351402814485e-01       4.120841106134e+03 
       1.396714683894e-01       3.901472251086e+03 
       1.443506337875e-01       3.658047479240e+03 
       1.491835464900e-01       3.403823358647e+03 
       1.541760469368e-01       3.155979918522e+03 
       1.593340535209e-01       2.931231561126e+03 
       1.646635701934e-01       2.741622372674e+03 
       1.701706958081e-01       2.591470573259e+03 
       1.758616357070e-01       2.476415954950e+03 
       1.817427160581e-01       2.384304304541e+03 
       1.878204014651e-01       2.299445146615e+03 
       1.941013163855e-01       2.204810798761e+03 
       2.005922709060e-01       2.089819786373e+03 
       2.073002914514e-01       1.955406514810e+03 
       2.142326570343e-01       1.813077217290e+03 
       2.213969417044e-01       1.678124773937e+03 
       2.288010639201e-01       1.562639739893e+03 
       2.364533436625e-01       1.471428839859e+03 
       2.443625682390e-01       1.400191991128e+03 
       2.525380678946e-01       1.337038731956e+03 
       2.609898025770e-01       1.269462231899e+03 
       2.697284614969e-01       1.191861615386e+03 
       2.787655775073e-01       1.107744586056e+03 
       2.881136588192e-01       1.027118935870e+03 
       2.977863412019e-01       9.587618066585e+02 
       3.077985646248e-01       9.032304340117e+02 
       3.181667793367e-01       8.542646709208e+02 
       3.289091877084e-01       8.042312706816e+02 
       3.400460298905e-01       7.503471289224e+02 
       3.515999235695e-01       6.967985091102e+02 
       3.635962710278e-01       6.488563378351e+02 
       3.760637505499e-01       6.078215186456e+02 
       3.890349143014e-01       5.697282302768e+02 
       4.025469215929e-01       5.312826727585e+02 
       4.166424455447e-01       4.930339830592e+02 
       4.313708034899e-01       4.577670049831e+02 
       4.467893781976e-01       4.259650363098e+02 
       4.629654198623e-01       3.958436684236e+02 
       4.799783500912e-01       3.661924162098e+02 
       4.979227318246e-01       3.380682715457e+02 
       5.169121269689e-01       3.121794978309e+02 
       5.370841403262e-01       2.873958573183e+02 
       5.586070463286e-01       2.635241032079e+02 
       5.816885093582e-01       2.410749879096e+02 
       6.065870143577e-01       2.196723137417e+02 
       6.336266466978e-01       1.991451300081e+02 
       6.632156057925e-01       1.796316208850e+02 
       6.958678637575e-01       1.609119468437e+02 
       7.322247983784e-01       1.430431669769e+02 
       7.730680193171e-01       1.259540939843e+02 
       8.193049551574e-01       1.097062281904e+02 
       8.718988013754e-01       9.437398013046e+01 
       9.317218028590e-01       8.011023120708e+01 
       9.993660906273e-01       6.709709402696e+01 
       1.075037109879e+00       5.548701949546e+01 
       1.158653485387e+00       4.534879298918e+01 
       1.250099156961e+00       3.664972227656e+01 
       1.349432400897e+00       2.927215269965e+01 
       1.456947456991e+00       2.306820663049e+01 
       1.573135110893e+00       1.788818552528e+01 
       1.698621895119e+00       1.359637545452e+01 
       1.834127512423e+00       1.007641497966e+01 
       1.980444933977e+00       7.228704176934e+00 
       2.138435191130e+00       4.969045076411e+00 
       2.309029198543e+00       3.223825404715e+00 
       2.493232376993e+00       1.927315037984e+00 
       2.692130394536e+00       1.017819380297e+00 
       2.906895533764e+00       4.351167147286e-01 
       3.138793596840e+00       1.181587679143e-01 
       3.389191365541e+00       4.239813616163e-03 
       3.659564656886e+00       2.955393674101e-02 
       3.951507021438e+00       1.317199667721e-01 
       4.266739135513e+00       2.540088468381e-01 
       4.607118942658e+00       3.508799537312e-01 
       4.974652604172e+00       3.933272441484e-01 
       5.371506323193e+00       3.724540811885e-01 
       5.800019112071e+00       2.993006132612e-01 
       6.262716578240e+00       1.994789565123e-01 
       6.762325809881e+00       1.034902165370e-01 
       7.301791449077e+00       3.532810315061e-02 
       7.884293047211e+00       3.876484771248e-03 
       8.513263804891e+00       1.576768014615e-03 
       9.192410806865e+00       1.130157262317e-02 
       9.925736871166e+00       1.758289873699e-02 
       1.071756414128e+01       1.485989592748e-02 
       1.157255956041e+01       7.291075772622e-03 
       1.249576237789e+01       1.539779710026e-03 
       1.349261385000e+01       8.806092245850e-08 
       1.456898931011e+01       4.996178185406e-04 
       1.573123279727e+01       6.254611881673e-04 
       1.698619444729e+01       2.224275147949e-04 
       1.834127086665e+01       6.782732505250e-06 
       1.980444872733e+01       1.586567278360e-05 
       2.138435183937e+01       1.294397509977e-05 
       2.309029197863e+01       1.752454433750e-07 
       2.493232376942e+01       1.293301751681e-06 
       2.692130394533e+01       1.618478201669e-07 
       2.906895533764e+01       2.370359513297e-07 
       3.138793596840e+01       8.245539861122e-08 
       3.389191365541e+01       2.930053376549e-08 
       3.659564656886e+01       1.233957997857e-08 
       3.951507021438e+01       3.128103545314e-09 
       4.266739135513e+01       4.968292893979e-11 
       4.607118942658e+01       2.613370158550e-10 
       4.974652604172e+01       1.110227388868e-10 
       5.371506323193e+01       1.647678886904e-12 
       5.800019112071e+01       3.576649453547e-13 
       6.262716578240e+01       1.621296539319e-13 
       6.762325809881e+01       2.674786089707e-13 
