# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927686471e-03 
       1.131335172503e-05       7.820331658472e-03 
       1.221587619537e-05       8.421676001963e-03 
       1.319039970183e-05       9.069258208853e-03 
       1.424266597921e-05       9.766638419676e-03 
       1.537887696968e-05       1.051764071613e-02 
       1.660572937635e-05       1.132639107600e-02 
       1.793045413292e-05       1.219733233657e-02 
       1.936085902198e-05       1.313524226793e-02 
       2.090537469327e-05       1.414527124492e-02 
       2.257310435294e-05       1.523296274999e-02 
       2.437387741694e-05       1.640429447555e-02 
       2.631830744443e-05       1.766569585422e-02 
       2.841785469300e-05       1.902408738474e-02 
       3.068489366414e-05       2.048692974354e-02 
       3.313278603720e-05       2.206225517646e-02 
       3.577595942169e-05       2.375870709272e-02 
       3.862999239199e-05       2.558560732177e-02 
       4.171170630578e-05       2.755297768404e-02 
       4.503926444729e-05       2.967161932764e-02 
       4.863227907969e-05       3.195316456699e-02 
       5.251192703764e-05       3.441013525604e-02 
       5.670107454120e-05       3.705601729328e-02 
       6.122441196689e-05       3.990533420881e-02 
       6.610859936996e-05       4.297372176091e-02 
       7.138242361596e-05       4.627802150184e-02 
       7.707696804727e-05       4.983636203304e-02 
       8.322579568497e-05       5.366826857075e-02 
       8.986514704559e-05       5.779476405168e-02 
       9.703415373875e-05       6.223848255298e-02 
       1.047750691046e-04       6.702379877928e-02 
       1.131335172503e-04       7.217695166608e-02 
       1.221587619537e-04       7.772619087812e-02 
       1.319039970183e-04       8.370193447704e-02 
       1.424266597921e-04       9.013692524046e-02 
       1.537887696968e-04       9.706641260326e-02 
       1.660572937635e-04       1.045283356182e-01 
       1.793045413292e-04       1.125635351124e-01 
       1.936085902198e-04       1.212159617180e-01 
       2.090537469327e-04       1.305329135094e-01 
       2.257310435294e-04       1.405652848774e-01 
       2.437387741694e-04       1.513678305291e-01 
       2.631830744443e-04       1.629994507828e-01 
       2.841785469300e-04       1.755234924402e-01 
       3.068489366414e-04       1.890080673827e-01 
       3.313278603720e-04       2.035264006101e-01 
       3.577595942169e-04       2.191571807615e-01 
       3.862999239199e-04       2.359849441817e-01 
       4.171170630578e-04       2.541004746062e-01 
       4.503926444729e-04       2.736012085122e-01 
       4.863227907969e-04       2.945916796149e-01 
       5.251192703764e-04       3.171839530721e-01 
       5.670107454121e-04       3.414980769917e-01 
       6.122441196689e-04       3.676625419405e-01 
       6.610859936996e-04       3.958147259010e-01 
       7.138242361596e-04       4.261013291938e-01 
       7.707696804727e-04       4.586787800013e-01 
       8.322579568497e-04       4.937136009006e-01 
       8.986514704559e-04       5.313826809762e-01 
       9.703415373875e-04       5.718734980905e-01 
       1.047750691046e-03       6.153841638605e-01 
       1.131335172503e-03       6.621233248860e-01 
       1.221587619537e-03       7.123098230043e-01 
       1.319039970183e-03       7.661720593826e-01 
       1.424266597921e-03       8.239546307260e-01 
       1.537887696968e-03       8.859011182475e-01 
       1.660572937635e-03       9.522588014511e-01 
       1.793045413292e-03       1.023280100486e+00 
       1.936085902198e-03       1.099216305037e+00 
       2.090537469327e-03       1.180312990617e+00 
       2.257310435294e-03       1.266804115604e+00 
       2.437387741694e-03       1.358904852616e+00 
       2.631830744443e-03       1.456802681638e+00 
       2.841785469300e-03       1.560646888046e+00 
       3.068489366414e-03       1.670536058775e+00 
       3.313278603720e-03       1.786503846841e+00 
       3.577595942169e-03       1.908502923377e+00 
       3.862999239199e-03       2.036387720644e+00 
       4.171170630578e-03       2.169896182076e+00 
       4.503926444729e-03       2.308631861268e+00 
       4.863227907969e-03       2.452047267824e+00 
       5.251192703764e-03       2.599430598140e+00 
       5.670107454120e-03       2.749896893247e+00 
       6.122441196689e-03       2.902386464176e+00 
       6.610859936996e-03       3.055668647956e+00 
       7.138242361596e-03       3.208356382326e+00 
       7.707696804727e-03       3.358923795795e+00 
       8.322579568496e-03       3.505725469947e+00 
       8.986514704559e-03       3.647009383338e+00 
       9.703415373875e-03       3.780923108187e+00 
       1.047750691046e-02       3.905490972137e+00 
       1.131335172503e-02       4.018588269854e+00 
       1.221587619537e-02       4.117901206856e+00 
       1.319039970183e-02       4.200914350527e+00 
       1.424266597920e-02       4.264945669384e+00 
       1.537887696964e-02       4.307219055692e+00 
       1.660572937560e-02       4.325065380970e+00 
       1.793045412207e-02       4.316058217471e+00 
       1.936085889642e-02       4.278226917367e+00 
       2.090537351881e-02       4.210202261981e+00 
       2.257309534705e-02       4.111416588063e+00 
       2.437382002240e-02       3.982423628563e+00 
       2.631799943729e-02       3.825163860207e+00 
