# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020964811312e+01 
       1.319039970183e-05       6.270562594765e+01 
       1.660572937635e-05       7.831147247912e+01 
       2.090537469327e-05       9.780108069297e+01 
       2.631830744443e-05       1.221408203809e+02 
       3.313278603720e-05       1.525374501932e+02 
       4.171170630578e-05       1.904975994012e+02 
       5.251192703764e-05       2.379022224241e+02 
       6.610859936996e-05       2.970989227882e+02 
       8.322579568497e-05       3.710167318941e+02 
       1.047750691046e-04       4.633080766732e+02 
       1.319039970183e-04       5.785234129318e+02 
       1.660572937635e-04       7.223242666053e+02 
       2.090537469327e-04       9.017396271747e+02 
       2.631830744443e-04       1.125468123735e+03 
       3.313278603720e-04       1.404223053651e+03 
       4.171170630578e-04       1.751108028731e+03 
       5.251192703764e-04       2.181998448013e+03 
       6.610859936996e-04       2.715889983355e+03 
       8.322579568497e-04       3.375152336664e+03 
       1.047750691046e-03       4.185552173366e+03 
       1.319039970183e-03       5.175742739075e+03 
       1.660572937635e-03       6.376123047843e+03 
       2.090537469327e-03       7.815671860127e+03 
       2.631830744443e-03       9.517783051882e+03 
       3.313278603720e-03       1.149357456842e+04 
       4.171170630578e-03       1.373266003468e+04 
       5.251192703764e-03       1.619061269435e+04 
       6.610859936996e-03       1.877461680203e+04 
       8.322579568497e-03       2.132610535481e+04 
       1.047750691046e-02       2.360554925035e+04 
       1.319039970183e-02       2.528218212678e+04 
       1.660572937633e-02       2.595034071515e+04 
       2.090537453514e-02       2.520923413999e+04 
       2.631818545635e-02       2.287020198788e+04 
       3.311571692125e-02       1.928604483853e+04 
       4.113809243311e-02       1.568406386337e+04 
       4.792590854610e-02       1.361043115825e+04 
       5.284436902701e-02       1.259107060150e+04 
       5.689644391095e-02       1.195531722266e+04 
       6.051252627066e-02       1.147527436198e+04 
       6.388413457411e-02       1.105542896209e+04 
       6.711249296401e-02       1.064861332863e+04 
       7.025823437965e-02       1.022900417524e+04 
       7.336115587705e-02       9.784230203467e+03 
       7.644928796912e-02       9.311363025006e+03 
       7.954353299775e-02       8.814167237921e+03 
       8.266024078725e-02       8.301742730071e+03 
       8.581273398637e-02       7.786496190673e+03 
       8.901225918437e-02       7.282780431487e+03 
       9.226860540985e-02       6.804649925905e+03 
       9.559052048996e-02       6.365063552374e+03 
       9.898599946599e-02       5.973787297308e+03 
       1.024624891378e-01       5.636698571349e+03 
       1.060270359164e-01       5.355092159188e+03 
       1.096863943056e-01       5.125503502131e+03 
       1.134471073830e-01       4.939730487774e+03 
       1.173155669539e-01       4.785333839552e+03 
       1.212980586983e-01       4.647032843826e+03 
       1.254007961065e-01       4.508101651106e+03 
       1.296299459934e-01       4.353513312522e+03 
       1.339916477160e-01       4.172046914121e+03 
       1.384920277736e-01       3.959965118989e+03 
       1.431372111762e-01       3.721344851555e+03 
       1.479333307714e-01       3.468220117277e+03 
       1.528865355934e-01       3.216904444291e+03 
       1.580029992204e-01       2.984776919601e+03 
       1.632889290723e-01       2.785391876717e+03 
       1.687505775527e-01       2.625152742698e+03 
