# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       5.020963910888e+01 
       1.131335172503e-05       5.407048941544e+01 
       1.221587619537e-05       5.822820728766e+01 
       1.319039970183e-05       6.270562052344e+01 
       1.424266597921e-05       6.752731481591e+01 
       1.537887696968e-05       7.271975721310e+01 
       1.660572937635e-05       7.831147107616e+01 
       1.793045413292e-05       8.433312308995e+01 
       1.936085902198e-05       9.081780138034e+01 
       2.090537469327e-05       9.780107456745e+01 
       2.257310435294e-05       1.053212939453e+02 
       2.437387741694e-05       1.134197269391e+02 
       2.631830744443e-05       1.221408286616e+02 
       2.841785469300e-05       1.315324591544e+02 
       3.068489366414e-05       1.416461672513e+02 
       3.313278603720e-05       1.525374480122e+02 
       3.577595942169e-05       1.642660518611e+02 
       3.862999239199e-05       1.768963430822e+02 
       4.171170630578e-05       1.904975999370e+02 
       4.503926444729e-05       2.051444244902e+02 
       4.863227907969e-05       2.209171413847e+02 
       5.251192703764e-05       2.379022268080e+02 
       5.670107454121e-05       2.561927843320e+02 
       6.122441196689e-05       2.758890481618e+02 
       6.610859936996e-05       2.970989216392e+02 
       7.138242361596e-05       3.199385562532e+02 
       7.707696804727e-05       3.445329729808e+02 
       8.322579568497e-05       3.710167327029e+02 
       8.986514704559e-05       3.995346447370e+02 
       9.703415373875e-05       4.302425392848e+02 
       1.047750691046e-04       4.633080777225e+02 
       1.131335172503e-04       4.989116277948e+02 
       1.221587619537e-04       5.372471943163e+02 
       1.319039970183e-04       5.785234121593e+02 
       1.424266597921e-04       6.229645938191e+02 
       1.537887696968e-04       6.708118492965e+02 
       1.660572937635e-04       7.223242663637e+02 
       1.793045413292e-04       7.777801577599e+02 
       1.936085902198e-04       8.374783645170e+02 
       2.090537469327e-04       9.017396284152e+02 
       2.257310435294e-04       9.709080305538e+02 
       2.437387741694e-04       1.045352454225e+03 
       2.631830744443e-04       1.125468128634e+03 
       2.841785469300e-04       1.211678186912e+03 
       3.068489366414e-04       1.304435257124e+03 
       3.313278603720e-04       1.404223064060e+03 
       3.577595942169e-04       1.511558030803e+03 
       3.862999239199e-04       1.626990853873e+03 
       4.171170630578e-04       1.751108047021e+03 
       4.503926444729e-04       1.884533406280e+03 
       4.863227907969e-04       2.027929408596e+03 
       5.251192703764e-04       2.181998485676e+03 
       5.670107454121e-04       2.347484147960e+03 
       6.122441196689e-04       2.525171927231e+03 
       6.610859936996e-04       2.715890057165e+03 
       7.138242361596e-04       2.920509781667e+03 
       7.707696804727e-04       3.139945210570e+03 
       8.322579568497e-04       3.375152479721e+03 
       8.986514704559e-04       3.627128023359e+03 
       9.703415373875e-04       3.896905672608e+03 
       1.047750691046e-03       4.185552455938e+03 
       1.131335172503e-03       4.494162779128e+03 
       1.221587619537e-03       4.823851154397e+03 
       1.319039970183e-03       5.175743282773e+03 
       1.424266597921e-03       5.551020303017e+03 
       1.537887696968e-03       5.950789190054e+03 
       1.660572937635e-03       6.376124154977e+03 
       1.793045413292e-03       6.828075241827e+03 
       1.936085902198e-03       7.307627056621e+03 
       2.090537469327e-03       7.815673964963e+03 
       2.257310435294e-03       8.352992929246e+03 
       2.437387741694e-03       8.920214312986e+03 
       2.631830744443e-03       9.517787173706e+03 
       2.841785469300e-03       1.014594131411e+04 
       3.068489366414e-03       1.080465137259e+04 
       3.313278603720e-03       1.149358240330e+04 
       3.577595942169e-03       1.221204587719e+04 
       3.862999239199e-03       1.295893667399e+04 
       4.171170630578e-03       1.373267339572e+04 
       4.503926444729e-03       1.453113501042e+04 
       4.863227907969e-03       1.535157109212e+04 
       5.251192703764e-03       1.619066112682e+04 
       5.670107454121e-03       1.704433880472e+04 
       6.122441196689e-03       1.790758152282e+04 
       6.610859936996e-03       1.877462011431e+04 
       7.138242361596e-03       1.963874732449e+04 
       7.707696804727e-03       2.049217382083e+04 
       8.322579568497e-03       2.132612155661e+04 
       8.986514704559e-03       2.213056504447e+04 
       9.703415373875e-03       2.289447525257e+04 
       1.047750691046e-02       2.360549455951e+04 
       1.131335172503e-02       2.425023452549e+04 
       1.221587619537e-02       2.481424556323e+04 
       1.319039970183e-02       2.528221117324e+04 
       1.424266597920e-02       2.563815204564e+04 
       1.537887696964e-02       2.586609793954e+04 
       1.660572937560e-02       2.595036064975e+04 
       1.793045412207e-02       2.587645436804e+04 
       1.936085889642e-02       2.563230563177e+04 
       2.090537351881e-02       2.520935377366e+04 
       2.257309534705e-02       2.460443361333e+04 
       2.437382002240e-02       2.382087104921e+04 
       2.631799943729e-02       2.287036153281e+04 
       2.841644544598e-02       2.177441516823e+04 
       3.067933354524e-02       2.056549093858e+04 
       3.311368469821e-02       1.928730185829e+04 
       3.571840442514e-02       1.799395505836e+04 
       3.847720347390e-02       1.674672754884e+04 
       4.135335537314e-02       1.560451761416e+04 
       4.429361666563e-02       1.461035531905e+04 
       4.724366437916e-02       1.378044625065e+04 
       5.016480834039e-02       1.310496852731e+04 
       5.303989618930e-02       1.255716072981e+04 
