# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927781829e-03 
       1.131335172818e-05       7.820331862786e-03 
       1.221587619877e-05       8.421676112948e-03 
       1.319039970550e-05       9.069258328605e-03 
       1.424266598317e-05       9.766638550310e-03 
       1.537887697396e-05       1.051764085426e-02 
       1.660572938097e-05       1.132639122454e-02 
       1.793045413791e-05       1.219733249638e-02 
       1.936085902737e-05       1.313524243996e-02 
       2.090537469909e-05       1.414527143007e-02 
       2.257310435923e-05       1.523296295015e-02 
       2.437387742372e-05       1.640429469097e-02 
       2.631830745176e-05       1.766569593674e-02 
       2.841785470091e-05       1.902408630143e-02 
       3.068489367268e-05       2.048693001289e-02 
       3.313278604643e-05       2.206225546515e-02 
       3.577595943165e-05       2.375870740319e-02 
       3.862999240274e-05       2.558560765888e-02 
       4.171170631739e-05       2.755297804267e-02 
       4.503926445983e-05       2.967161971775e-02 
       4.863227909323e-05       3.195316498241e-02 
       5.251192705226e-05       3.441013571106e-02 
       5.670107455699e-05       3.705601777865e-02 
       6.122441198393e-05       3.990533488151e-02 
       6.610859938837e-05       4.297372232398e-02 
       7.138242363583e-05       4.627802210810e-02 
       7.707696806873e-05       4.983636268577e-02 
       8.322579570814e-05       5.366826927068e-02 
       8.986514707061e-05       5.779476476370e-02 
       9.703415376577e-05       6.223848337181e-02 
       1.047750691338e-04       6.702379965587e-02 
       1.131335172818e-04       7.217695261285e-02 
       1.221587619877e-04       7.772619188884e-02 
       1.319039970550e-04       8.370193557179e-02 
       1.424266598317e-04       9.013692641472e-02 
       1.537887697396e-04       9.706641386852e-02 
       1.660572938097e-04       1.045283369801e-01 
       1.793045413791e-04       1.125635365730e-01 
       1.936085902737e-04       1.212159632938e-01 
       2.090537469909e-04       1.305329152014e-01 
       2.257310435923e-04       1.405652866956e-01 
       2.437387742372e-04       1.513678324846e-01 
       2.631830745176e-04       1.629994528648e-01 
       2.841785470091e-04       1.755234946946e-01 
       3.068489367268e-04       1.890080698022e-01 
       3.313278604643e-04       2.035264032045e-01 
       3.577595943165e-04       2.191571835411e-01 
       3.862999240274e-04       2.359849471170e-01 
       4.171170631739e-04       2.541004777916e-01 
       4.503926445983e-04       2.736012125525e-01 
       4.863227909323e-04       2.945916832413e-01 
       5.251192705226e-04       3.171839569433e-01 
       5.670107455699e-04       3.414980810867e-01 
       6.122441198393e-04       3.676625462913e-01 
       6.610859938837e-04       3.958147304954e-01 
       7.138242363583e-04       4.261013340114e-01 
       7.707696806873e-04       4.586787850250e-01 
       8.322579570814e-04       4.937136062177e-01 
       8.986514707061e-04       5.313826864850e-01 
       9.703415376577e-04       5.718735037034e-01 
       1.047750691338e-03       6.153841695500e-01 
       1.131335172818e-03       6.621233305608e-01 
       1.221587619877e-03       7.123098285345e-01 
       1.319039970550e-03       7.661720646625e-01 
       1.424266598317e-03       8.239546355661e-01 
       1.537887697396e-03       8.859011223275e-01 
       1.660572938097e-03       9.522588042259e-01 
       1.793045413791e-03       1.023280101259e+00 
       1.936085902737e-03       1.099216302843e+00 
       2.090537469909e-03       1.180312984194e+00 
       2.257310435923e-03       1.266804103251e+00 
       2.437387742372e-03       1.358904832110e+00 
       2.631830745176e-03       1.456802649970e+00 
       2.841785470091e-03       1.560646841188e+00 
       3.068489367268e-03       1.670535991317e+00 
       3.313278604643e-03       1.786503751419e+00 
       3.577595943165e-03       1.908502790233e+00 
       3.862999240274e-03       2.036387536402e+00 
       4.171170631739e-03       2.169895957959e+00 
       4.503926445983e-03       2.308631514335e+00 
       4.863227909323e-03       2.452046793971e+00 
       5.251192705226e-03       2.599429952642e+00 
       5.670107455699e-03       2.749896014782e+00 
       6.122441198393e-03       2.902385272655e+00 
       6.610859938837e-03       3.055666910036e+00 
       7.138242363583e-03       3.208354198665e+00 
       7.707696806873e-03       3.358920852569e+00 
       8.322579570814e-03       3.505721504008e+00 
       8.986514707061e-03       3.647004189700e+00 
       9.703415376577e-03       3.780915993926e+00 
       1.047750691338e-02       3.905481956629e+00 
       1.131335172818e-02       4.018574769986e+00 
       1.221587619877e-02       4.117884615529e+00 
       1.319039970550e-02       4.200893201679e+00 
       1.424266598317e-02       4.264913697698e+00 
       1.537887697392e-02       4.307181696145e+00 
       1.660572938023e-02       4.325015960236e+00 
       1.793045412706e-02       4.315993725362e+00 
       1.936085890181e-02       4.278149165772e+00 
       2.090537352463e-02       4.210100333989e+00 
       2.257309535333e-02       4.111291685529e+00 
       2.437382002918e-02       3.982264314888e+00 
       2.631799944462e-02       3.824969926575e+00 
       2.841644545389e-02       3.643032926235e+00 
       3.067933355377e-02       3.441894900422e+00 
       3.311368470740e-02       3.228871327944e+00 
       3.571840443502e-02       3.013082787299e+00 
       3.847720348444e-02       2.804754866512e+00 
       4.135335538431e-02       2.613817073601e+00 
       4.429361667738e-02       2.447440244921e+00 
       4.724366439141e-02       2.308455086750e+00 
       5.016480835311e-02       2.195242239588e+00 
       5.303989620246e-02       2.103403271347e+00 
       5.586870669566e-02       2.027420456705e+00 
       5.866042680613e-02       1.962027216205e+00 
       6.142798932958e-02       1.902585572854e+00 
       6.418496440164e-02       1.845213513923e+00 
       6.694418833788e-02       1.786870191564e+00 
       6.971731106057e-02       1.725329975176e+00 
       7.251476155766e-02       1.659218268741e+00 
       7.534587671527e-02       1.587987867961e+00 
       7.821907666265e-02       1.511918682432e+00 
       8.114203772912e-02       1.432015043322e+00 
       8.412184535029e-02       1.349906353546e+00 
       8.716512279304e-02       1.267661255822e+00 
       9.027813695930e-02       1.187549570298e+00 
       9.346688431697e-02       1.111830375407e+00 
       9.673716028276e-02       1.042465313204e+00 
       1.000946150830e-01       9.809643077275e-01 
       1.035447986537e-01       9.281538127661e-01 
       1.070931966762e-01       8.841254664827e-01 
       1.107452594425e-01       8.481843473126e-01 
       1.145064249153e-01       8.188576740264e-01 
       1.183821370918e-01       7.940187731764e-01 
       1.223778605862e-01       7.710813058620e-01 
       1.264990921987e-01       7.473375923599e-01 
       1.307513701367e-01       7.204004225816e-01 
       1.351402814784e-01       6.887174648789e-01 
       1.396714684203e-01       6.519768826401e-01 
       1.443506338194e-01       6.112155939159e-01 
       1.491835465229e-01       5.686582575385e-01 
       1.541760469708e-01       5.271568427427e-01 
       1.593340535561e-01       4.894987110774e-01 
       1.646635702297e-01       4.576954757237e-01 
       1.701706958456e-01       4.324791307547e-01 
       1.758616357459e-01       4.131213115650e-01 
       1.817427160982e-01       3.976076937680e-01 
       1.878204015065e-01       3.833144524430e-01 
       1.941013164283e-01       3.674106432340e-01 
       2.005922709503e-01       3.481360676415e-01 
       2.073002914972e-01       3.256371421192e-01 
       2.142326570816e-01       3.018231990656e-01 
       2.213969417533e-01       2.792358436557e-01 
       2.288010639706e-01       2.598859459184e-01 
       2.364533437147e-01       2.445832377499e-01 
       2.443625682930e-01       2.326151691130e-01 
       2.525380679504e-01       2.219993810484e-01 
       2.609898026346e-01       2.106644651258e-01 
       2.697284615565e-01       1.976779260967e-01 
       2.787655775689e-01       1.836145353667e-01 
       2.881136588829e-01       1.701307956013e-01 
       2.977863412677e-01       1.586904208807e-01 
       3.077985646929e-01       1.493853411885e-01 
       3.181667794071e-01       1.411799359068e-01 
       3.289091877812e-01       1.328070523357e-01 
       3.400460299658e-01       1.238057170840e-01 
       3.515999236474e-01       1.148646806014e-01 
       3.635962711085e-01       1.068567798719e-01 
       3.760637506334e-01       9.999987761932e-02 
       3.890349143879e-01       9.363890197792e-02 
       4.025469216825e-01       8.722669729587e-02 
       4.166424456376e-01       8.085337244678e-02 
       4.313708035863e-01       7.497861260797e-02 
       4.467893782977e-01       6.968270523402e-02 
       4.629654199664e-01       6.467158516587e-02 
       4.799783501994e-01       5.974503048741e-02 
       4.979227319373e-01       5.507621699139e-02 
       5.169121270864e-01       5.078186913683e-02 
       5.370841404489e-01       4.667645223197e-02 
       5.586070464571e-01       4.272779656178e-02 
       5.816885094930e-01       3.901999343890e-02 
       6.065870144995e-01       3.549125918004e-02 
       6.336266468475e-01       3.211359258062e-02 
       6.632156059511e-01       2.890985991652e-02 
       6.958678639263e-01       2.584493956835e-02 
       7.322247985589e-01       2.292830974215e-02 
       7.730680195114e-01       2.014926171798e-02 
       8.193049553677e-01       1.751852030932e-02 
       8.718988016039e-01       1.504913226587e-02 
       9.317218031082e-01       1.276625158003e-02 
       9.993660908989e-01       1.069906803498e-02 
       1.075037110174e+00       8.870803606693e-03 
       1.158653485707e+00       7.289999206010e-03 
       1.250099157308e+00       5.948099926655e-03 
       1.349432401273e+00       4.822749394940e-03 
       1.456947457397e+00       3.886726615333e-03 
       1.573135111331e+00       3.112622823697e-03 
       1.698621895592e+00       2.475543355471e-03 
       1.834127512934e+00       1.953766183147e-03 
       1.980444934528e+00       1.528624438374e-03 
       2.138435191726e+00       1.184294366714e-03 
       2.309029199186e+00       9.072945710468e-04 
       2.493232377687e+00       6.862270543518e-04 
       2.692130395285e+00       5.113940051792e-04 
       2.906895534573e+00       3.746158377678e-04 
       3.138793597714e+00       2.689415121850e-04 
       3.389191366484e+00       1.885223942005e-04 
       3.659564657905e+00       1.284174200157e-04 
