# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927730674e-03 
       1.131335172818e-05       7.820331807707e-03 
       1.221587619877e-05       8.421676053447e-03 
       1.319039970550e-05       9.069258264417e-03 
       1.424266598317e-05       9.766638481658e-03 
       1.537887697396e-05       1.051764078017e-02 
       1.660572938097e-05       1.132639114485e-02 
       1.793045413791e-05       1.219733241063e-02 
       1.936085902737e-05       1.313524234765e-02 
       2.090537469909e-05       1.414527133071e-02 
       2.257310435923e-05       1.523296284282e-02 
       2.437387742372e-05       1.640429457536e-02 
       2.631830745176e-05       1.766569596181e-02 
       2.841785470091e-05       1.902408616805e-02 
       3.068489367268e-05       2.048692986841e-02 
       3.313278604643e-05       2.206225531023e-02 
       3.577595943165e-05       2.375870723660e-02 
       3.862999240274e-05       2.558560747781e-02 
       4.171170631739e-05       2.755297785009e-02 
       4.503926445983e-05       2.967161950892e-02 
       4.863227909323e-05       3.195316475934e-02 
       5.251192705226e-05       3.441013546772e-02 
       5.670107455699e-05       3.705601751839e-02 
       6.122441198393e-05       3.990533445763e-02 
       6.610859938837e-05       4.297372202190e-02 
       7.138242363583e-05       4.627802178339e-02 
       7.707696806873e-05       4.983636233558e-02 
       8.322579570814e-05       5.366826889486e-02 
       8.986514707061e-05       5.779476436282e-02 
       9.703415376577e-05       6.223848293276e-02 
       1.047750691338e-04       6.702379918554e-02 
       1.131335172818e-04       7.217695210514e-02 
       1.221587619877e-04       7.772619134608e-02 
       1.319039970550e-04       8.370193498424e-02 
       1.424266598317e-04       9.013692578454e-02 
       1.537887697396e-04       9.706641318957e-02 
       1.660572938097e-04       1.045283362493e-01 
       1.793045413791e-04       1.125635357890e-01 
       1.936085902737e-04       1.212159624482e-01 
       2.090537469909e-04       1.305329142932e-01 
       2.257310435923e-04       1.405652857196e-01 
       2.437387742372e-04       1.513678314350e-01 
       2.631830745176e-04       1.629994517459e-01 
       2.841785470091e-04       1.755234934842e-01 
       3.068489367268e-04       1.890080685030e-01 
       3.313278604643e-04       2.035264018112e-01 
       3.577595943165e-04       2.191571820480e-01 
       3.862999240274e-04       2.359849455418e-01 
       4.171170631739e-04       2.541004760798e-01 
       4.503926445983e-04       2.736012107395e-01 
       4.863227909323e-04       2.945916812909e-01 
       5.251192705226e-04       3.171839548615e-01 
       5.670107455699e-04       3.414980788815e-01 
       6.122441198393e-04       3.676625439474e-01 
       6.610859938837e-04       3.958147280180e-01 
       7.138242363583e-04       4.261013314120e-01 
       7.707696806873e-04       4.586787823009e-01 
       8.322579570814e-04       4.937136033553e-01 
       8.986514707061e-04       5.313826834781e-01 
       9.703415376577e-04       5.718735006512e-01 
       1.047750691338e-03       6.153841664453e-01 
       1.131335172818e-03       6.621233274493e-01 
       1.221587619877e-03       7.123098254813e-01 
       1.319039970550e-03       7.661720617193e-01 
       1.424266598317e-03       8.239546328419e-01 
       1.537887697396e-03       8.859011199861e-01 
       1.660572938097e-03       9.522588025414e-01 
       1.793045413791e-03       1.023280100589e+00 
       1.936085902737e-03       1.099216303674e+00 
       2.090537469909e-03       1.180312987164e+00 
       2.257310435923e-03       1.266804109225e+00 
       2.437387742372e-03       1.358904842201e+00 
       2.631830745176e-03       1.456802665692e+00 
       2.841785470091e-03       1.560646864564e+00 
       3.068489367268e-03       1.670536025055e+00 
       3.313278604643e-03       1.786503799181e+00 
       3.577595943165e-03       1.908502856896e+00 
       3.862999240274e-03       2.036387628597e+00 
       4.171170631739e-03       2.169896066213e+00 
       4.503926445983e-03       2.308631687515e+00 
       4.863227909323e-03       2.452047030107e+00 
       5.251192705226e-03       2.599430273724e+00 
       5.670107455699e-03       2.749896450895e+00 
       6.122441198393e-03       2.902385863046e+00 
       6.610859938837e-03       3.055667827858e+00 
       7.138242363583e-03       3.208355276560e+00 
       7.707696806873e-03       3.358922301495e+00 
       8.322579570814e-03       3.505723454907e+00 
       8.986514707061e-03       3.647006075742e+00 
       9.703415376577e-03       3.780919483644e+00 
       1.047750691338e-02       3.905485545347e+00 
       1.131335172818e-02       4.018581240594e+00 
       1.221587619877e-02       4.117892733478e+00 
       1.319039970550e-02       4.200903841490e+00 
       1.424266598317e-02       4.264927022070e+00 
       1.537887697392e-02       4.307198540817e+00 
       1.660572938023e-02       4.325036094600e+00 
       1.793045412706e-02       4.316022710892e+00 
       1.936085890181e-02       4.278188271426e+00 
       2.090537352463e-02       4.210150233073e+00 
       2.257309535333e-02       4.111349765262e+00 
       2.437382002918e-02       3.982337974909e+00 
       2.631799944462e-02       3.825065463401e+00 
       2.841644545389e-02       3.643150936221e+00 
       3.067933355377e-02       3.442040954745e+00 
       3.311368470740e-02       3.229048472101e+00 
       3.571840443502e-02       3.013284403677e+00 
       3.847720348444e-02       2.805007295923e+00 
       4.135335538431e-02       2.614099067592e+00 
       4.429361667738e-02       2.447784623386e+00 
       4.724366439141e-02       2.308833335666e+00 
       5.016480835311e-02       2.195664926046e+00 
       5.303989620246e-02       2.103874560888e+00 
       5.586870669566e-02       2.027927969992e+00 
       5.866042680613e-02       1.962578345669e+00 
       6.142798932958e-02       1.903167961348e+00 
       6.418496440164e-02       1.845831283433e+00 
       6.694418833788e-02       1.787518650010e+00 
       6.971731106057e-02       1.726005672612e+00 
       7.251476155766e-02       1.659919771117e+00 
       7.534587671527e-02       1.588715952952e+00 
       7.821907666265e-02       1.512663362074e+00 
       8.114203772912e-02       1.432777338407e+00 
       8.412184535029e-02       1.350686274520e+00 
       8.716512279304e-02       1.268461887181e+00 
       9.027813695930e-02       1.188363170363e+00 
       9.346688431697e-02       1.112656487773e+00 
       9.673716028276e-02       1.043314491214e+00 
       1.000946150830e-01       9.818304413621e-01 
       1.035447986537e-01       9.290424683687e-01 
       1.070931966762e-01       8.850397944444e-01 
       1.107452594425e-01       8.491254106869e-01 
       1.145064249153e-01       8.198289314475e-01 
       1.183821370918e-01       7.950248809888e-01 
       1.223778605862e-01       7.721175229946e-01 
       1.264990921987e-01       7.483979245696e-01 
       1.307513701367e-01       7.214842683659e-01 
       1.351402814784e-01       6.898225549836e-01 
       1.396714684203e-01       6.530869159711e-01 
       1.443506338194e-01       6.123320535895e-01 
       1.491835465229e-01       5.697766636300e-01 
       1.541760469708e-01       5.282773371613e-01 
       1.593340535561e-01       4.906241009369e-01 
       1.646635702297e-01       4.588293252010e-01 
       1.701706958456e-01       4.336284813455e-01 
       1.758616357459e-01       4.142914153791e-01 
       1.817427160982e-01       3.988012457606e-01 
       1.878204015065e-01       3.845301454703e-01 
       1.941013164283e-01       3.686448270447e-01 
       2.005922709503e-01       3.493786829281e-01 
       2.073002914972e-01       3.268808856862e-01 
       2.142326570816e-01       3.030613211399e-01 
       2.213969417533e-01       2.804684907365e-01 
       2.288010639706e-01       2.611196374977e-01 
       2.364533437147e-01       2.458242061747e-01 
       2.443625682930e-01       2.338681324001e-01 
       2.525380679504e-01       2.232658252907e-01 
       2.609898026346e-01       2.119401036908e-01 
       2.697284615565e-01       1.989532431245e-01 
       2.787655775689e-01       1.848830513775e-01 
       2.881136588829e-01       1.713928872097e-01 
       2.977863412677e-01       1.599498516710e-01 
       3.077985646929e-01       1.506475305592e-01 
       3.181667794071e-01       1.424477012934e-01 
       3.289091877812e-01       1.340749058876e-01 
       3.400460299658e-01       1.250686113788e-01 
       3.515999236474e-01       1.161195673843e-01 
       3.635962711085e-01       1.081055282934e-01 
       3.760637506334e-01       1.012461511376e-01 
       3.890349143879e-01       9.488251960117e-02 
       4.025469216825e-01       8.846391669658e-02 
       4.166424456376e-01       8.208175476958e-02 
       4.313708035863e-01       7.619839885409e-02 
       4.467893782977e-01       7.089556973479e-02 
       4.629654199664e-01       6.587644760111e-02 
       4.799783501994e-01       6.093955932330e-02 
       4.979227319373e-01       5.625956356684e-02 
       5.169121270864e-01       5.195486674001e-02 
       5.370841404489e-01       4.783739340710e-02 
       5.586070464571e-01       4.387551603844e-02 
       5.816885094930e-01       4.015386158237e-02 
       6.065870144995e-01       3.661001665017e-02 
       6.336266468475e-01       3.321576935265e-02 
       6.632156059511e-01       2.999436137522e-02 
       6.958678639263e-01       2.690960571669e-02 
       7.322247985589e-01       2.397146640960e-02 
       7.730680195114e-01       2.116863310877e-02 
       8.193049553677e-01       1.851144093169e-02 
       8.718988016039e-01       1.601285154356e-02 
