# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927673134e-03 
       1.131335172818e-05       7.820331745754e-03 
       1.221587619877e-05       8.421675986507e-03 
       1.319039970550e-05       9.069258192214e-03 
       1.424266598317e-05       9.766638404442e-03 
       1.537887697396e-05       1.051764069684e-02 
       1.660572938097e-05       1.132639105522e-02 
       1.793045413791e-05       1.219733231419e-02 
       1.936085902737e-05       1.313524224383e-02 
       2.090537469909e-05       1.414527121896e-02 
       2.257310435923e-05       1.523296272195e-02 
       2.437387742372e-05       1.640429444533e-02 
       2.631830745176e-05       1.766569582181e-02 
       2.841785470091e-05       1.902408601797e-02 
       3.068489367268e-05       2.048692970596e-02 
       3.313278604643e-05       2.206225513598e-02 
       3.577595943165e-05       2.375870704914e-02 
       3.862999240274e-05       2.558560727484e-02 
       4.171170631739e-05       2.755297763350e-02 
       4.503926445983e-05       2.967161927321e-02 
       4.863227909323e-05       3.195316450839e-02 
       5.251192705226e-05       3.441013519292e-02 
       5.670107455699e-05       3.705601722533e-02 
       6.122441198393e-05       3.990533413571e-02 
       6.610859938837e-05       4.297372168212e-02 
       7.138242363583e-05       4.627802141698e-02 
       7.707696806873e-05       4.983636194170e-02 
       8.322579570814e-05       5.366826847243e-02 
       8.986514707061e-05       5.779476394581e-02 
       9.703415376577e-05       6.223848243898e-02 
       1.047750691338e-04       6.702379865654e-02 
       1.131335172818e-04       7.217695153396e-02 
       1.221587619877e-04       7.772619073586e-02 
       1.319039970550e-04       8.370193432394e-02 
       1.424266598317e-04       9.013692507564e-02 
       1.537887697396e-04       9.706641242591e-02 
       1.660572938097e-04       1.045283354274e-01 
       1.793045413791e-04       1.125635349071e-01 
       1.936085902737e-04       1.212159614971e-01 
       2.090537469909e-04       1.305329132717e-01 
       2.257310435923e-04       1.405652846218e-01 
       2.437387742372e-04       1.513678302543e-01 
       2.631830745176e-04       1.629994504874e-01 
       2.841785470091e-04       1.755234921228e-01 
       3.068489367268e-04       1.890080670417e-01 
       3.313278604643e-04       2.035264002439e-01 
       3.577595943165e-04       2.191571803686e-01 
       3.862999240274e-04       2.359849437597e-01 
       4.171170631739e-04       2.541004741544e-01 
       4.503926445983e-04       2.736012080283e-01 
       4.863227909323e-04       2.945916790971e-01 
       5.251192705226e-04       3.171839525189e-01 
       5.670107455699e-04       3.414980764009e-01 
       6.122441198393e-04       3.676625413107e-01 
       6.610859938837e-04       3.958147252311e-01 
       7.138242363583e-04       4.261013284910e-01 
       7.707696806873e-04       4.586787792358e-01 
       8.322579570814e-04       4.937136001357e-01 
       8.986514707061e-04       5.313826801410e-01 
       9.703415376577e-04       5.718734972166e-01 
       1.047750691338e-03       6.153841629516e-01 
       1.131335172818e-03       6.621233239474e-01 
       1.221587619877e-03       7.123098220432e-01 
       1.319039970550e-03       7.661720584664e-01 
