# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927679403e-03 
       1.131335172818e-05       7.820331752504e-03 
       1.221587619877e-05       8.421675993802e-03 
       1.319039970550e-05       9.069258200074e-03 
       1.424266598317e-05       9.766638412859e-03 
       1.537887697396e-05       1.051764070592e-02 
       1.660572938097e-05       1.132639106498e-02 
       1.793045413791e-05       1.219733232470e-02 
       1.936085902737e-05       1.313524225515e-02 
       2.090537469909e-05       1.414527123115e-02 
       2.257310435923e-05       1.523296273512e-02 
       2.437387742372e-05       1.640429445950e-02 
       2.631830745176e-05       1.766569583710e-02 
       2.841785470091e-05       1.902408603427e-02 
       3.068489367268e-05       2.048692972367e-02 
       3.313278604643e-05       2.206225515497e-02 
       3.577595943165e-05       2.375870706954e-02 
       3.862999240274e-05       2.558560729691e-02 
       4.171170631739e-05       2.755297765711e-02 
       4.503926445983e-05       2.967161929896e-02 
       4.863227909323e-05       3.195316453581e-02 
       5.251192705226e-05       3.441013522277e-02 
       5.670107455699e-05       3.705601725723e-02 
       6.122441198393e-05       3.990533417113e-02 
       6.610859938837e-05       4.297372171914e-02 
       7.138242363583e-05       4.627802145695e-02 
       7.707696806873e-05       4.983636198462e-02 
       8.322579570814e-05       5.366826851849e-02 
       8.986514707061e-05       5.779476400182e-02 
       9.703415376577e-05       6.223848249288e-02 
       1.047750691338e-04       6.702379871420e-02 
       1.131335172818e-04       7.217695159629e-02 
       1.221587619877e-04       7.772619080259e-02 
       1.319039970550e-04       8.370193439591e-02 
       1.424266598317e-04       9.013692515286e-02 
       1.537887697396e-04       9.706641250912e-02 
       1.660572938097e-04       1.045283355169e-01 
       1.793045413791e-04       1.125635350032e-01 
       1.936085902737e-04       1.212159616007e-01 
       2.090537469909e-04       1.305329133830e-01 
       2.257310435923e-04       1.405652847414e-01 
       2.437387742372e-04       1.513678303829e-01 
       2.631830745176e-04       1.629994506246e-01 
       2.841785470091e-04       1.755234922711e-01 
       3.068489367268e-04       1.890080672008e-01 
       3.313278604643e-04       2.035264004146e-01 
       3.577595943165e-04       2.191571805514e-01 
       3.862999240274e-04       2.359849439543e-01 
       4.171170631739e-04       2.541004743639e-01 
       4.503926445983e-04       2.736012082517e-01 
       4.863227909323e-04       2.945916793357e-01 
       5.251192705226e-04       3.171839527735e-01 
       5.670107455699e-04       3.414980766705e-01 
       6.122441198393e-04       3.676625415971e-01 
       6.610859938837e-04       3.958147255337e-01 
       7.138242363583e-04       4.261013288095e-01 
       7.707696806873e-04       4.586787795685e-01 
       8.322579570814e-04       4.937136004842e-01 
       8.986514707061e-04       5.313826804998e-01 
       9.703415376577e-04       5.718734975873e-01 
       1.047750691338e-03       6.153841633277e-01 
       1.131335172818e-03       6.621233243233e-01 
       1.221587619877e-03       7.123098224124e-01 
       1.319039970550e-03       7.661720587823e-01 
