# Matter power spectrum P(k) at redshift z=0
# for k=1.04775e-05 to 67.6233 h/Mpc,
# number of wavenumbers equal to 246
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       5.020964806751e+01 
       1.131335172818e-05       5.407048206555e+01 
       1.221587619877e-05       5.822819064868e+01 
       1.319039970550e-05       6.270562589680e+01 
       1.424266598317e-05       6.752731788103e+01 
       1.537887697396e-05       7.271977200258e+01 
       1.660572938097e-05       7.831147241542e+01 
       1.793045413791e-05       8.433311815128e+01 
       1.936085902737e-05       9.081778242446e+01 
       2.090537469909e-05       9.780108061341e+01 
       2.257310435923e-05       1.053213197032e+02 
       2.437387742372e-05       1.134197377001e+02 
       2.631830745176e-05       1.221408202816e+02 
       2.841785470091e-05       1.315324720916e+02 
       3.068489367268e-05       1.416462093728e+02 
       3.313278604643e-05       1.525374500691e+02 
       3.577595943165e-05       1.642660687077e+02 
       3.862999240274e-05       1.768963504868e+02 
       4.171170631739e-05       1.904975992462e+02 
       4.503926445983e-05       2.051444490305e+02 
       4.863227909323e-05       2.209171463751e+02 
       5.251192705226e-05       2.379022222308e+02 
       5.670107455699e-05       2.561927925599e+02 
       6.122441198393e-05       2.758890441788e+02 
       6.610859938837e-05       2.970989225465e+02 
       7.138242363583e-05       3.199385558197e+02 
       7.707696806873e-05       3.445329780867e+02 
       8.322579570814e-05       3.710167315925e+02 
       8.986514707061e-05       3.995346440948e+02 
       9.703415376577e-05       4.302425403878e+02 
       1.047750691338e-04       4.633080762966e+02 
       1.131335172818e-04       4.989116267498e+02 
       1.221587619877e-04       5.372471946548e+02 
       1.319039970550e-04       5.785234124619e+02 
       1.424266598317e-04       6.229645930960e+02 
       1.537887697396e-04       6.708118484926e+02 
       1.660572938097e-04       7.223242660188e+02 
       1.793045413791e-04       7.777801551463e+02 
       1.936085902737e-04       8.374783607282e+02 
       2.090537469909e-04       9.017396264431e+02 
       2.257310435923e-04       9.709080260071e+02 
       2.437387742372e-04       1.045352448634e+03 
       2.631830745176e-04       1.125468122823e+03 
       2.841785470091e-04       1.211678179494e+03 
       3.068489367268e-04       1.304435249071e+03 
       3.313278604643e-04       1.404223052516e+03 
       3.577595943165e-04       1.511558013358e+03 
       3.862999240274e-04       1.626990836340e+03 
       4.171170631739e-04       1.751108027320e+03 
       4.503926445983e-04       1.884533381281e+03 
       4.863227909323e-04       2.027929376392e+03 
       5.251192705226e-04       2.181998446267e+03 
       5.670107455699e-04       2.347484100731e+03 
       6.122441198393e-04       2.525171869178e+03 
       6.610859938837e-04       2.715889981202e+03 
       7.138242363583e-04       2.920509685824e+03 
       7.707696806873e-04       3.139945097397e+03 
       8.322579570814e-04       3.375152334003e+03 
       8.986514707061e-04       3.627127827737e+03 
       9.703415376577e-04       3.896905449396e+03 
       1.047750691338e-03       4.185552170174e+03 
       1.131335172818e-03       4.494162425815e+03 
       1.221587619877e-03       4.823850701441e+03 
       1.319039970550e-03       5.175742734994e+03 
       1.424266598317e-03       5.551019590571e+03 
       1.537887697396e-03       5.950788333329e+03 
       1.660572938097e-03       6.376123043445e+03 
       1.793045413791e-03       6.828073891877e+03 
       1.936085902737e-03       7.307625369943e+03 
       2.090537469909e-03       7.815671891760e+03 
       2.257310435923e-03       8.352990360485e+03 
       2.437387742372e-03       8.920211046177e+03 
       2.631830745176e-03       9.517783047450e+03 
       2.841785470091e-03       1.014593701838e+04 
       3.068489367268e-03       1.080464503422e+04 
       3.313278604643e-03       1.149357456607e+04 
       3.577595943165e-03       1.221203617120e+04 
       3.862999240274e-03       1.295892533835e+04 
       4.171170631739e-03       1.373265996185e+04 
       4.503926445983e-03       1.453111827222e+04 
       4.863227909323e-03       1.535154711772e+04 
       5.251192705226e-03       1.619061721034e+04 
       5.670107455699e-03       1.704430884944e+04 
       6.122441198393e-03       1.790756551766e+04 
       6.610859938837e-03       1.877461293447e+04 
       7.138242363583e-03       1.963871363088e+04 
       7.707696806873e-03       2.049210697902e+04 
       8.322579570814e-03       2.132610965087e+04 
       8.986514707061e-03       2.213054227253e+04 
       9.703415376577e-03       2.289441550454e+04 
       1.047750691338e-02       2.360555156170e+04 
       1.131335172818e-02       2.425019661767e+04 
       1.221587619877e-02       2.481406919153e+04 
       1.319039970550e-02       2.528218240330e+04 
       1.424266598317e-02       2.563822728682e+04 
       1.537887697392e-02       2.586574248411e+04 
       1.660572938023e-02       2.595021705054e+04 
       1.793045412706e-02       2.587591319146e+04 
       1.936085890181e-02       2.563210973042e+04 
       2.090537352463e-02       2.520921243232e+04 
       2.257309535333e-02       2.460427028017e+04 
       2.437382002918e-02       2.382068573462e+04 
       2.631799944462e-02       2.287021370220e+04 
       2.841644545389e-02       2.177438192893e+04 
       3.067933355377e-02       2.056532688917e+04 
       3.311368470740e-02       1.928709473000e+04 
       3.571840443502e-02       1.799389033284e+04 
       3.847720348444e-02       1.674668738958e+04 
       4.135335538431e-02       1.560440142379e+04 
       4.429361667738e-02       1.461021975970e+04 
       4.724366439141e-02       1.378045026137e+04 
       5.016480835311e-02       1.310489084518e+04 
       5.303989620246e-02       1.255707108701e+04 
       5.586870669566e-02       1.210414901026e+04 
       5.866042680613e-02       1.171455833037e+04 
       6.142798932958e-02       1.136003243182e+04 
       6.418496440164e-02       1.101848552320e+04 
       6.694418833788e-02       1.067053602829e+04 
       6.971731106057e-02       1.030347247752e+04 
       7.251476155766e-02       9.908885567567e+03 
       7.534587671527e-02       9.483454285495e+03 
       7.821907666265e-02       9.029104324293e+03 
       8.114203772912e-02       8.551920967160e+03 
       8.412184535029e-02       8.061705893144e+03 
       8.716512279304e-02       7.570502737510e+03 
       9.027813695930e-02       7.092206214857e+03 
       9.346688431697e-02       6.640223326406e+03 
       9.673716028276e-02       6.226403276075e+03 
       1.000946150830e-01       5.859600082012e+03 
       1.035447986537e-01       5.544901445901e+03 
       1.070931966762e-01       5.282766067110e+03 
       1.107452594425e-01       5.069030869715e+03 
       1.145064249153e-01       4.894807007644e+03 
       1.183821370918e-01       4.747384313422e+03 
       1.223778605862e-01       4.611216900288e+03 
       1.264990921987e-01       4.470069985067e+03 
       1.307513701367e-01       4.309670622651e+03 
       1.351402814784e-01       4.120677471503e+03 
       1.396714684203e-01       3.901403036715e+03 
       1.443506338194e-01       3.657904669817e+03 
       1.491835465229e-01       3.403740032589e+03 
       1.541760469708e-01       3.155879821514e+03 
       1.593340535561e-01       2.931109936342e+03 
       1.646635702297e-01       2.741482902766e+03 
       1.701706958456e-01       2.591334516557e+03 
       1.758616357459e-01       2.476252098733e+03 
       1.817427160982e-01       2.384130998181e+03 
       1.878204015065e-01       2.299240148603e+03 
       1.941013164283e-01       2.204564856870e+03 
       2.005922709503e-01       2.089560751159e+03 
       2.073002914972e-01       1.955160853087e+03 
       2.142326570816e-01       1.812798093043e+03 
       2.213969417533e-01       1.677822113930e+03 
       2.288010639706e-01       1.562314101483e+03 
       2.364533437147e-01       1.471075711168e+03 
       2.443625682930e-01       1.399811317425e+03 
       2.525380679504e-01       1.336608852922e+03 
       2.609898026346e-01       1.268996389181e+03 
       2.697284615565e-01       1.191367404034e+03 
       2.787655775689e-01       1.107227847586e+03 
       2.881136588829e-01       1.026553091794e+03 
       2.977863412677e-01       9.581580666188e+02 
       3.077985646929e-01       9.025760090620e+02 
       3.181667794071e-01       8.535669434319e+02 
       3.289091877812e-01       8.034688667137e+02 
       3.400460299658e-01       7.495379148775e+02 
       3.515999236474e-01       6.959317621661e+02 
       3.635962711085e-01       6.479256547456e+02 
       3.760637506334e-01       6.068237815888e+02 
       3.890349143879e-01       5.686644177435e+02 
       4.025469216825e-01       5.301379940483e+02 
       4.166424456376e-01       4.918156753489e+02 
       4.313708035863e-01       4.564644854742e+02 
       4.467893782977e-01       4.245696280529e+02 
       4.629654199664e-01       3.943516742598e+02 
       4.799783501994e-01       3.646025685061e+02 
       4.979227319373e-01       3.363686016996e+02 
       5.169121270864e-01       3.103623023727e+02 
       5.370841404489e-01       2.854511960386e+02 
       5.586070464571e-01       2.614431361701e+02 
       5.816885094930e-01       2.388472857161e+02 
       6.065870144995e-01       2.172834754350e+02 
       6.336266468475e-01       1.965817518352e+02 
       6.632156059511e-01       1.768748635920e+02 
       6.958678639263e-01       1.579430206012e+02 
       7.322247985589e-01       1.398390122285e+02 
       7.730680195114e-01       1.224882997195e+02 
       8.193049553677e-01       1.059507460646e+02 
       8.718988016039e-01       9.029947306005e+01 
       9.317218031082e-01       7.568974697802e+01 
       9.993660908989e-01       6.231277984096e+01 
       1.075037110174e+00       5.033700169074e+01 
       1.158653485707e+00       3.985319084578e+01 
       1.250099157308e+00       3.085476543592e+01 
       1.349432401273e+00       2.325379475932e+01 
       1.456947457397e+00       1.693403107892e+01 
       1.573135111331e+00       1.177813129822e+01 
       1.698621895592e+00       7.682810836187e+00 
       1.834127512934e+00       4.558399316936e+00 
       1.980444934528e+00       2.322378727037e+00 
       2.138435191726e+00       8.893492338602e-01 
       2.309029199186e+00       1.596654755404e-01 
       2.493232377687e+00       9.333491167402e-03 
       2.692130395285e+00       2.842928846014e-01 
       2.906895534573e+00       8.024580465118e-01 
       3.138793597714e+00       1.367289803726e+00 
       3.389191366484e+00       1.794130141723e+00 
       3.659564657905e+00       1.946687736713e+00 
       3.951507022538e+00       1.774193663174e+00 
       4.266739136701e+00       1.333059221560e+00 
       4.607118943941e+00       7.748687829485e-01 
       4.974652605557e+00       2.918867931062e-01 
       5.371506324689e+00       3.200888028505e-02 
       5.800019113685e+00       2.274676843843e-02 
       6.262716579983e+00       1.567383210351e-01 
       6.762325811764e+00       2.656200308517e-01 
       7.301791451110e+00       2.435884003878e-01 
       7.884293049406e+00       1.221491379244e-01 
       8.513263807261e+00       1.892898067664e-02 
       9.192410809424e+00       4.355416524195e-03 
       9.925736873929e+00       3.600366989423e-02 
       1.071756414427e+01       3.922811085739e-02 
       1.157255956364e+01       1.225732811533e-02 
       1.249576238137e+01       3.217734153219e-05 
       1.349261385375e+01       5.915302068914e-03 
       1.456898931416e+01       4.932064696646e-03 
       1.573123280165e+01       2.260889311247e-04 
       1.698619445202e+01       7.814411304876e-04 
       1.834127087176e+01       6.595056105609e-04 
       1.980444873285e+01       3.958100899467e-07 
       2.138435184532e+01       1.444035888419e-04 
       2.309029198506e+01       7.683944973799e-06 
       2.493232377636e+01       1.824701151428e-05 
       2.692130395282e+01       8.059742479098e-07 
       2.906895534573e+01       1.850397528792e-06 
       3.138793597714e+01       2.855664883916e-08 
       3.389191366484e+01       4.099868058452e-08 
       3.659564657905e+01       1.324750183646e-08 
       3.951507022538e+01       4.108122349600e-09 
       4.266739136701e+01       1.293157069509e-09 
       4.607118943941e+01       4.483572712562e-10 
       4.974652605557e+01       8.106417692123e-11 
       5.371506324689e+01       1.527113016846e-11 
       5.800019113685e+01       4.377289590303e-12 
       6.262716579983e+01       2.932703852839e-13 
       6.762325811764e+01       7.000183660898e-14 
